"","Station","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","Comments.x","Flagged_Data.x","QAQC.y","Boat","Crew","Location","Visit.Date","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","ID","Current","abbreviation","Lat","Lon","Region","Notes","site","sitetype","Region2","Comments.y","Flagged_Data.y","Visit.Date2","DateTime","year","month","Season"
"15","BROA-INT",6046,10303,"LAMOPE01-BROA-12APR2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",1,NA,NA,NA,"","08:53","",NA,NA,NA,38.03297,121.840066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," no veg in net",NA,"true","Mudsucker","DMC;ED;GP;KS","Broad Slough",2022-04-12,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",45,16,9.6,1620,7.8,15.3,0.25,0.86,8.9," 1=absent",2," Inside",NA," false"," BROA-03-2022  code 2 - motor hit rocks stalled out 30 seconds   GPS #5 accuracy 2m  Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-12,"2022-04-12 08:53",2022,4,"Spring"
"16","BROA-INT",6047,10304,"LAMOPE02-BROA-12APR2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.6,NA,NA,NA,"","09:27","",NA,NA,NA,38.039589,121.844916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," no veg in net",NA,"true","Mudsucker","DMC;ED;GP;KS","Broad Slough",2022-04-12,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",46,16.1,9.53,2032,7.8,14.1,0.26,0.9,9," 1=absent",2," Inside",NA," false"," BROA-01-2022  one inch hole in cod end; reattached 8 inch section of cod end to float line  GPS #5 accuracy 2m  Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-12,"2022-04-12 09:27",2022,4,"Spring"
"17","BROA-INT",6049,10305,"LAMOPE03-BROA-12APR2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",3.2,NA,NA,NA,"","10:08","",NA,NA,NA,38.047847,121.847544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," paired? N Iris in cod end BROA-02-2022",NA,"true","Mudsucker","DMC;ED;GP;KS","Broad Slough",2022-04-12,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",42,15.7,9.42,3309,7.7,15.9,0.26,0.8,9.3," 1=absent",2," Inside",NA," false"," BROA-02-2022  Iris in cod end  GPS #5 accuracy 3m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-12,"2022-04-12 10:08",2022,4,"Spring"
"18","BROA-INT",6703,11542,"LAMOPE08-BROA-18MAY2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.7,NA,NA,NA,"","11:17","",NA,NA,NA,38.03479,121.840605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," gps 6 accuracy 3m",NA,"true","Mudsucker","DMC;ED;SH;EL","Broad Slough",2022-05-18,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",32,18.3,8.81,5125,7.8,34.8,0.34,0.47,9.2," 1=absent",1," Inside",NA," false"," 2 holes in medium mesh; Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-18,"2022-05-18 11:17",2022,5,"Spring"
"19","BROA-INT",6704,11543,"LAMOPE09-BROA-18MAY2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.6,NA,NA,NA,"","11:32","",NA,NA,NA,38.039278,121.844346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," BROA-07-2022",NA,"true","Mudsucker","DMC;ED;SH;EL","Broad Slough",2022-05-18,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,18.4,8.83,5495,7.8,38.3,0.3,0.44,8.9," 1=absent",1," Inside",NA," false"," Paired? N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-18,"2022-05-18 11:32",2022,5,"Spring"
"20","BROA-INT",6705,11544,"LAMOPE10-BROA-18MAY2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.7,NA,NA,NA,"","11:50","",NA,NA,NA,38.048462,121.847664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%",NA,NA," gps 6 accuracy 3m; BROA-06-2022; hole in net; ",NA,"true","Mudsucker","DMC;ED;SH;EL","Broad Slough",2022-05-18,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",16,18.5,8.51,6079,7.6,75.9,0.44,0.57,8.4," 1=absent",1," Inside",NA," false"," BROA-06-2022; hole in net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-18,"2022-05-18 11:50",2022,5,"Spring"
"21","BROA-UNK",7103,12103,"LAMOPE03-BROA-05DEC2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.7,NA,NA,NA,"","09:49","",NA,NA,NA,38.050665,121.848451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," CODE 2 - DEPTH",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough",2022-12-05,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," S"," 4=flood",57,10.9,10.02,10241,7.6,10,0.22,0.25,6.9," 1=absent",2," Inside",2," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-05,"2022-12-05 09:49",2022,12,"Fall"
"22","BROA-UNK",7171,12172,"LAMOPE01-BROA-17NOV2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.2,NA,NA,NA,"","07:17","",NA,NA,NA,38.05314,121.849375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," APPROX. 1/4 OF COD END FILLED WITH DETRITUS",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough",2022-11-17,"2=33-66% clouds","0=Calm; glassy"," "," 4=flood",58,13,9.4,8664,7.6,12.2,0.14,0.37,6.8," 1=absent",2," Inside",NA," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-17,"2022-11-17 07:17",2022,11,"Fall"
"23","BROA-UNK",7172,12173,"LAMOPE02-BROA-17NOV2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.8,NA,NA,NA,"","08:24","",NA,NA,NA,38.040369,121.845076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," ",NA,NA," GPS 5; ACCURACY 2. NOT PAIRED. DOMINANT VEGETATION IN NET: STUCCENIA; TULE CALI; HYACINTH. DEAD TULES. ",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough",2022-11-17,"1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",73,12.8,9.8,4441,7.7,7.1,0.15,0.39,6.6," 1=absent",2," Inside",NA," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-17,"2022-11-17 08:24",2022,11,"Fall"
"24","BROA-UNK",7173,12174,"LAMOPE03-BROA-17NOV2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.7,NA,NA,NA,"","09:00","",NA,NA,NA,38.030655,121.838696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," GPS 5; ACCURACY 2M. NOT PAIRED. ",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough",2022-11-17,"2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NA"," 4=flood",68,12.9,9.85,4546,7.7,9.9,0.11,0.37,6.5," 1=absent",2," Inside",NA," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-17,"2022-11-17 09:00",2022,11,"Fall"
"25","BROA-UNK",7058,12058,"OTTTRA11-BROA-04OCT2022","true","Trawl","OTTTRA",""," "," 2= against flow"," ",4.5,NA,17,NA,"","14:00","14:05",5,NA,NA,38.047563,121.847187,38.050967,121.84833,29969,489637,503015,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%",5,5," Dominant vegetation in net: CERDEM; seine code 1",NA,"true","Kvichak","DMC;ED;SH;GP","Broad Slough",2022-10-04,"1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 2=ebb",75,20,8.62,9667,7.7,6.4,0.17,0.43,8.1," 3=medium",1," Inside",NA," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-04,"2022-10-04 14:00",2022,10,"Fall"
"26","BROA-UNK",7059,12059,"OTTTRA12-BROA-04OCT2022","true","Trawl","OTTTRA",""," "," 2= against flow"," ",4.2,NA,17,NA,"","14:23","14:28",5,NA,NA,38.043286,121.845799,38.046602,121.846792,29969,503016,516216,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","1.Boat",NA,NA," 1-33%",5,5," Seine code 1",NA,"true","Kvichak","DMC;ED;SH;GP","Broad Slough",2022-10-04,"1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 2=ebb",92,20.3,8.65,9695,7.8,6.2,0.22,0.43,7.9," 2=low",1," Inside",NA," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-10-04,"2022-10-04 14:23",2022,10,"Fall"
"27","BROA-UNK",7101,12101,"LAMOPE01-BROA-05DEC2022","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.2,NA,NA,NA,"","08:56","",NA,NA,NA,38.035172,121.841979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," ",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough",2022-12-05,"1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," S"," 4=flood",77,10.8,10.11,7581,7.6,6.9,0.19,0.27,6.9," 1=absent",2," Inside",NA," false"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-05,"2022-12-05 08:56",2022,12,"Fall"
"28","BROA-UNK",7102,12102,"LAMOPE02-BROA-05DEC2022","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.4,NA,NA,NA,"","09:37","",NA,NA,NA,38.048499,121.847578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%",NA,NA," code 2 - depth slightly too deep; GPS 5 Accuracy 2m; Paired N",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough",2022-12-05,"1=0-33% clouds","2= wind 4-7 mph; small wavelets"," S"," 4=flood",62,10.8,9.98,10402,7.6,10,0.18,0.29,6.9," 1=absent",2," Inside",NA," false"," code 2 - depth slightly too deep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-05,"2022-12-05 09:37",2022,12,"Fall"
