"","SampleID_frp","OrganismCode","OrganismId","SampleID_key","VisitNo","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season","DepthSource2","DepthOfWater2","DepthMeters","volume","SeineCode2","Casts","rotations","rotation.final","rpm","ave_vol","FishId","TotalCatch","PlusCount","IDer","IdDate","PercentSampled","FishCatchNotes","EntryOrder","FishLength","FishWeight","Hai","FinsHai","SkinHai","EyesHai","ParasiteHai","GillsHai","DeformHai","TagYear","TagSerial","AdClip","Mortality","FishLengthComments","FishCode","Code_UCDAVIS","Code_YBFM","CommonName","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","length_count","fish4$SampleID_frp","fish4$CommonName","count_check","CPUEbySpp","CPUEbySpp2","tCPUE","PercentComp","fish5$SampleID_frp","fish5$CommonName"
"89","LAMOPE01-STAI-17MAR2023","9999",345,12421,7401,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",7.2,NA,NA,NA,"","09:25","",NA,NA,NA,38.317758,121.667412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%"," ",NA,""," gps 5; accuracy 5m. not paired. very high flow. code 2: depth",NA,"true","Mudsucker","DMC;ED;AM;GP","Stairsteps-Liberty Cut","03/17/2023","STAI-LIBE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",10,12.1,8.92,226,7.5,77.6,0.7,1.23,12.5," 1=absent",1," Inside",NA," false"," ",2023-03-17,2023,3,"2023-03-17 09:25","Spring","",7.5,7.5,332.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14801,0,0,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","NOFISH","NOFISHCTCH","NONE","No Catch","Fish","","","","","","","","","","","",FALSE,"Present",NA,"No Catch","","","","","No Catch",NA,"LAMOPE01-STAI-17MAR2023","No Catch",NA,0,0,0,NA,"LAMOPE01-STAI-17MAR2023","No Catch"
"90","LAMOPE01-STAI-27APR2023","9999",345,13441,8041,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",3.7,NA,NA,NA,"","09:01","",NA,NA,NA,38.32204,121.685086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," gps 5; accuracy 3m. depth from handheld. code 2: depth",NA,"true","Mudsucker","AC;DC;ED;GU","Stairsteps-Liberty Cut","04/27/2023","STAI-S","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NA"," 4=flood",105,19.9,6.45,698,9.9,5.1,0.12,0.74,17," 1=absent",2," Inside",NA," false"," guest: Brian Armstrong and Anthony Elias-Linarez. Depth from handheld; code 2 due to depth",2023-04-27,2023,4,"2023-04-27 09:01","Spring","Handheld depth finder",3.7,3.7,332.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,15281,0,0,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","NOFISH","NOFISHCTCH","NONE","No Catch","Fish","","","","","","","","","","","",FALSE,"Present",NA,"No Catch","","","","","No Catch",NA,"LAMOPE01-STAI-27APR2023","No Catch",NA,0,0,0,NA,"LAMOPE01-STAI-27APR2023","No Catch"
"91","LAMOPE01-TULE-26JAN2023","974",469,12292,7292,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",1.7,NA,NA,NA,"","08:01","",NA,NA,NA,38.128945,121.988682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%"," ",NA,""," not paired. gps 5; accuracy 2m. repaired a 4-5 inch section along float line that came disconnected",NA,"true","Mudsucker","ED;SH;GP;KS","Tule Red","01/26/2023","TULE-CH-LG-M","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",16,8.5,11.02,657,7.6,108.3,0.63,1.14,13.9," 1=absent",2," Inside",NA," false"," ",2023-01-26,2023,1,"2023-01-26 08:01","Winter","",2,2,206.41862200576," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14507,1,0,"","",NA,"",28294,299,NA,"true",0,0,0,0,0,0,NA,"","false","false","","SPLITT","ST","SPLT","Splittail","Fish","macrolepidotus","Pogonichthys","Cyprinidae","Cypriniformes","Actinopterygii","Chordata","Native","Moderate Concern","","MC","",FALSE,"Present",NA,"Sacramento Splittail","Fish Larvae","Fish Larvae","fish","fish","Sacramento Splittail",1,"LAMOPE01-TULE-26JAN2023","Splittail",0,48.4452415331062,48.4452415331062,48.4452415331062,1,"LAMOPE01-TULE-26JAN2023","Splittail"
"92","LAMOPE01-TULE-28FEB2023","136",195,12361,7341,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",2.4,NA,NA,NA,"","08:15","",NA,NA,NA,38.133988,121.994968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired.",NA,"true","Mudsucker","AC;DMC;ED;GU;GN","Tule Red","02/28/2023","TULE-CH-LG-NW","4=rain","1=wind 1-3 mph; scaley ripples"," SE"," 4=flood",10,7.6,11.55,3713,7.8,110.1,0.56,0.63,9.5," 1=absent",2," Inside",NA," false"," LS= Leigh Sanders (Guest)",2023-02-28,2023,2,"2023-02-28 08:15","Winter","",2.7,2.7,265.477555979498," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14682,1,1,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","EXOPAL","EXOPAL","SHR","Siberian Prawn","Invertebrate","modestus","Exopalaemon","Palaemonidae","Decapoda","Malacostraca","Arthropoda","Introduced","","","","adult",TRUE,"Present",NA,"","Decapoda Adult","Decapoda","Decapoda","Decapoda","Exopalaemon",NA,"LAMOPE01-TULE-28FEB2023","Siberian Prawn",NA,37.6679676860227,0,0,NA,"LAMOPE01-TULE-28FEB2023","Siberian Prawn"
"93","LAMOPE01-WINT-12JAN2023","197",315,12253,7250,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",1.2,NA,NA,NA,"","08:26","",NA,NA,NA,38.046178,121.849661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired. net briefly caught on something but it came loose when it was being pulled in; no holes found",NA,"true","Mudsucker","MA;AC;ED;GP","Winter Island","01/12/2023","WINT-CH-BREACH-E","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 1=high slack",22,10.1,9.83,231,7.3,57.3,0.86,0.69,24.1," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 08:26","Winter","",1.5,1.5,159.12201242824," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14372,1,0,"","",NA,"",28068,80,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",1,"LAMOPE01-WINT-12JAN2023","Mississippi Silverside",0,62.8448562671978,62.8448562671978,62.8448562671978,1,"LAMOPE01-WINT-12JAN2023","Mississippi Silverside"
"94","LAMOPE01-WINT-15MAR2023","197",315,12389,7369,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",3.2,NA,NA,NA,"","09:07","",NA,NA,NA,38.03177,121.842671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired. ",NA,"true","Mudsucker","DMC;ED;AM;KMP","Winter Island","03/15/2023","WINT-CH-INT","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",40,11.2,10.19,211,7.5,16,0.42,0.71,22.2," 1=absent",1," Inside",NA," false"," ",2023-03-15,2023,3,"2023-03-15 09:07","Spring","",3.5,3.5,322.75016704264," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14764,1,0,"","",NA,"",28751,58,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",1,"LAMOPE01-WINT-15MAR2023","Mississippi Silverside",0,30.9837175039443,30.9837175039443,30.9837175039443,1,"LAMOPE01-WINT-15MAR2023","Mississippi Silverside"
"95","LAMOPE01-WTIB-02MAR2023","9999",345,12374,7354,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",6.9,NA,NA,NA,"","08:48","",NA,NA,NA,38.095843,121.592125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," code 2 - depth. gps 5; accuracy 2m. not paired",NA,"true","Mudsucker","AC;DMC;ED;GU;AM","Webb Tract Island and Berms","03/02/2023","WTIB-CH-S","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",59,8.3,11.13,261,7.7,8.8,0.49,0.62,24.4," 1=absent",1," Outside",NA," false"," BA= BRIAN ARMSTRONG GUEST",2023-03-02,2023,3,"2023-03-02 08:48","Spring","",7.2,7.2,332.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14702,0,0,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","NOFISH","NOFISHCTCH","NONE","No Catch","Fish","","","","","","","","","","","",FALSE,"Present",NA,"No Catch","","","","","No Catch",NA,"LAMOPE01-WTIB-02MAR2023","No Catch",NA,0,0,0,NA,"LAMOPE01-WTIB-02MAR2023","No Catch"
"96","LAMOPE01-WTIB-12APR2023","1362",1362,12756,7696,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",3.6,NA,NA,NA,"","15:25","",NA,NA,NA,38.095075,121.583455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," gps 6; accuracy 3m. paired. code 2 - depth. gps calculated 2023 sample inventory 9/11/23 ed",NA,"true","Mudsucker","MA;ED;GU;AM","Webb Tract Island and Berms","04/12/2023","WTIB-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",67,15.6,9.65,160,7.4,9.8,0.18,0.38,14.1," 1=absent",1," Outside",NA," false"," ",2023-04-12,2023,4,"2023-04-12 15:25","Spring","",3.9,3.9,332.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,15064,3,0,"","",NA,"",29124,97,NA,"true",0,0,0,0,0,0,NA,"","false","false","","CHISAL-S","","","Chinook Salmon (spring)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","State Threatened","Federally Threatened","ST, FT","",FALSE,"Present",NA,"Chinook Salmon (spring)","","","fish","fish","Chinook Salmon (spring)",3,"LAMOPE01-WTIB-12APR2023","Chinook Salmon (spring)",0,90.1713255184851,90.1713255184851,150.285542530809,0.6,"LAMOPE01-WTIB-12APR2023","Chinook Salmon (spring)"
"97","LAMOPE02-BROA-02FEB2023","8",115,12313,7313,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",2.6,NA,NA,NA,"","08:50","",NA,NA,NA,38.044829,121.846553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," not paired. gps 5; accuracy 2m. ",NA,"true","Mudsucker","AC;ED;GU;GP;KS","Broad Slough","02/02/2023","BROA-INT","1=0-33% clouds","0=Calm; glassy"," NE"," 4=flood",35,8.2,10.44,252,7.5,25,0.34,0.62,22.3," 1=absent",2," Inside",NA," false"," ",2023-02-02,2023,2,"2023-02-02 08:50","Winter","",2.9,2.9,280.81804009311," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14548,1,1,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","CORBIC","CORBICULA","","Corbicula","Fish","fluminea","Corbicula","Corbiculidae","Veneroida","Bivalvia","Mollusca","","","","","adult",FALSE,"Corbicula",NA,"","Bivalvia","Other","Bivalvia","Mollusca","Corbicula",NA,"LAMOPE02-BROA-02FEB2023","Corbicula",NA,35.6102478198492,0,0,NA,"LAMOPE02-BROA-02FEB2023","Corbicula"
"98","LAMOPE02-BROA-05APR2023","9999",345,12522,7482,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",9.2,NA,NA,NA,"","09:54","",NA,NA,NA,38.051843,121.842599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," gps 5; accuracy 2m. not paired. using handheld depth finder. code 2: depth",NA,"true","Mudsucker","AC;ED;AM;GN","Broad Slough","04/05/2023","BROA-EXT","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NW"," 2=ebb",40,12.2,10.06,174,7.4,18,0.17,0.5,14.1," 1=absent",2," Inside",NA," false"," ",2023-04-05,2023,4,"2023-04-05 09:54","Spring","",9.5,9.5,332.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14922,0,0,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","NOFISH","NOFISHCTCH","NONE","No Catch","Fish","","","","","","","","","","","",FALSE,"Present",NA,"No Catch","","","","","No Catch",NA,"LAMOPE02-BROA-05APR2023","No Catch",NA,0,0,0,NA,"LAMOPE02-BROA-05APR2023","No Catch"
"99","LAMOPE02-BROA-05DEC2022","197",315,12102,7102,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",3.4,NA,NA,NA,"","09:37","",NA,NA,NA,38.048499,121.847578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 0%"," ",NA,""," code 2 - depth slightly too deep; gps 5 accuracy 2m; paired n",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough","12/05/2022","BROA-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," S"," 4=flood",62,10.8,9.98,10402,7.6,10,0.18,0.29,6.9," 1=absent",2," Inside",NA," false"," code 2 - depth slightly too deep",2022-12-05,2022,12,"2022-12-05 09:37","Fall","",3.7,3.7,332.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14043,2,0,"","",NA,"",26222,60,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",2,"LAMOPE02-BROA-05DEC2022","Mississippi Silverside",0,60.1142170123234,60.1142170123234,60.1142170123234,1,"LAMOPE02-BROA-05DEC2022","Mississippi Silverside"
"100","LAMOPE02-BROA-17NOV2022","197",315,12173,7172,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",1.8,NA,NA,NA,"","08:24","",NA,NA,NA,38.040369,121.845076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," "," ",NA,""," gps 5; accuracy 2. not paired. dominant vegetation in net: stuccenia; tule cali; hyacinth. dead tules. ",NA,"true","Mudsucker","AC;ED;GP;KS","Broad Slough","11/17/2022","BROA-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",73,12.8,9.8,4441,7.7,7.1,0.15,0.39,6.6," 1=absent",2," Inside",NA," false"," ",2022-11-17,2022,11,"2022-11-17 08:24","Fall","",2.1,2.1,215.36677824735," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14210,26,0,"","",NA,"",27200,53,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",26,"LAMOPE02-BROA-17NOV2022","Mississippi Silverside",0,1207.24283529648,1207.24283529648,1207.24283529648,1,"LAMOPE02-BROA-17NOV2022","Mississippi Silverside"
"101","LAMOPE02-BROA-18MAY2023","1361",1361,13412,8012,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",8,NA,NA,NA,"","09:11","",NA,NA,NA,38.045395,121.846622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," gps 6 accuracy 3m. code 2: depth. depth from handheld",NA,"true","Mudsucker","MA;ED;SH;KMP","Broad Slough","05/18/2023","BROA-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",56,19,8.9,128,7.5,11.1,0.1,0.48,8.3," 1=absent",2," Inside",NA," false"," ",2023-05-18,2023,5,"2023-05-18 09:11","Spring","Handheld depth finder",8,8,332.7," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,15220,1,0,"","",NA,"",29364,95,NA,"true",0,0,0,0,0,0,NA,"FRP23-547","false","false","preserved on ice","CHISAL-F","","","Chinook Salmon (fall)","Fish","tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopterygii","Chordata","Native","","","","",FALSE,"Present",NA,"Chinook Salmon (fall)","","","fish","fish","Chinook Salmon (fall)",1,"LAMOPE02-BROA-18MAY2023","Chinook Salmon (fall)",0,30.0571085061617,30.0571085061617,60.1142170123234,0.5,"LAMOPE02-BROA-18MAY2023","Chinook Salmon (fall)"
"102","LAMOPE02-DECK-10MAY2023","197",315,13383,7983,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",1.9,NA,NA,NA,"","08:33","",NA,NA,NA,38.08432,121.723897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%"," ",NA,""," depth from handheld. gps 6 accuracy 3m. gps calculated in 2023 sample inventory - ed 9/11/2023",NA,"true","Mudsucker","CB;AC;ED;AM","Decker Island","05/10/2023","DECK-TP","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 1=high slack",71,14.6,9.51,124,7.6,7.7,0.09,0.38,6.7," 1=absent",2," Inside",NA," false"," ",2023-05-10,2023,5,"2023-05-10 08:33","Spring","Handheld depth finder",1.9,1.9,197.300077206198," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,15198,4,0,"","",NA,"",29277,59,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",4,"LAMOPE02-DECK-10MAY2023","Mississippi Silverside",0,202.7368694752,202.7368694752,253.421086844,0.8,"LAMOPE02-DECK-10MAY2023","Mississippi Silverside"
"103","LAMOPE02-DECK-30NOV2022","110217",1381,12218,7216,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",0.7,NA,NA,NA,"","10:20","",NA,NA,NA,38.084209,121.724037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",1,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired. narrow area= code 2; a lot of dead tule",NA,"true","Mudsucker","AC;ED;GP;KS","Decker Island","11/30/2022","DECK-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 4=flood",NA,10.5,10.24,3330,7.6,7.6,0.18,0.26,6.2," 1=absent",2," Inside",NA," false"," SECCHI =70cm + HIT BOTTOM",2022-11-30,2022,11,"2022-11-30 10:20","Fall","",1,1,107.56568890144," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14286,2,0,"","",NA,"",27712,32,0,"true",0,0,0,0,0,0,NA,"","false","false","","KILSPP","","KLF","Killifish spp.","Fish","","Lucania","Cyprinodontidae","Cyprinodontiformes","Osteichthyes","Chordata","Introduced","","","","adult",NA,"",NA,"Killifish spp.","","","","","",2,"LAMOPE02-DECK-30NOV2022","Killifish spp.",0,185.932895556738,185.932895556738,371.865791113476,0.5,"LAMOPE02-DECK-30NOV2022","Killifish spp."
"104","LAMOPE02-FLYW-08MAR2023","110217",1381,12386,7366,"true","Seine","LAMOPE","","2. Partial twist; snag; or tear"," 2= against flow"," ",0.9,NA,NA,NA,"","11:16","",NA,NA,NA,38.362298,121.642792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members and Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 1-33%"," ",NA,""," gps 5; accuracy 2m. not paired. ",NA,"true","Mudsucker","AC;ED;GU;AM;GP","Flyway Farms","03/08/2023","FLYW-CH-N","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",17,10.4,10.05,769,7.9,29.8,0.88,2.18,20," 1=absent",1," Inside",NA," false"," LS= Leigh Sanders (guest)",2023-03-08,2023,3,"2023-03-08 11:16","Spring","",1.2,1.2,128.699383986074," 2. Partial twist; snag; or tear",NA,NA,NA,NA,NA,14747,2,0,"","",NA,"",28740,32,NA,"true",0,0,0,0,0,0,NA,"","false","false","","KILSPP","","KLF","Killifish spp.","Fish","","Lucania","Cyprinodontidae","Cyprinodontiformes","Osteichthyes","Chordata","Introduced","","","","adult",NA,"",NA,"Killifish spp.","","","","","",2,"LAMOPE02-FLYW-08MAR2023","Killifish spp.",0,155.400899216147,155.400899216147,1398.60809294532,0.111111111111111,"LAMOPE02-FLYW-08MAR2023","Killifish spp."
"105","LAMOPE02-FLYW-14NOV2022","197",315,12164,7163,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",1.2,NA,NA,NA,"","13:58","",NA,NA,NA,38.360817,121.641151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crew Members and Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",NA,NA," 1-33%"," ",NA,""," gps 5; accuracy 3m. paired.",NA,"true","Mudsucker","DMC;ED;GP","Flyway Farms","11/14/2022","FLYW-UNK","1=0-33% clouds","0=Calm; glassy"," NA"," 2=ebb",73,12.5,11.53,200,8.2,6.8,0.13,0.34,7.5," 1=absent",1," Inside",NA," false"," WQ TAKEN AFTER SAMPLE PROCESSED; SEA ARK STILL UPSTREAM; WATER DISTURBED STILL",2022-11-14,2022,11,"2022-11-14 13:58","Fall","",1.5,1.5,159.12201242824," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,14188,313,283,"","",NA,"",26993,68,NA,"true",0,0,0,0,0,0,NA,"","false","false","","MISSIL","ISS","MSS","Mississippi Silverside","Fish","berryllia","Menidia","Atherinopsidae","Atheriniformes","Actinopterygii","Chordata","Introduced","","","","larvae",FALSE,"Present",NA,"Mississippi Silverside","Fish Larvae","Fish Larvae","fish","fish","Mississippi Silverside",30,"LAMOPE02-FLYW-14NOV2022","Mississippi Silverside",0,19670.4400116329,19670.4400116329,19670.4400116329,1,"LAMOPE02-FLYW-14NOV2022","Mississippi Silverside"
"106","LAMOPE02-GRIZ-16MAY2023","9999",345,13403,8003,"true","Seine","LAMOPE","","1. No twists; snags; or tears"," 2= against flow"," ",0.9,NA,NA,NA,"","09:45","",NA,NA,NA,38.130617,121.997562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","",3,NA," 0%"," ",NA,""," depth from handheld. gps 6 accuracy 4m",NA,"true","Mudsucker","AC;ED;GU;AM","Grizzly Bay","05/16/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," SW"," 4=flood",19,17.3,9.59,154,7.9,63.9,0.67,1.52,6.1," 1=absent",1," Inside",NA," false"," Guest - Anthony Elias-Linarez",2023-05-16,2023,5,"2023-05-16 09:45","Spring","Handheld depth finder",0.9,0.9,96.7432585221664," 1. No twists; snags; or tears",NA,NA,NA,NA,NA,15206,0,0,"","",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","","","","NOFISH","NOFISHCTCH","NONE","No Catch","Fish","","","","","","","","","","","",FALSE,"Present",NA,"No Catch","","","","","No Catch",NA,"LAMOPE02-GRIZ-16MAY2023","No Catch",NA,0,0,0,NA,"LAMOPE02-GRIZ-16MAY2023","No Catch"
