"SampleID_key","SampleID_frp","VisitNo","QAQC","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","newStation","fixedLatStart","fixedLongStart","fixedLatEnd","fixedLongEnd"
12254,"LAMOPE02-WINT-12JAN2023",7251,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.6,NA,NA,NA,"","08:44","",NA,NA,NA,38.044494,121.846909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. SEINE CODE 2 DUE TO DEPTH; FIXED HOLE ON LEAD LINE (~4IN) AFTER SAMPLE","WINT-CH-E",38.044494,-121.846909,NA,NA
12255,"LAMOPE03-WINT-12JAN2023",7252,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.6,NA,NA,NA,"","09:09","",NA,NA,NA,38.031796,121.842607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. SEINE CODE 2 DUE TO DEPTH. REPAIRED HOLE IN NET ON COD END SEAM (~3IN) AFTER SAMPLE","WINT-CH-INT",38.031796,-121.842607,NA,NA
12257,"LAMOPE04-BROW-12JAN2023",7253,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",1.4,NA,NA,NA,"","09:54","",NA,NA,NA,38.040131,121.858524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 3M. NOT PAIRED. COD END 1/4 FULL OF MUD AND DETRITUS","BROW-TP",38.040131,-121.858524,NA,NA
12258,"LAMOPE05-BROW-12JAN2023",7254,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.8,NA,NA,NA,"","10:27","",NA,NA,NA,38.039703,121.864099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 3M. NOT PAIRED. SEINE CODE 2 DUE TO DEPTH.","BROW-CH-MAIN",38.039703,-121.864099,NA,NA
12259,"LAMOPE06-BROW-12JAN2023",7255,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.6,NA,NA,NA,"","10:52","",NA,NA,NA,38.042799,121.871486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. FISH COLLECTIONS: FRP23-001 HITCH 290 0 FIN CLIP ETOH; FRP23-500 CHISAL-F 37 0 WHOLE ICE; FRP23-501 THRSTI 44 0 WHOLE ETOH","BROW-CH-MAIN",38.042799,-121.871486,NA,NA
12260,"LAMOPE07-CHIP-12JAN2023",7256,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.2,NA,NA,NA,"","11:40","",NA,NA,NA,38.059639,121.918052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED.","CHIP-UNK",38.059639,-121.918052,NA,NA
12261,"LAMOPE08-CHIP-12JAN2023",7257,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.2,NA,NA,NA,"","12:10","",NA,NA,NA,38.057301,121.920764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED.","CHIP-UNK",38.057301,-121.920764,NA,NA
12262,"LAMOPE09-HONK-12JAN2023",7258,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.6,NA,NA,NA,"","12:32","",NA,NA,NA,38.079453,121.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED.","HONK-HONK",38.079453,-121.91,NA,NA
12263,"LAMOPE10-HONK-12JAN2023",7259,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.9,NA,NA,NA,"","12:58","",NA,NA,NA,38.071505,121.910893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. ","HONK-HONK",38.071505,-121.910893,NA,NA
12264,"LAMOPE11-CHIP-12JAN2023",7260,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.2,NA,NA,NA,"","13:28","",NA,NA,NA,38.06507,121.911757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," Garmin 5",2," "," GPS 5; ACCURACY 2. NOT PAIRED. FRP23-502 CHISAL-F 37 0 WHOLE ICE","CHIP-UNK",38.06507,-121.911757,NA,NA
12265,"LAMOPE12-HONK-12JAN2023",7261,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",5.6,NA,NA,NA,"","14:03","",NA,NA,NA,38.055171,121.894993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. Code 2: Depth","HONK-SPOON",38.055171,-121.894993,NA,NA
12266,"LAMOPE13-BROA-12JAN2023",7262,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.4,NA,NA,NA,"","14:26","",NA,NA,NA,38.048597,121.848221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. SEINE CODE 2 -DEPTH","BROA-INT",38.048597,-121.848221,NA,NA
12267,"LAMOPE14-BROA-12JAN2023",7263,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.8,NA,NA,NA,"","14:42","",NA,NA,NA,38.038558,121.844333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. SEINE CODE 2 - DEPTH","BROA-INT",38.038558,-121.844333,NA,NA
12268,"LAMOPE15-BROA-12JAN2023",7264,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",3,NA,NA,NA,"","15:01","",NA,NA,NA,38.032679,121.839569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED.","BROA-INT",38.032679,-121.839569,NA,NA
12269,"LAMOPE01-PEYT-19JAN2023",7265,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.7,NA,NA,NA,"","07:35","",NA,NA,NA,38.226707,122.034588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. SAMPLED THROUGH TULE. FRP23-503 THRSTI 36 0 WHOLE ETOH","PEYT-PEYT",38.226707,-122.034588,NA,NA
12270,"LAMOPE02-PEYT-19JAN2023",7266,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.7,NA,NA,NA,"","08:00","",NA,NA,NA,38.222181,122.04348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," Garmin 5",2," "," ","PEYT-PEYT",38.222181,-122.04348,NA,NA
12271,"LAMOPE03-WING-19JAN2023",7267,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,NA,NA,"","08:20","",NA,NA,NA,38.222538,122.041185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED","WING-TP-INT",38.222538,-122.041185,NA,NA
12272,"LAMOPE04-WING-19JAN2023",7268,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,NA,NA,"","08:35","",NA,NA,NA,38.220765,122.041146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED.","WING-TP-INT",38.220765,-122.041146,NA,NA
12273,"LAMOPE05-WING-19JAN2023",7269,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,NA,NA,"","08:49","",NA,NA,NA,38.219083,122.039343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED","WING-TP-INT",38.219083,-122.039343,NA,NA
12274,"LAMOPE06-PEYT-19JAN2023",7270,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.3,NA,NA,NA,"","09:15","",NA,NA,NA,38.210755,122.035481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 3. NOT PAIRED. PULLED NET THROUGH TULE (CALIFORNICUS). FRP23-504 THRSTI @32","PEYT-SUIS",38.210755,-122.035481,NA,NA
12275,"LAMOPE07-NURS-19JAN2023",7271,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.3,NA,NA,NA,"","10:20","",NA,NA,NA,38.17696,121.920852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. PULLED NET THROUGH TULE (CALIFORNICUS)","NURS-LHB-SW",38.17696,-121.920852,NA,NA
12276,"LAMOPE08-NURS-19JAN2023",7272,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.9,NA,NA,NA,"","10:42","",NA,NA,NA,38.176481,121.910579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 5. NOT PAIRED. CODE 2 - DEPTH","NURS-EXT-ARNO-SW",38.176481,-121.910579,NA,NA
12277,"LAMOPE09-NURS-19JAN2023",7273,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.8,NA,NA,NA,"","11:04","",NA,NA,NA,38.182996,121.915176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED.","NURS-LHB-NE",38.182996,-121.915176,NA,NA
12278,"LAMOPE10-ARNO-19JAN2023",7274,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.6,NA,NA,NA,"","11:25","",NA,NA,NA,38.175538,121.907831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. THRSTI collected in ETOH FRP23-505","ARNO-CH-NE",38.175538,-121.907831,NA,NA
12279,"LAMOPE11-ARNO-19JAN2023",7275,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.9,NA,NA,NA,"","11:55","",NA,NA,NA,38.180359,121.900047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED.","ARNO-UNK",38.180359,-121.900047,NA,NA
12280,"LAMOPE12-ARNO-19JAN2023",7276,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1,NA,NA,NA,"","12:12","",NA,NA,NA,38.177095,121.900665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. WAKASA=FRP23-506. CHISAL-F=FRP23-507. UNID PLANT = TERRESTRIAL GRASS MAYBE.","ARNO-UNK",38.177095,-121.900665,NA,NA
12281,"LAMOPE01-LIBE-25JAN2023",7281,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,NA,NA,"","08:42","",NA,NA,NA,38.298788,121.680292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. LEIGH SANDERS IS A GUEST. UNID SHRIMPS HAD BROKEN ROSTRUMS.","LIBE-UNK",38.298788,-121.680292,NA,NA
12282,"LAMOPE02-LIBE-25JAN2023",7282,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.5,NA,NA,NA,"","09:26","",NA,NA,NA,38.291193,121.678204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 5; ACCURACY 3M. ","LIBE-UNK",38.291193,-121.678204,NA,NA
12283,"LAMOPE03-LOWE-25JAN2023",7283,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 1= with flow"," ",0.9,NA,NA,NA,"","10:30","",NA,NA,NA,38.349324,121.679599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Crew Members and Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. PHYSICALLY CANNOT TURN BOAT AROUND TO TOW AGAINST (CODE 2). 57 PRICKLY SCULPIN WAS VERY GRAVID. ","LOWE-CH-W",38.349324,-121.679599,NA,NA
12284,"LAMOPE04-LOWE-25JAN2023",7284,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,NA,NA,"","11:11","",NA,NA,NA,38.355914,121.654825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. ","LOWE-CH-NE",38.355914,-121.654825,NA,NA
12285,"LAMOPE05-LOWE-25JAN2023",7285,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.6,NA,NA,NA,"","11:49","",NA,NA,NA,38.348953,121.662624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. STRONG EBB. ","LOWE-CH-ENTRANCE-S",38.348953,-121.662624,NA,NA
12286,"LAMOPE06-FLYW-25JAN2023",7286,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.5,NA,NA,NA,"","12:24","",NA,NA,NA,38.365055,121.642861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. SPLITTAIL HAS TUBERCLES ON HEAD","FLYW-CH-N",38.365055,-121.642861,NA,NA
12287,"LAMOPE07-FLYW-25JAN2023",7287,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.1,NA,NA,NA,"","12:57","",NA,NA,NA,38.361017,121.643026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 3M. ","FLYW-CH-N",38.361017,-121.643026,NA,NA
12288,"LAMOPE08-STAI-25JAN2023",7288,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",3.3,NA,NA,NA,"","13:15","",NA,NA,NA,38.350014,121.656044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","3",NA," 0%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M.","STAI-N",38.350014,-121.656044,NA,NA
12289,"LAMOPE09-STAI-25JAN2023",7289,"true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",5.1,NA,NA,NA,"","13:52","",NA,NA,NA,38.327418,121.667073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","3",NA," 0%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. 2 SEINE CODE B/C OF DEPTH. MISSIL HAD SOME INTERNAL BLEEDING NEAR ANUS.","STAI-LIBE",38.327418,-121.667073,NA,NA
12290,"LAMOPE10-STAI-25JAN2023",7290,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.8,NA,NA,NA,"","14:15","",NA,NA,NA,38.303006,121.667441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","3",NA," 1-33%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M.","STAI-LIBE",38.303006,-121.667441,NA,NA
12291,"LAMOPE11-LIBE-25JAN2023",7291,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.8,NA,NA,NA,"","14:48","",NA,NA,NA,38.25602,121.686229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","3",NA," 34-66%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. MANY TINY SNAILS IN SAV. UNID SHRIMP DUE TO BROKEN ROSTRUM","LIBE-UNK",38.25602,-121.686229,NA,NA
12292,"LAMOPE01-TULE-26JAN2023",7292,"true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.7,NA,NA,NA,"","08:01","",NA,NA,NA,38.128945,121.988682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," NOT PAIRED. GPS 5; ACCURACY 2M. REPAIRED A 4-5 INCH SECTION ALONG FLOAT LINE THAT CAME DISCONNECTED","TULE-CH-LG-M",38.128945,-121.988682,NA,NA
