"VisitNo","QAQC","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData","SiteComments","newStation","newLocation"
7687,"true","SeaArk","DMC;SH","Arnold Slough","03/23/2023","ARNO-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",12,13.2,10.62,671,7.6,75.8,0.72,1.49,25.4," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m","ARNO-UNK","Arnold Slough"
8429,"true","Mudsucker","AC;DMC;ED;DH;AM","Arnold Slough","11/28/2023","ARNO-CH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",33,10.9,8.8,8691,7.5,23,0.26,1.15,36.1," 1=absent",2," Inside",NA," false"," ","ARNO-CH-N","Arnold Slough"
8500,"true","Mudsucker","AC;ED;AM;SS","Arnold Slough","12/26/2023","ARNO-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",64,10.7,9.54,7604,7.4,10,0.2,0.72,18.9," 1=absent",2," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
7588,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-CH-NE","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",27,13.8,10.08,985,7.7,35.5,0.62,1.42,26.1," 1=absent",1," Inside",NA," false"," flow changes direction midway through tow. ","ARNO-CH-NE","Arnold Slough"
7441,"true","Mudsucker","AC;ED;AM;GP","Arnold Slough","03/16/2023","ARNO-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," N"," 2=ebb",21,14.1,8.95,1624,7.4,39.1,0.73,1.79,35," 1=absent",1," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
8072,"true","Mudsucker","DMC;ED;AM","Arnold Slough","05/03/2023","ARNO-UNK","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 1=high slack",29,17.3,9.48,946,7.6,24.9,0.96,1.43,31.8," 1=absent",1," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
7587,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-CH-SE","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",23,13.5,10.09,960,7.7,38,0.56,1.25,25.7," 1=absent",1," Inside",NA," false"," same location as second trawl due to lack of trawlable areas","ARNO-CH-SE","Arnold Slough"
7471,"true","Mudsucker","CB;AC;ED;GU","Arnold Slough","04/04/2023","ARNO-CH-SE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",22,14.3,10.6,918,7.7,30.5,0.35,1.34,21.6," 1=absent",2," Inside",NA," false"," DNC = DANIE COYE (GUEST)","ARNO-CH-SE","Arnold Slough"
7469,"true","Mudsucker","CB;AC;ED;GU","Arnold Slough","04/04/2023","ARNO-CH-M","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",22,13.9,10.5,1071,7.6,35.5,0.36,1.34,24.8," 1=absent",2," Inside",NA," false"," ","ARNO-CH-M","Arnold Slough"
8060,"true","Airboat","AC;ED;SH;AM","Arnold Slough","05/09/2023","ARNO-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,23.3,13.2,1093,8.1,251.8,1.03,428.4,27.2," 1=absent",2," Inside",NA," true"," YSI off; taken in shallow turbid water","ARNO-UNK","Arnold Slough"
8478,"true","Airboat","DMC;DD;SH;AM","Arnold Slough","12/21/2023","ARNO-CH-NE","3=66-100% clouds","2= wind 4-7 mph; small wavelets"," N"," 2=ebb",57,11.7,8.47,8306,7.2,11.8,0.23,0.99,23.2," 1=absent",2," Inside",NA," false"," ","ARNO-CH-NE","Arnold Slough"
7440,"true","Mudsucker","AC;ED;AM;GP","Arnold Slough","03/16/2023","ARNO-CH-M","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," N"," 2=ebb",27,12.8,9.29,1336,7.4,30,0.49,1.04,28.1," 1=absent",1," Inside",NA," false"," ","ARNO-CH-M","Arnold Slough"
8479,"true","Airboat","DMC;DD;SH;AM","Arnold Slough","12/21/2023","ARNO-UNK","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",NA,12.3,9.74,8410,7.4,22.4,0.32,1.08,16," 1=absent",2," Inside",NA," false"," secchi hit bottom","ARNO-UNK","Arnold Slough"
7585,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",19,13.9,11.21,1052,7.8,37.6,0.65,1.52,29.5," 1=absent",1," Inside",NA," false"," tide just switched and it is not clear where water is flowing. ","ARNO-UNK","Arnold Slough"
7686,"true","SeaArk","DMC;SH","Arnold Slough","03/23/2023","ARNO-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",15,13,10.66,655,7.6,77.4,0.79,1.3,23.3," 1=absent",1," Inside",NA," false"," secchi in sunlight","ARNO-CH-NE","Arnold Slough"
7582,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-CH-NE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",21,12.5,9.74,994,7.6,42.5,0.64,1.29,26.1," 1=absent",1," Inside",NA," false"," point samples only","ARNO-CH-NE","Arnold Slough"
7439,"true","Mudsucker","AC;ED;AM;GP","Arnold Slough","03/16/2023","ARNO-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",28,13,9.49,1275,7.4,26.8,0.42,0.77,25.3," 1=absent",1," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
8073,"true","Mudsucker","DMC;ED;AM","Arnold Slough","05/03/2023","ARNO-CH-N","3=66-100% clouds","2= wind 4-7 mph; small wavelets"," S"," 2=ebb",43,16.1,8.4,791,7.5,20,0.95,1,20.8," 1=absent",1," Inside",NA," false"," ","ARNO-CH-N","Arnold Slough"
7583,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-CH-SE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",35,12.7,10.1,762,7.6,33.8,0.55,0.93,20.7," 1=absent",1," Inside",NA," false"," point samples only","ARNO-CH-SE","Arnold Slough"
7470,"true","Mudsucker","CB;AC;ED;GU","Arnold Slough","04/04/2023","ARNO-UNK","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 2=ebb",21,14,10.5,1024,7.5,32.6,0.35,1.27,24.9," 1=absent",2," Inside",NA," false"," DNC = DANIE COYE (GUEST)","ARNO-UNK","Arnold Slough"
8071,"true","Mudsucker","DMC;ED;AM","Arnold Slough","05/03/2023","ARNO-UNK","3=66-100% clouds","2= wind 4-7 mph; small wavelets"," NE"," 1=high slack",38,16.1,8.51,782,7.5,19.9,0.89,0.94,20.8," 1=absent",1," Inside",NA," false"," ","ARNO-UNK","Arnold Slough"
7584,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-UNK","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",21,13.6,10.52,1042,7.7,37.1,0.66,1.4,28.6," 1=absent",1," Inside",NA," false"," point samples only (taken in the middle of Arnold; not channel edge)","ARNO-UNK","Arnold Slough"
7581,"true","SeaArk","DMC;SH;GN","Arnold Slough","04/03/2023","ARNO-CH-NE","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 4=flood",19,12.4,9.73,971,7.6,39.7,0.62,1.19,25.4," 1=absent",1," Inside",NA," false"," point samples only; waited 45 minutes before first sample due to tides","ARNO-CH-NE","Arnold Slough"
7691,"true","SeaArk","DMC;GP","Blacklock","03/27/2023","BLAC-INT","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",23,11.8,8.99,814,7.4,46.4,0.66,0.95,24.5," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m","BLAC-INT","Blacklock Marsh"
7562,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-EXT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",28,11.9,9.12,915,7.4,29.1,0.22,0.79,22.4," 1=absent",2," Inside",NA," false"," ","BLAC-CH-EXT","Blacklock Marsh"
8497,"true","Mudsucker","AC;ED;AM;SS","Blacklock","12/26/2023","BLAC-INT","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",68,10.8,9.15,7730,7.4,10.5,0.18,0.63,16.8," 1=absent",2," Inside",NA," false"," ","BLAC-INT","Blacklock Marsh"
7549,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-2","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",28,11.1,9,903,7.4,29.7,0.29,0.92,22.5," 1=absent",2," Inside",NA," false"," ","BLAC-CH-2","Blacklock Marsh"
7693,"true","SeaArk","DMC;GP","Blacklock","03/27/2023","BLAC-UNK","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",22,12.1,9.16,797,7.4,41.2,0.56,0.85,24.1," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m; sampled entrance by tree","BLAC-CH-1","Blacklock Marsh"
7548,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,11.5,9.45,870,7.4,30.1,0.34,1.02,21.3," 1=absent",2," Inside",NA," false"," ","BLAC-INT","Blacklock Marsh"
7547,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",31,11,9.19,922,7.3,29.6,0.37,1.09,23.2," 1=absent",2," Inside",NA," false"," Point samples only","BLAC-INT","Blacklock Marsh"
8495,"true","Mudsucker","AC;ED;AM;SS","Blacklock","12/26/2023","BLAC-INT","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",67,10.5,9.04,7674,7.3,10.9,0.21,0.68,17.7," 1=absent",2," Inside",NA," false"," ","BLAC-INT","Blacklock Marsh"
8432,"true","Mudsucker","AC;DMC;ED;DH;AM","Blacklock","11/28/2023","BLAC-CH-2","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",42,10.3,8.73,8113,7.4,18,0.28,1.2,38.7," 1=absent",2," Inside",NA," false"," ","BLAC-CH-2","Blacklock Marsh"
7561,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-1","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,12.3,9.66,802,7.5,28.2,0.3,0.87,19.6," 1=absent",2," Inside",NA," false"," ","BLAC-CH-1","Blacklock Marsh"
7692,"true","SeaArk","DMC;GP","Blacklock","03/27/2023","BLAC-UNK","1=0-33% clouds","0=Calm; glassy"," NW"," 2=ebb",25,11.7,8.18,870,7.2,36.6,0.6,0.93,26.5," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m; did field blank on bank at rest area under tree","BLAC-CH-2","Blacklock Marsh"
8496,"true","Mudsucker","AC;ED;AM;SS","Blacklock","12/26/2023","BLAC-INT","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",62,10.5,9.2,7687,7.4,10.4,0.22,0.68,17.5," 1=absent",2," Inside",NA," false"," ","BLAC-INT","Blacklock Marsh"
8431,"true","Mudsucker","AC;DMC;ED;DH;AM","Blacklock","11/28/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",66,11.2,8.72,8870,7.5,21.3,0.26,1.14,36," 1=absent",2," Inside",NA," false"," ","BLAC-INT","Blacklock Marsh"
7546,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","0=Calm; glassy"," W"," 4=flood",30,10.7,9.04,925,7.3,29.1,0.32,0.96,23.4," 1=absent",2," Inside",NA," false"," Point samples only","BLAC-INT","Blacklock Marsh"
8430,"true","Mudsucker","AC;DMC;ED;DH;AM","Blacklock","11/28/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",37,10.2,8.81,8091,7.4,17.7,0.3,1.19,39," 1=absent",2," Inside",NA," false"," ","BLAC-INT","Blacklock Marsh"
8492,"true","Mudsucker","AC;ED;DD;AM;SS","Bradmoor Island","12/26/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",60,10.3,8.84,7833,7.3,11.4,0.23,0.75,20.9," 1=absent",2," Inside",NA," false"," ","BRAD-N","Bradmoor Island"
8425,"true","Mudsucker","AC;DMC;ED;DH;AM","Bradmoor Island","11/28/2023","BRAD-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",29,10,8.89,7890,7.4,25.1,0.29,1.13,37.4," 1=absent",2," Inside",NA," false"," ","BRAD-N","Bradmoor Island"
8426,"true","Mudsucker","AC;DMC;ED;DH;AM","Bradmoor Island","11/28/2023","BRAD-W","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",31,10.6,8.75,8562,7.4,26.9,0.29,1.12,36," 1=absent",2," Inside",NA," false"," ","BRAD-W","Bradmoor Island"
8494,"true","Mudsucker","AC;ED;AM;SS","Bradmoor Island","12/26/2023","BRAD-W","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",60,10.7,9.06,7718,7.3,10.8,0.21,0.57,16.7," 1=absent",2," Inside",NA," false"," ","BRAD-W","Bradmoor Island"
7544,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",24,11.5,8.83,1195,7.3,40.9,0.87,1.88,34.4," 1=absent",1," Inside",NA," false"," No point samples","BRAD-N","Bradmoor Island"
8371,"true","Airboat","DMC;ED;DH;SH","Bradmoor Island","11/16/2023","BRAD-N","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",NA,13.9,7.56,4939,7.3,50.7,0.44,1.64,33.7," 1=absent",2," Inside",NA," false"," ","BRAD-N","Bradmoor Island"
7684,"true","SeaArk","DMC;SH","Bradmoor Island","03/23/2023","BRAD-E","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",14,12.4,9.57,783,7.4,70.8,0.71,0.95,21.6," 1=absent",1," Inside",NA," false"," GPS#5; accuracy 2m","BRAD-E","Bradmoor Island"
8424,"true","Mudsucker","AC;DMC;ED;DH;AM","Bradmoor Island","11/28/2023","BRAD-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",39,9.6,9,7801,7.4,19.9,0.29,1.27,40.1," 1=absent",2," Inside",NA," false"," ","BRAD-N","Bradmoor Island"
8476,"true","Airboat","DMC;DD;SH;AM","Bradmoor Island","12/21/2023","BRAD-SS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",47,12,9.46,8403,7.4,9,0.22,0.57,16," 1=absent",2," Inside",NA," false"," ","BRAD-SS","Bradmoor Island"
7541,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","4=rain","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",19,11.5,9.49,825,7.5,30,0.66,1.04,23," 1=absent",1," Inside",NA," false"," ","BRAD-SS","Bradmoor Island"
8493,"true","Mudsucker","AC;ED;AM;SS","Bradmoor Island","12/26/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 4=flood",55,10.3,9.08,7784,7.3,12.6,0.19,0.73,19.5," 1=absent",2," Inside",NA," false"," ","BRAD-N","Bradmoor Island"
8047,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17,7.78,839,7.8,30.8,0.47,1.98,21.8," 1=absent",2," Inside",NA," false"," ","BRAD-SS","Bradmoor Island"
7683,"true","SeaArk","DMC;SH","Bradmoor Island","03/23/2023","BRAD-W","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",13,12.4,9.52,956,7.4,50.7,0.74,1.31,26.1," 1=absent",1," Inside",NA," false"," GPS #5; accuracy 2m","BRAD-W","Bradmoor Island"
8477,"true","Airboat","DMC;DD;SH;AM","Bradmoor Island","12/21/2023","BRAD-SS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",59,12.3,9.27,8416,7.4,11.4,0.24,0.76,16.9," 1=absent",2," Inside",NA," false"," ","BRAD-SS","Bradmoor Island"
7682,"true","SeaArk","DMC;SH","Bradmoor Island","03/23/2023","BRAD-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",17,11.9,8.62,976,7.2,54.5,0.83,1.58,28.6," ",1," Inside",NA," false"," GPS #5; accuracy 2m; ","BRAD-N","Bradmoor Island"
7545,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11.3,8.65,1189,7.3,40.9,0.84,1.81,35.1," 1=absent",1," Inside",NA," false"," Point samples only","BRAD-N","Bradmoor Island"
7543,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-SS","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11,9.7,857,7.5,32.5,0.68,1.16,25.2," 1=absent",1," Inside",NA," false"," ","BRAD-SS","Bradmoor Island"
8370,"true","Airboat","DMC;ED;DH;SH","Bradmoor Island","11/16/2023","BRAD-W","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",NA,14.1,8.18,5364,7.3,41.2,0.46,1.53,32.3," 1=absent",2," Inside",NA," false"," ","BRAD-W","Bradmoor Island"
8056,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-W","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,17.6,8.19,1027,7.4,21.7,0.29,1.42,28.1," 1=absent",2," Inside",NA," false"," ","BRAD-W","Bradmoor Island"
8369,"true","Airboat","DMC;ED;DH;SH","Bradmoor Island","11/16/2023","BRAD-SS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",NA,13.3,7.5,5215,7.2,24.8,0.71,1.42,38.9," 1=absent",2," Inside",NA," false"," ","BRAD-SS","Bradmoor Island"
7542,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",26,11.7,9.49,907,7.5,34.1,0.71,1.17,26.2," 1=absent",1," Inside",NA," false"," ","BRAD-N","Bradmoor Island"
8057,"true","Airboat","AC;ED;SH;AM","Bradmoor Island","05/09/2023","BRAD-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,16.9,7.76,1056,7.2,61.4,0.73,2.98,24.5," 1=absent",2," Inside",NA," false"," ","BRAD-N","Bradmoor Island"
8440,"true","Mudsucker","AC;ED;DD;GU;SH","Broad Slough","12/11/2023","BROA-EXT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",85,11.5,9.94,6384,7.6,5.8,0.17,0.37,7.4," 1=absent",2," Inside",NA," false"," ","BROA-EXT","Broad Slough"
7938,"true","Chinook","AC;DMC;DD;SH","Broad Slough","05/30/2023","BROA-INT","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 1=high slack",77,18.6,9.27,108,7.5,9,0.6,0.69,8.4," 1=absent",1," Inside",NA," false"," Point samples only.","BROA-INT","Broad Slough"
8012,"true","Mudsucker","MA;ED;SH;KMP","Broad Slough","05/18/2023","BROA-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",56,19,8.9,128,7.5,11.1,0.1,0.48,8.3," 1=absent",2," Inside",NA," false"," ","BROA-INT","Broad Slough"
8441,"true","Mudsucker","AC;ED;DD;GU;SH","Broad Slough","12/11/2023","BROA-EXT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",97,11.4,9.87,6751,7.5,5.1,0.21,0.48,7.5," 1=absent",2," Inside",NA," false"," LS = guest; Leigh Sanders","BROA-EXT","Broad Slough"
8442,"true","Mudsucker","AC;ED;DD;GU;SH","Broad Slough","12/11/2023","BROA-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," "," 4=flood",68,11.4,9.92,6125,7.6,5.6,0.19,0.41,7.4," 1=absent",2," Inside",NA," false"," ","BROA-INT","Broad Slough"
7763,"true","SeaArk","CB;DMC;SH","Broad Slough","05/22/2023","BROA-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",NA,19.8,8.82,120,7.5,11.7,0.11,0.65,7.6," 1=absent",2," Inside",NA," false"," no secchi; GPS#5; accuracy 2m","BROA-INT","Broad Slough"
7930,"true","Chinook","AC;DMC;DD;SH","Broad Slough","05/30/2023","BROA-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 4=flood",110,19,8.97,107,7.5,5.8,0.56,0.54,10," 1=absent",1," Inside",NA," false"," Point samples only.","BROA-INT","Broad Slough"
7937,"true","Chinook","AC;DMC;DD;SH","Broad Slough","05/30/2023","BROA-INT","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 1=high slack",78,18.8,9.12,109,7.5,7.1,0.56,0.56,8.9," 1=absent",1," Inside",NA," false"," Point samples only.","BROA-INT","Broad Slough"
7934,"true","Chinook","AC;DMC;DD;SH","Broad Slough","05/30/2023","BROA-INT","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," SW"," 4=flood",120,19.2,9.16,106,7.5,5.6,0.49,0.45,9.7," 1=absent",1," Inside",NA," false"," Point samples only.","BROA-INT","Broad Slough"
8013,"true","Mudsucker","MA;ED;SH;KMP","Broad Slough","05/18/2023","BROA-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",59,18.8,7.81,145,7.2,14.9,0.18,0.58,9.2," 1=absent",2," Inside",NA," false"," ","BROA-INT","Broad Slough"
8350,"true","Mudsucker","AC;ED;DH;AM","Broad Slough","11/15/2023","BROA-INT","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",85,15.3,8.46,5534,7.4,6.2,0.17,0.37,7.3," 1=absent",2," Inside",NA," false"," ","BROA-INT","Broad Slough"
8011,"true","Mudsucker","MA;ED;SH;KMP","Broad Slough","05/18/2023","BROA-EXT","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," W"," 2=ebb",68,19,8.92,126,7.6,10.4,0.11,0.46,8.2," 1=absent",2," Inside",NA," false"," ","BROA-EXT","Broad Slough"
7314,"true","Mudsucker","AC;ED;GU;GP;KS","Broad Slough","02/02/2023","BROA-INT","2=33-66% clouds","0=Calm; glassy"," NE"," 4=flood",32,8.3,10.37,260,7.4,26.5,0.32,0.59,21.8," 1=absent",2," Inside",NA," false"," Leigh Sanders : Guest","BROA-INT","Broad Slough"
7313,"true","Mudsucker","AC;ED;GU;GP;KS","Broad Slough","02/02/2023","BROA-INT","1=0-33% clouds","0=Calm; glassy"," NE"," 4=flood",35,8.2,10.44,252,7.5,25,0.34,0.62,22.3," 1=absent",2," Inside",NA," false"," ","BROA-INT","Broad Slough"
7263,"true","Mudsucker","MA;AC;ED;GP","Broad Slough","01/12/2023","BROA-INT","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",17,10.6,10.14,206,7.4,68.7,0.85,0.71,22.6," 1=absent",1," Inside",NA," false"," ","BROA-INT","Broad Slough"
