"","SampleID_frp","OrganismID","VisitNo","QAQC","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData","SiteComments","newStation","newLocation","SampleID_key","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","fixedLatStart","fixedLongStart","fixedLatEnd","fixedLongEnd","X","CommonName.x","subsample","Count","AdjCount","LAB_NAME","Date","effort","CPUE","Visit.Date2","year","month","OrganismCode","FishCode","Code_UCDAVIS","Code_YBFM","CommonName.y","Category","Species","Genus","Family","Order","Class","Phylum","Native","State.Status","Federal.Status","Status.Abrev","LifeStage","FishDiet","Legend_Clams","Legend_Fish_Color_hex","Legend_Fish","Legend_Macro","Legend_Meso","Analy","Analy2","CN","Legend2"
"11","MAC12-WINT-30MAY2023",16,7921,"true","Mudsucker","MA;GU;AM;GN","Winter Island","05/30/2023","WINT-CH-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",74,19.7,7.84,112,7.2,6.7,0.13,0.42,8.9," 1=absent",2," Inside",NA," false"," ","WINT-CH-INT","Winter Island",13242,"Trawl","MAC",""," "," 2= against flow"," Channel",1.5,NA,NA,NA,"","14:50","14:59",10,NA,NA,38.029726,121.841429,38.031751,121.842558,31506,547691,565655,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",11,11," "," Garmin 6",3," "," ",38.029726,-121.841429,38.031751,-121.842558,1516,"Americorophium spinicorne",100,4,4,"FRP","2023-05-30",94.7871625459661,0.0421998073637898,2023-05-30,2023,5,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"12","MAC13-TULE-05SEP2023",16,8227,"true","Mudsucker","DD;GU;DH;SH;GN","Tule Red","09/05/2023","TULE-CH-SM-11","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",73,19.8,4.44,11941,7,9.1,0.15,0.54,23.7," 1=absent",2," Inside",NA," false"," Guest is Natalie Kolm","TULE-CH-SM-11","Tule Red",13673,"Trawl","MAC",""," "," 2= against flow"," ",2.2,NA,49,NA,"","10:22","00:00",NA,NA,NA,38.11984,121.982107,NA,NA,31506,729848,731667,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","5.Boogie board",11,11," "," Garmin 6",2," "," ",38.11984,-121.982107,NA,NA,1816,"Americorophium spinicorne",100,2,2,"FRP","2023-09-05",9.62112750161874,0.207875844038394,2023-09-05,2023,9,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"13","MAC11-RUSH-12APR2023",16,7831,"true","Chinook","CB;DNC;SH;GN","Rush Ranch","04/12/2023","RUSH-N","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",14,15.6,7.42,2212,7.5,37.7,0.66,3.02,39.5," 1=absent",2," Inside",NA," false"," ","RUSH-N","Rush Ranch",12950,"Trawl","MAC",""," "," 2= against flow"," Channel",0.9,NA,NA,NA,"","08:56","09:01",5.5,NA,NA,38.204612,122.028323,38.204941,122.026411,31506,81950,91469,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",11,11," "," Garmin 5",2," "," Tows stopped at 5 min because channel becomes too shallow. MAC started 30s before NT/Zoop. so starting GPS for MAC is a bit off",38.204612,-122.028323,38.204941,-122.026411,1073,"Americorophium spinicorne",100,1,1,"FRP","2023-04-12",50.2270652569055,0.0199095845016052,2023-04-12,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"14","MAC21-BROW-13NOV2023",16,8532,"true","Chinook","AC;ED;SH;MO","Browns Island","11/13/2023","BROW-CH-W","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," N"," 2=ebb",78,16.3,9.03,9055,7.6,7.1,0.04,0.3,7.8," 1=absent",1," Inside",NA," false"," ","BROW-CH-W","Browns Island",14036,"Trawl","MAC",""," "," 2= against flow"," Channel",1.7,NA,NA,NA,"","14:15","14:25",10,NA,NA,38.035779,121.873834,38.041603,121.873703,31507,117686,143712,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," true"," 1.Surface","1.Boat",5,5," "," ",5," "," hit some veg pieces floating in water column; not a large amount",38.035779,-121.873834,38.041603,-121.873703,2238,"Americorophium spinicorne",100,2,2,"FRP","2023-11-13",137.326357850218,0.0145638465281472,2023-11-13,2023,11,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"15","MAC22-PEYT-13APR2023",16,7925,"true","Mudsucker","MA;ED;GU;AM","Peytonia-Suisun","04/13/2023","PEYT-SUIS","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",27,15.6,7.84,1902,7.7,28.3,0.42,2.02,37.6," 1=absent",2," Inside",NA," false"," ","PEYT-SUIS","Peytonia-Suisun",13254,"Trawl","MAC",""," "," 2= against flow"," Channel",2.5,NA,NA,NA,"","10:14","10:24",10,NA,NA,38.220759,122.025849,38.223746,122.02262,31511,393822,415257,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," Garmin 6",3," "," ",38.2158123333333,-122.034608,38.2187993333333,-122.031379,2462,"Americorophium spinicorne",100,2,2,"FRP","2023-04-13",113.101916564951,0.0176831663047147,2023-04-13,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"16","MAC23-TULE-17APR2023",16,7868,"true","Chinook","AC;LC;DNC;ED;SS","Tule Red","04/17/2023","TULE-CH-LG-NW","3=66-100% clouds","3= wind 8-12 mph; large wavelets"," SW"," 2=ebb",11,14.8,9.96,582,7.7,94.9,0.51,1.33,9.6," 1=absent",2," Inside",NA," false"," ","TULE-CH-LG-NW","Tule Red",13086,"Trawl","MAC",""," "," 2= against flow"," Channel",1.2,NA,NA,NA,"","15:15","15:25",10,NA,NA,38.138566,121.986997,38.138189,121.983112,31511,524702,533059,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," Garmin 6",3," "," ",38.1336193333333,-121.995756,38.1332423333333,-121.991871,2656,"Americorophium spinicorne",25,4,16,"FRP","2023-04-17",44.0957647181384,0.362846638498562,2023-04-17,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"17","MAC22-TULE-17APR2023",16,7866,"true","Chinook","AC;LC;DNC;ED;SS","Tule Red","04/17/2023","TULE-CH-LG-M","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SW"," 2=ebb",11,14.5,10.25,341,7.9,85.7,0.5,1.21,6.9," 1=absent",2," Inside",NA," false"," ","TULE-CH-LG-M","Tule Red",13073,"Trawl","MAC",""," "," 2= against flow"," Channel",2.2,NA,NA,NA,"","14:36","14:46",10,NA,NA,38.136129,121.982147,38.133494,121.979255,31511,502740,524526,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," Garmin 6",3," "," Some fish in MAC net cod end w/ sample",38.1311823333333,-121.990906,38.1285473333333,-121.988014,2501,"Americorophium spinicorne",25,1,4,"FRP","2023-04-17",114.953970342152,0.0347965362839952,2023-04-17,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"18","MAC15-WING-13APR2023",16,7852,"true","SeaArk","DMC;SH;GN","Wings Landing","04/13/2023","WING-TP-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," NW"," 2=ebb",21,19.5,11.92,2067,8,35,0.48,2.5,51.6," 1=absent",1," Inside",NA," false"," ","WING-TP-INT","Wings Landing",13032,"Trawl","MAC",""," "," 2= against flow"," Channel",1,NA,NA,NA,"","14:37","00:00",5,NA,NA,38.220799,122.03221,NA,NA,31506,200000,204872,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","4.Flux",11,11," "," Garmin 5",3," "," sample MAC15 given to other crew to process",38.220799,-122.03221,NA,NA,2200,"Americorophium spinicorne",100,18,18,"FRP","2023-04-13",25.7071396083248,0.70019458696101,2023-04-13,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"19","MAC21-RYER-05SEP2023",16,8221,"true","Kvichak","CB;ED;GU;AM","Ryer Island","09/05/2023","RYER-CH-LG-M","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",39,21.1,7.77,10568,7.5,13.4,0.34,0.32,9," 2=low",1," Inside",NA," false"," guest Leigh Sanders","RYER-CH-LG-M","Ryer Island",13661,"Trawl","MAC",""," "," 2= against flow"," Channel",2.5,NA,NA,NA,"","08:56","09:06",10,NA,NA,38.086496,122.023807,38.086081,122.018796,31511,540435,559910,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," Garmin 5",2," "," ",38.086496,-122.023807,38.086081,-122.018796,2342,"Americorophium spinicorne",100,1,1,"FRP","2023-09-05",102.759963848958,0.00973141642468704,2023-09-05,2023,9,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"20","MAC24-GRIZ-18APR2023",16,7863,"true","Mudsucker","AC;ED;AE;AM","Grizzly Bay","04/18/2023","GRIZ-UNK","1=0-33% clouds","3= wind 8-12 mph; large wavelets"," NW"," 2=ebb",12,14.8,10.16,311,7.9,124.6,0.54,1.3,5.5," 1=absent",2," Inside",NA," false"," ","GRIZ-UNK","Grizzly Bay",13064,"Trawl","MAC",""," "," 2= against flow"," Channel",1.1,NA,NA,NA,"","17:33","17:42",9.7,NA,NA,38.131854,121.99402,38.13543,121.989979,31511,599287,620089,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," Garmin 6",NA," "," Cut MAC trawl short 20 seconds because boat hit bottom.",38.1269073333333,-122.002779,38.1304833333333,-121.998738,2708,"Americorophium spinicorne",100,1,1,"FRP","2023-04-18",109.761887958205,0.00911063046201231,2023-04-18,2023,4,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
"21","MAC23-BROW-13NOV2023",16,8534,"true","Chinook","AC;ED;SH;MO","Browns Island","11/13/2023","BROW-CH-MAIN","1=0-33% clouds","0=Calm; glassy"," NA"," 2=ebb",84,16.2,8.82,10580,7.6,6.9,0.14,0.29,8," 1=absent",1," Inside",NA," false"," ","BROW-CH-MAIN","Browns Island",14040,"Trawl","MAC",""," "," 2= against flow"," Channel",4.1,NA,NA,NA,"","15:22","15:32",10,NA,NA,38.040921,121.868551,38.039984,121.870141,31507,162590,185995,NA,NA,NA,NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA," false"," 1.Surface","1.Boat",5,5," "," ",5," "," detritus but no veg",38.040921,-121.868551,38.039984,-121.870141,2525,"Americorophium spinicorne",100,3,3,"FRP","2023-11-13",123.496634345821,0.0242921599919821,2023-11-13,2023,11,"300","","","","Americorophium spinicorne","Invertebrate","spinicorne","Americorophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda","","","","","adult",FALSE,"Present",NA,"","Amphipoda Adult","Amphipoda","Amphipoda","Amphipoda","Americorophium spinicorne",""
