"","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","Flagged_Data","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season"
"20",7545,14014,"PPG13-BRAD-29MAR2023","true","MI","PPG",""," "," "," Channel",0.8,NA,NA,NA,"","11:38","",NA,NA,0.8,38.199722,121.915846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 1",30,NA,NA,NA,NA,70,NA,NA," false"," "," ","","",NA," "," Garmin 6",3," "," ",NA,"true","Mudsucker","DMC;AM;GN;GP","Bradmoor Island","03/29/2023","BRAD-N","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",27,11.3,8.65,1189,7.3,40.9,0.84,1.81,35.1," 1=absent",1," Inside",NA," false"," Point samples only",2023-03-29,2023,3,"2023-03-29 11:38","Spring"
"21",7546,12582,"PPG11-BLAC-30MAR2023","true","MI","PPG",""," "," "," Channel edge",1.1,NA,NA,NA,"","","",NA,NA,1.1,38.182408,121.903561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 1",70,0,0,0,0,30,NA,NA," false"," "," ","","",NA," "," ",NA," "," ",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","0=Calm; glassy"," W"," 4=flood",30,10.7,9.04,925,7.3,29.1,0.32,0.96,23.4," 1=absent",2," Inside",NA," false"," Point samples only",2023-03-30,2023,3,"2023-03-30 ","Spring"
"22",7546,12581,"EAV11-BLAC-30MAR2023","true","MI","EAV",""," "," "," Channel edge",0.9,NA,NA,NA,"","","",NA,NA,0.5,38.182408,121.903561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," ",NA," "," 17 STEMS",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","0=Calm; glassy"," W"," 4=flood",30,10.7,9.04,925,7.3,29.1,0.32,0.96,23.4," 1=absent",2," Inside",NA," false"," Point samples only",2023-03-30,2023,3,"2023-03-30 ","Spring"
"23",7547,12584,"PPG12-BLAC-30MAR2023","true","MI","PPG",""," "," "," Channel edge",1.5,NA,NA,NA,"","","",NA,NA,1.5,38.185019,121.901038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 1",90,0,0,0,0,10,NA,NA," false"," "," ","","",NA," "," Garmin 6",3," "," ",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",31,11,9.19,922,7.3,29.6,0.37,1.09,23.2," 1=absent",2," Inside",NA," false"," Point samples only",2023-03-30,2023,3,"2023-03-30 ","Spring"
"24",7547,12583,"EAV12-BLAC-30MAR2023","true","MI","EAV",""," "," "," Channel edge",1.4,NA,NA,NA,"","","",NA,NA,0.7,38.185019,121.901038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," ",NA," "," 22 STEMS",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",31,11,9.19,922,7.3,29.6,0.37,1.09,23.2," 1=absent",2," Inside",NA," false"," Point samples only",2023-03-30,2023,3,"2023-03-30 ","Spring"
"25",7548,12587,"NT11-BLAC-30MAR2023","true","Trawl","NT",""," "," 2= against flow"," Channel",1.4,NA,NA,NA,"","10:13","10:18",5,NA,NA,38.185246,121.89977,38.184142,121.901548,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","",NA," "," Garmin 6",3," "," No gear ID on new neuston gear",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,11.5,9.45,870,7.4,30.1,0.34,1.02,21.3," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 10:13","Spring"
"26",7548,12586,"ZOOP11-BLAC-30MAR2023","true","Trawl","ZOOP",""," "," 2= against flow"," Channel",1.4,NA,NA,NA,"","10:13","10:18",5,NA,NA,38.185246,121.89977,38.184142,121.901548,31512,39219,44981,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","1",1," "," Garmin 6",3," "," ",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,11.5,9.45,870,7.4,30.1,0.34,1.02,21.3," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 10:13","Spring"
"27",7548,12585,"MAC11-BLAC-30MAR2023","true","Trawl","MAC",""," "," 2= against flow"," Channel",1.3,NA,NA,NA,"","10:13","10:23",10,NA,NA,38.185246,121.89977,38.182675,121.903157,31511,88028,103006,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","5",5," "," Garmin 6",3," "," Larval fish.",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,11.5,9.45,870,7.4,30.1,0.34,1.02,21.3," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 10:13","Spring"
"28",7549,12588,"MAC12-BLAC-30MAR2023","true","Trawl","MAC",""," "," 2= against flow"," Channel",1.1,NA,NA,NA,"","11:22","11:31",9,NA,NA,38.184006,121.898316,38.182329,121.901495,31511,103227,116296,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","5",5," "," Garmin 6",3," "," No larval fish in MAC",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-2","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",28,11.1,9,903,7.4,29.7,0.29,0.92,22.5," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 11:22","Spring"
"29",7549,12591,"EAV13-BLAC-30MAR2023","true","MI","EAV",""," "," "," Channel edge",0.6,NA,NA,NA,"","","",NA,NA,0.3,38.184006,121.898316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," ",NA," "," 30 stems",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-2","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",28,11.1,9,903,7.4,29.7,0.29,0.92,22.5," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 ","Spring"
"30",7549,12590,"NT12-BLAC-30MAR2023","true","Trawl","NT",""," "," 2= against flow"," Channel",1.1,NA,NA,NA,"","11:22","11:27",5,NA,NA,38.184006,121.898316,38.183395,121.900049,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","",NA," "," Garmin 6",3," "," No gear ID NT",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-2","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",28,11.1,9,903,7.4,29.7,0.29,0.92,22.5," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 11:22","Spring"
"31",7549,12592,"PPG13-BLAC-30MAR2023","true","MI","PPG",""," "," "," Channel edge",1.4,NA,NA,NA,"","","",NA,NA,1.4,38.184006,121.898316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 1",20,0,0,0,0,80,NA,NA," false"," "," ","","",NA," "," ",NA," "," ",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-2","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",28,11.1,9,903,7.4,29.7,0.29,0.92,22.5," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 ","Spring"
"32",7549,12589,"ZOOP12-BLAC-30MAR2023","true","Trawl","ZOOP",""," "," 2= against flow"," Channel",1.1,NA,NA,NA,"","11:22","11:27",5,NA,NA,38.184006,121.898316,38.183395,121.900049,31512,44980,50144,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","1",1," "," Garmin 6",3," "," ",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-2","1=0-33% clouds","0=Calm; glassy"," W"," 2=ebb",28,11.1,9,903,7.4,29.7,0.29,0.92,22.5," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 11:22","Spring"
"33",7561,12605,"PPG14-BLAC-30MAR2023","true","MI","PPG",""," "," "," Channel edge",2.4,NA,NA,NA,"","","",NA,NA,2.4,38.185816,121.902897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 1",5,0,0,0,0,95,NA,NA," false"," "," ","","",NA," "," Garmin 6",3," "," ",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-1","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,12.3,9.66,802,7.5,28.2,0.3,0.87,19.6," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 ","Spring"
"34",7561,12604,"EAV14-BLAC-30MAR2023","true","MI","EAV",""," "," "," Channel edge",0.6,NA,NA,NA,"","","",NA,NA,0.4,38.185816,121.902897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," 3",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","",NA," "," Garmin 6",3," "," 23 STEMS",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-1","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,12.3,9.66,802,7.5,28.2,0.3,0.87,19.6," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 ","Spring"
"35",7561,12603,"NT13-BLAC-30MAR2023","true","Trawl","NT",""," "," 2= against flow"," Channel",2.6,NA,NA,NA,"","00:00","12:22",5,NA,NA,38.185816,121.902897,NA,121.90158,NA,NA,NA,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," true"," 1.Surface","1.Boat","",NA," "," Garmin 6",3," "," No gear ID for neuston. ",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-1","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,12.3,9.66,802,7.5,28.2,0.3,0.87,19.6," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 00:00","Spring"
"36",7561,12601,"MAC13-BLAC-30MAR2023","true","Trawl","MAC",""," "," 2= against flow"," Channel",2.8,NA,NA,NA,"","","12:27",9.3,NA,NA,38.185816,121.902897,38.185503,121.899912,31511,116292,132379,NA,NA,NA,NA,NA," "," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," false"," 1.Surface","1.Boat","5",5," "," Garmin 6",3," "," MAC ended at 9 mins 19 sec. Fish in MAC13-BLAC-30MAR2023",NA,"true","Mudsucker","CB;AC;DMC;GP","Blacklock","03/30/2023","BLAC-CH-1","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 2=ebb",30,12.3,9.66,802,7.5,28.2,0.3,0.87,19.6," 1=absent",2," Inside",NA," false"," ",2023-03-30,2023,3,"2023-03-30 ","Spring"
