"","Comments","CommonName","Length","Count","Date","DepthOfWater","effort","FishCatchNotes","GearTypeAbbreviation","LAB_NAME","LatitudeEnd","LatitudeStart","LengthOfTrawl","Location","LongitudeEnd","LongitudeStart","NetMeterEnd","NetMeterStart","PercentOpen","SampleID","SampleID_key","SeineCode","SeineDeploymentType","StartTime","TowDirection","Date.1","VisitNo","Width"
"11"," gps 5; accuracy 2m. not paired.","Splittail",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"12"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",44,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"13"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",33,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"14"," gps 5; accuracy 2m. not paired.","Splittail",24,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"15"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",24,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"16"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",22,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"17"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",23,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"18"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",50,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"19"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",51,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"20"," gps 5; accuracy 2m. not paired.","Splittail",20,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"21"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",20,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"22"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",22,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"23"," gps 5; accuracy 2m. not paired.","Splittail",23,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"24"," gps 5; accuracy 2m. not paired.","Splittail",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"25"," gps 5; accuracy 2m. not paired.","Sacramento Pikeminnow",58,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"26"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",55,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"27"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",48,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"28"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"29"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",31,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"30"," gps 5; accuracy 2m. not paired.","Splittail",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"31"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",50,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"32"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",23,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"33"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",36,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"34"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",37,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"35"," gps 5; accuracy 2m. not paired.","Splittail",25,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"36"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",57,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"37"," gps 5; accuracy 2m. not paired.","Splittail",22,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"38"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",19,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"39"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",20,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"40"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",51,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"41"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"42"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",51,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"43"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",19,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"44"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"45"," gps 5; accuracy 2m. not paired.","Splittail",20,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"46"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",23,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"47"," gps 5; accuracy 2m. not paired.","Splittail",23,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"48"," gps 5; accuracy 2m. not paired.","Splittail",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"49"," gps 5; accuracy 2m. not paired.","Splittail",20,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"50"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",38,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"51"," gps 5; accuracy 2m. not paired.","Splittail",25,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"52"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",19,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"53"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",23,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"54"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",20,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"55"," gps 5; accuracy 2m. not paired.","Splittail",22,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"56"," gps 5; accuracy 2m. not paired.","Mosquitofish",37,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"57"," gps 5; accuracy 2m. not paired.","Splittail",20,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"58"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",34,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"59"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",27,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"60"," gps 5; accuracy 2m. not paired.","Splittail",20,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"61"," gps 5; accuracy 2m. not paired.","Splittail",23,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"62"," gps 5; accuracy 2m. not paired.","Splittail",25,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"63"," gps 5; accuracy 2m. not paired.","Splittail",22,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"64"," gps 5; accuracy 2m. not paired.","Splittail",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"65"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",27,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"66"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",42,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"67"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",29,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"68"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"69"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",25,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"70"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",61,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"71"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",24,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"72"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",56,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"73"," gps 5; accuracy 2m. not paired.","Splittail",20,1,2023-05-09,0.5,56.25,"","BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"74"," gps 5; accuracy 2m. not paired.","Splittail",21,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"75"," gps 5; accuracy 2m. not paired.","Splittail",18,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"76"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",42,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"77"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",19,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"78"," gps 5; accuracy 2m. not paired.","Mississippi Silverside",36,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"79"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",15,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"80"," gps 5; accuracy 2m. not paired.","Splittail",22,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
"81"," gps 5; accuracy 2m. not paired.","Threespine Stickleback",28,1,2023-05-09,0.5,56.25,NA,"BEASEI","FRP",NA,38.189129,15,"Bradmoor Island",NA,121.920662,NA,NA,NA,"BEASEI01-BRAD-09MAY2023",13449,"1. No twists; snags; or tears","Crew Members","08:50"," 2= against flow",2023-05-09,8047,15
