"","VisitNo","SampleID_key","SampleID_frp","StartTime","EndTime","Duration","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthMeters","NetMeterStart","NetMeterEnd","TowDirection","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","volume","Location","Visit.Date2","Comments"
"11",8347,13787,"BEASEI01-LIBE-07NOV2023","09:50","",NA,38.242189,NA,121.681876,NA,0.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",5.8,13,NA,"BEASEI",15.08,"Liberty Island",2023-11-07," gps coordinates off- ac 12/7/2023. coordinates manually adjusted- ed 6/13/2024. old coordinates: 38.241958; -121.62818"
"12",7363,12383,"BEASEI01-LIBE-08MAR2023","07:50","",NA,38.242036,NA,121.682167,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",11,15,NA,"BEASEI",82.5,"Liberty Island",2023-03-08," gps 5; accuracy 2m. not paired. "
"13",8084,13487,"BEASEI01-LIBE-25MAY2023","12:32","",NA,38.241939,NA,121.682273,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",11,15,NA,"BEASEI",90.75,"Liberty Island",2023-05-25," secchi hit bottom. sacsuc and fish unid both in same vial. gps 6. not paired. sacsuc and unid identified at splitt - ma 5/26/2023"
"14",7968,13374,"BEASEI01-LIBE-26APR2023","14:36","",NA,38.244686,NA,121.686752,NA,0.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",10,10,NA,"BEASEI",30,"Liberty Island",2023-04-26," gps 5; accuracy 2m. not paired."
"15",7404,12424,"BEASEI01-LOWE-17MAR2023","10:35","",NA,38.329613,NA,121.680934,NA,0.7,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",15,15,NA,"BEASEI",78.75,"Lower Yolo Ranch",2023-03-17," gps 5; accuracy 2m. not paired. lots of dead slugs; no secchi. deepiner in middle of area seined. conducted on floodplain."
"16",8455,13940,"BEASEI01-TULE-14DEC2023","08:38","",NA,38.115551,NA,121.978405,NA,0.5,NA,NA," 3= unknown","1. No twists; snags; or tears","Crew Members",15,14,NA,"BEASEI",52.5,"Tule Red",2023-12-14," lots of filalg!"
"17",7429,12449,"BEASEI01-TULE-20MAR2023","13:25","",NA,38.122837,NA,121.984081,NA,0.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",67.5,"Tule Red",2023-03-20," gps 5; accuracy 2m. not paired. floodplain; ysi taken from bucket"
"18",7306,12306,"BEASEI01-TULE-30JAN2023","10:01","",NA,38.114449,NA,121.97918,NA,0.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",15,15,NA,"BEASEI",56.25,"Tule Red",2023-01-30," not paired. gps 5; accuracy 2m. mostly detritus/mud in cod end. ysi taken on a bucket. code 2 because there wasnt much of a beach; bad to pull through veg"
"19",7462,12482,"BEASEI01-WING-04APR2023","11:40","",NA,38.215581,NA,122.035481,NA,0.35,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,2.8,NA,"BEASEI",7.35,"Wings Landing",2023-04-04," gps 5; accuracy 3m. not paired."
"20",8056,13458,"BEASEI02-BRAD-09MAY2023","10:05","",NA,38.186072,NA,121.921442,NA,0.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",90,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired. tule perch very gravid; started giving birth as it was released. lots of fil alg"
"21",8370,13811,"BEASEI02-BRAD-16NOV2023","09:46","",NA,38.185791,NA,121.921272,NA,0.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",78.75,"Bradmoor Island",2023-11-16," gps from phone. depth from handheld"
"22",8477,13977,"BEASEI02-BRAD-21DEC2023","11:58","",NA,38.186141,NA,121.919207,NA,1.1,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",7.5,9,NA,"BEASEI",37.125,"Bradmoor Island",2023-12-21," code 2: lead line bumping over grass on the way in. grass all over shore"
"23",7365,12385,"BEASEI02-FLYW-08MAR2023","10:05","",NA,38.365069,NA,121.642923,NA,0.8,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",13,7,NA,"BEASEI",36.4,"Flyway Farms",2023-03-08," gps 5; accuracy 3m. not paired. code 2 = no actual beach; weird deployment method. veg mostly dead tule. length calculated from google earth (distance between 38.65072; -121.642926 and 38.365168; -121.642926 : double check)"
"24",7309,12309,"BEASEI02-HORS-01FEB2023","08:50","",NA,38.081493,NA,121.719445,NA,0.95,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",12,15,NA,"BEASEI",85.5,"Horseshoe Bend",2023-02-01," not paired. gps 5; accuracy 7.7 ft. gps from phone."
"25",7358,12378,"BEASEI02-HORS-02MAR2023","11:38","",NA,38.08442,NA,121.734377,NA,0.95,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",10,15,NA,"BEASEI",71.25,"Horseshoe Bend",2023-03-02," gps 5; accuracy 2m. not paired. redshi being taken back for better id"
"26",7242,12242,"BEASEI02-HORS-03JAN2023","09:54","",NA,38.097405,NA,121.709736,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",6.5,9,NA,"BEASEI",29.25,"Horseshoe Bend",2023-01-03," gps 6; accuracy 2m. not paired. dominant vegetation in net: egeden. tide flowing out still because of amount of water there is. gps manually updated based on fixed beach seine locations - ed 21jul2023"
"27",8001,13401,"BEASEI02-HORS-10MAY2023","09:43","",NA,38.097485,NA,121.709692,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",9.2,13,NA,"BEASEI",59.8,"Horseshoe Bend",2023-05-10," gps 6; accuracy 3m. gps picked from known sample location in google earth - ed 9/11/2023"
"28",7499,12539,"BEASEI02-HORS-11APR2023","14:37","",NA,38.097701,NA,121.709563,NA,0.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",9,7.8,NA,"BEASEI",14.04,"Horseshoe Bend",2023-04-11," staflo@21 maybe from last sample. gps calculated in 2023 sample inventory- ed 9/11/23."
"29",8382,13842,"BEASEI02-HORS-21NOV2023","10:26","",NA,38.081443,NA,121.719538,NA,1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",112.5,"Horseshoe Bend",2023-11-21," "
"30",8348,13788,"BEASEI02-LIBE-07NOV2023","10:47","",NA,38.266442,NA,121.691537,NA,0.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",9.2,7.8,NA,"BEASEI",25.116,"Liberty Island",2023-11-07," "
"31",7969,13375,"BEASEI02-LIBE-26APR2023","15:04","",NA,38.24197,NA,121.682398,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",8,15,NA,"BEASEI",30,"Liberty Island",2023-04-26," gps 5; accuracy 2m. not paired. fish unid tag frp23-013- identified as spltai - ma 9/14/2023"
"32",8456,13941,"BEASEI02-TULE-14DEC2023","10:50","",NA,38.116772,NA,121.977771,NA,0.5,NA,NA," 3= unknown","2. Partial twist; snag; or tear","Crew Members",12,8.5,NA,"BEASEI",25.5,"Tule Red",2023-12-14," lead line rolled up on itself while pulling in over shallow substrate + veg. likely started on bottom since so shallow"
"33",7307,12307,"BEASEI02-TULE-30JAN2023","10:45","",NA,38.123869,NA,121.979686,NA,1.2,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",10,13,NA,"BEASEI",78,"Tule Red",2023-01-30," not paired. gps 5; accuracy 3m. ysi from bucket. lots of mysids in net. seine code 2 because of modified seine; drop off; and through veg - see photos for details."
"34",7463,12483,"BEASEI02-WING-04APR2023","12:30","",NA,38.219662,NA,122.032166,NA,0.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",56.25,"Wings Landing",2023-04-04," gps 5; accuracy 2m. not paired. "
"35",8478,13978,"BEASEI03-ARNO-21DEC2023","12:46","",NA,38.174483,NA,121.903064,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",13,15,NA,"BEASEI",107.25,"Arnold Slough",2023-12-21," "
"36",8057,13459,"BEASEI03-BRAD-09MAY2023","11:21","",NA,38.193325,NA,121.9182,NA,0.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",78.75,"Bradmoor Island",2023-05-09," gps 5; accuracy 2m. not paired"
"37",8371,13812,"BEASEI03-BRAD-16NOV2023","10:35","",NA,38.193411,NA,121.918245,NA,0.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",101.25,"Bradmoor Island",2023-11-16," gps from phone. depth from handheld. +1 mosqui lost before measuring. unid shrimp broken rostrum"
"38",7367,12387,"BEASEI03-LIBE-08MAR2023","13:18","",NA,38.266507,NA,121.691488,NA,0.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",13,15,NA,"BEASEI",58.5,"Liberty Island",2023-03-08," gps 5; accuracy 2m. not paired. "
"39",8060,13462,"BEASEI04-ARNO-09MAY2023","12:22","",NA,38.175929,NA,121.903898,NA,0.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",15,15,NA,"BEASEI",33.75,"Arnold Slough",2023-05-09," gps 5; accuracy 2m. not paired."
"40",8372,13813,"BEASEI04-ARNO-16NOV2023","12:00","",NA,38.174523,NA,121.903187,NA,0.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members",7.5,15,NA,"BEASEI",39.375,"Arnold Slough",2023-11-16," gps from phone."
"41",8479,13979,"BEASEI04-ARNO-21DEC2023","13:28","",NA,38.181209,NA,121.90363,NA,0.85,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Crew Members",12,15,NA,"BEASEI",76.5,"Arnold Slough",2023-12-21," code 2: island/obstacles"
"42",7494,12534,"CAST01-BROW-05APR2023","14:56","",NA,38.038632,NA,121.86813,NA,2.8,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Browns Island",2023-04-05," 6 good casts/ casts done right next to salmon cages"
"43",8354,13796,"CAST01-CHIP-15NOV2023","11:36","",NA,38.059826,NA,121.917927,NA,NA,NA,NA," ","","",NA,NA,58.5,"CAST",NA,"Chipps Island",2023-11-15," "
"44",7982,13426,"CAST01-DECK-10MAY2023","07:40","",NA,38.084942,NA,121.723334,NA,NA,NA,NA," ","","",NA,NA,71,"CAST",NA,"Decker Island",2023-05-10," gps 6 accuracy 3m. gps from geo-tagged photos - ed 9/11/2023"
"45",8045,13446,"CAST01-FLYW-27APR2023","14:05","",NA,38.361107,NA,121.643018,NA,NA,NA,NA," ","","",NA,NA,38,"CAST",NA,"Flyway Farms",2023-04-27," gps 5 accuracy 2m. percent open: avg of all. actual: 80%; 30%; 40%; 10%; 30%. paired? y"
"46",8438,13923,"CAST01-LOWE-06DEC2023","12:42","",NA,38.353594,NA,121.660802,NA,1.8,NA,NA," ","","",NA,NA,70,"CAST",NA,"Lower Yolo Ranch",2023-12-06," "
"47",7405,12425,"CAST01-LOWE-17MAR2023","11:14","",NA,38.352385,NA,121.661029,NA,NA,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Lower Yolo Ranch",2023-03-17," gps 5; accuracy 2m. not paired. inside. 9 casts"
"48",8028,13432,"CAST01-LOWE-26MAY2023","08:16","",NA,38.34965,NA,121.676211,NA,0.9,NA,NA," ","","",NA,NA,72,"CAST",NA,"Lower Yolo Ranch",2023-05-26," gps 6 accuracy 3m. depth from handheld."
"49",7464,12485,"CAST01-PEYT-04APR2023","00:00","",NA,38.226724,NA,122.040664,NA,NA,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Peytonia-Suisun",2023-04-04," 4 casts"
"50",8078,13485,"CAST01-TULE-15JUN2023","10:32","",NA,38.126071,NA,121.986332,NA,1.4,NA,NA," ","","",NA,NA,54,"CAST",NA,"Tule Red",2023-06-15," gps 5 accuracy 2m"
"51",8004,13428,"CAST01-TULE-16MAY2023","10:20","",NA,38.131348,NA,121.99132,NA,1.6,NA,NA," ","","",NA,NA,63,"CAST",NA,"Tule Red",2023-05-16," gps 6 accuracy 3m. depth from handheld."
"52",7864,14872,"CAST01-TULE-17APR2023","13:35","",NA,38.131093,NA,121.978304,NA,NA,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Tule Red",2023-04-17," "
"53",7784,12844,"CAST01-TULE-18APR2023","10:21","",NA,38.126572,NA,121.987524,NA,NA,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Tule Red",2023-04-18," 5 good casts; gps 6 accuracy 2. gps from geo-tagged photos - ed 9/7/2023"
"54",7428,12448,"CAST01-TULE-20MAR2023","13:02","",NA,38.116551,NA,121.981678,NA,1.8,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Tule Red",2023-03-20," gps 5; accuracy 2m. not paired. inside. end time 13:10. 3 throws of cast net. depth is 1.8 m."
"55",8067,13468,"CAST01-WING-03MAY2023","12:00","",NA,38.224422,NA,122.037579,NA,0.8,NA,NA," ","","",NA,NA,73,"CAST",NA,"Wings Landing",2023-05-03," gps 5; accuracy 2m. not paired. percent open avg. actual: 80%; 80%; 70%; 80%; 60%; 70% depth from handheld"
"56",7695,12755,"CAST01-WTIB-12APR2023","08:48","",NA,38.095334,NA,121.589949,NA,2.3,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Webb Tract Island and Berms",2023-04-12," gps 6; accuracy 3m. paired. 4 attempts. time copied from invert data sheet. estimated time casting ~20 minutes. gps calculated 2023 sample inventory ed 9/11/23"
"57",7983,13427,"CAST02-DECK-10MAY2023","08:33","",NA,38.084277,NA,121.723929,NA,1.9,NA,NA," ","","",NA,NA,70,"CAST",NA,"Decker Island",2023-05-10," depth from handheld. gps from geo-tagged photo - ed 9/11/2023"
"58",7406,12426,"CAST02-FLYW-17MAR2023","12:25","",NA,38.360451,NA,121.642178,NA,1.9,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Flyway Farms",2023-03-17," gps 5; accuracy 2m. not paired.casts done ""on land"" since site covered with water. very high flow. 3 casts"
"59",8031,13435,"CAST02-LOWE-26MAY2023","11:07","",NA,38.35362,NA,121.660628,NA,1,NA,NA," ","","",NA,NA,67,"CAST",NA,"Lower Yolo Ranch",2023-05-26," gps 6 accuracy 3m. lavaged larbas @374: nothing. depth from handheld."
"60",8005,13429,"CAST02-TULE-16MAY2023","11:05","",NA,38.121323,NA,121.982431,NA,2.3,NA,NA," ","","",NA,NA,72,"CAST",NA,"Tule Red",2023-05-16," gps 6 accuracy 3m. depth from handheld."
"61",7787,12848,"CAST02-TULE-18APR2023","11:52","",NA,38.1236,NA,121.9807,NA,NA,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Tule Red",2023-04-18," same wq as lamope06-tule-18apr2023; 4 casts. gps 6 accuracy 3m. gps from geo-tagged photos - ed 9/7/2023"
"62",7430,12450,"CAST02-TULE-20MAR2023","14:00","",NA,38.12765,NA,121.986978,NA,0.9,NA,NA," ","","",NA,NA,NA,"CAST",NA,"Tule Red",2023-03-20," gps 5; accuracy 2m. not paired. depth 0.9 m. 6 casts."
"63",8426,13907,"HOOK01-BRAD-28NOV2023","00:00","",NA,38.18289,NA,121.924116,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Bradmoor Island",2023-11-28," caught near breach ~30 m from lampara sample. gps selected from google earth- ed 6/19/2024"
"64",8355,13798,"HOOK01-HONK-15NOV2023","00:00","",NA,38.058859,NA,121.904821,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Honker-Spoonbill",2023-11-15," "
"65",8385,13846,"HOOK01-HORS-21NOV2023","00:00","",NA,38.082882,NA,121.725291,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Horseshoe Bend",2023-11-21," 1/2 oz swimjig. steady retireve w/ intermittent pulses. 5"" plastic paddletail"
"66",8407,13868,"HOOK01-RYER-11OCT2023","13:10","",NA,38.083305,NA,122.012593,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Ryer Island",2023-10-11," caught with rolling amesha during trawl. put otttra07 trawl start coordinates as hook01 coordinates- ed"
"67",8435,13918,"HOOK01-STAI-06DEC2023","09:20","",NA,38.316512,NA,121.667482,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Stairsteps-Liberty Cut",2023-12-06," plus counted larbas got off hook near boat"
"68",8626,14533,"HOOK01-TULE-14NOV2023","00:00","",NA,38.121495,NA,121.9818,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Tule Red",2023-11-14," hknl striper 60 cm healthy; 47 cm healthy; main channel near back side channel with pole in mouth. gps starting of trawl."
"69",8085,14876,"HOOK01-TULE-15JUN2023","00:00","",NA,38.133972,NA,121.994661,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Tule Red",2023-06-15," "
"70",8413,13875,"HOOK01-TULE-27NOV2023","00:00","",NA,38.125989,NA,121.987131,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Tule Red",2023-11-27," "
"71",8428,13910,"HOOK02-ARNO-28NOV2023","00:00","",NA,38.180324,NA,121.905759,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Arnold Slough",2023-11-28," "
"72",8086,14877,"HOOK02-RYER-15JUN2023","00:00","",NA,38.086143,NA,122.022373,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Ryer Island",2023-06-15," strbas @385 hook and line (38.086143; -122.022373)"
"73",8625,14540,"HOOK02-TULE-14NOV2023","00:00","",NA,38.118634,NA,121.981909,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Tule Red",2023-11-14," dh caught striper at 500 mm after 10-15 casts. used eav gps for hook sample"
"74",8413,13876,"HOOK02-TULE-27NOV2023","00:00","",NA,38.121389,NA,121.982587,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Tule Red",2023-11-27," "
"75",8626,14874,"HOOK03-TULE-14NOV2023","00:00","",NA,38.123292,NA,121.981198,NA,NA,NA,NA," ","","",NA,NA,NA,"HOOK",NA,"Tule Red",2023-11-14," striper 41 cm healthy from tidal pond end gps of trawl"
"76",7312,12312,"LAMOPE01-BROA-02FEB2023","08:27","",NA,38.031763,NA,121.838429,NA,6,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-02-02," not paired. gps 5; accuracy 3m. code 2: depth. all holes in lam03 repaired yesterday"
"77",7481,12521,"LAMOPE01-BROA-05APR2023","09:37","",NA,38.039595,NA,121.838661,NA,9.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-04-05," gps 5; accuracy 3m. not paired. code 2: depth and twist in wing"
"78",8440,13925,"LAMOPE01-BROA-11DEC2023","07:46","",NA,38.044126,NA,121.841397,NA,5.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-12-11," code 2 = depth"
"79",8349,13789,"LAMOPE01-BROA-15NOV2023","08:52","",NA,38.035836,NA,121.839532,NA,8.1,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-11-15," code 2: depth"
"80",8011,13411,"LAMOPE01-BROA-18MAY2023","08:53","",NA,38.043055,NA,121.841883,NA,6,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Broad Slough",2023-05-18," gps 6 accuracy 2m. code 2: depth and waves. depth from handheld"
"81",7318,12318,"LAMOPE01-DECK-08FEB2023","07:44","",NA,38.084277,NA,121.723997,NA,1.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Decker Island",2023-02-08," not paired. gps 5; accuracy 2m. cod end ~25% full of mud/detritus"
"82",7492,12533,"LAMOPE01-DECK-11APR2023","07:55","",NA,38.083982,NA,121.724069,NA,1.5,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Decker Island",2023-04-11," depth from seaark. forgot gps. in decker pond; same as previous samples. seine code 2=funky decker deployment"
"83",8002,13402,"LAMOPE01-GRIZ-16MAY2023","09:30","",NA,38.132095,NA,122.00263,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Grizzly Bay",2023-05-16," gps 6 accuracy 3m. depth from handheld. gps 6 worked this day."
"84",7781,12841,"LAMOPE01-GRIZ-18APR2023","08:32","",NA,38.129882,NA,122.01294,NA,1.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",139.010648691434,"Grizzly Bay",2023-04-18," paired y . gps calculated in 2023 sample inventory - ed 9/7/2023"
"85",7421,12441,"LAMOPE01-GRIZ-20MAR2023","09:54","",NA,38.136713,NA,122.00625,NA,2.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",232.751925056618,"Grizzly Bay",2023-03-20," gps 5; accuracy 2m.not paired. water moving downstream because of flow"
"86",8480,13980,"LAMOPE01-GRIZ-22DEC2023","09:19","",NA,38.129859,NA,122.001659,NA,2.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",265.477555979498,"Grizzly Bay",2023-12-22," "
"87",8410,13871,"LAMOPE01-GRIZ-27NOV2023","09:03","",NA,38.115481,NA,122.006453,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Grizzly Bay",2023-11-27," photo backup for gps"
"88",7310,12310,"LAMOPE01-HORS-01FEB2023","09:21","",NA,38.084428,NA,121.734674,NA,4.1,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Horseshoe Bend",2023-02-01," not paired. gps from phone -; accuracy 7.7 ft. code 2 - depth"
"89",7243,12243,"LAMOPE01-HORS-03JAN2023","10:31","",NA,38.083104,NA,121.712136,NA,3.2,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",302.550852078746,"Horseshoe Bend",2023-01-03," gps 6; accuracy 3m. not paired.gps calculated and corrected in 2023 sample inventory - ed 21jul2023"
"90",8383,13843,"LAMOPE01-HORS-21NOV2023","10:59","",NA,38.081391,NA,121.722002,NA,5.3,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",332.7,"Horseshoe Bend",2023-11-21," code 2: depth"
"91",7364,12384,"LAMOPE01-LIBE-08MAR2023","08:40","",NA,38.271996,NA,121.669031,NA,1.6,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",168.922111459686,"Liberty Island",2023-03-08," gps 5; accuracy 2m. not paired.shrimp unid b/c broken rostrums"
"92",8469,13969,"LAMOPE01-LIBE-20DEC2023","08:43","",NA,38.250902,NA,121.6857,NA,1.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",197.300077206198,"Liberty Island",2023-12-20," "
"93",7281,12281,"LAMOPE01-LIBE-25JAN2023","08:42","",NA,38.298788,NA,121.680292,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Liberty Island",2023-01-25," not paired. gps 5; accuracy 2m. leigh sanders is a guest. unid shrimps had broken rostrums."
"94",8079,13480,"LAMOPE01-LIBE-25MAY2023","08:00","",NA,38.298758,NA,121.681691,NA,0.9,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",96.7432585221664,"Liberty Island",2023-05-25," depth from handheld for all samples. gps 6; accuracy 3m. not paired. "
