"","SampleID_key","CommonName","TotalCatch","FishLength","FishCatchNotes"
"227",12310,"Threadfin Shad",1,50,""
"228",12243,"Siberian Prawn",16,NA,""
"229",12243,"Chinook Salmon (fall)",1,36,""
"230",12243,"Mississippi Silverside",1,77,""
"231",12243,"Corbicula",1,NA,""
"232",12243,"Green Sunfish",1,29,""
"233",12243,"Sacramento Pikeminnow",1,53,""
"234",12243,"Threadfin Shad",1,64,""
"235",13843,"No Catch",0,NA,""
"236",12384,"Siberian Prawn",29,NA,""
"237",12384,"Shrimp Other",2,NA,""
"238",12384,"Crayfish",1,NA,""
"239",12384,"Grass Shrimp",7,NA,""
"240",12384,"Bluegill",2,45,""
"241",12384,"Hitch",1,83,""
"242",12384,"Redear Sunfish",1,112,""
"243",13969,"Siberian Prawn",1,NA,""
"244",13969,"Crayfish",1,NA,""
"245",12281,"Killifish spp.",3,25,""
"246",12281,"Siberian Prawn",214,NA,""
"247",12281,"Shrimp Other",3,NA,""
"248",12281,"Crayfish",16,NA,""
"249",12281,"Grass Shrimp",5,NA,""
"250",13480,"Siberian Prawn",2,NA,""
"251",13480,"Mississippi Silverside",2,76,""
"252",13480,"Splittail",2,28,""
"253",13366,"Killifish spp.",1,29,""
"254",13366,"Siberian Prawn",1,NA,""
"255",13366,"Mississippi Silverside",2,65,""
"256",13430,"No Catch",0,NA,""
"257",13989,"No Catch",0,NA,""
"258",13901,"Mississippi Silverside",1,69,""
"259",13901,"Threadfin Shad",4,43,""
"260",13465,"Bay Shrimp",2,NA,""
"261",13465,"Corbicula",1,NA,""
"262",13465,"Starry Flounder",2,51,""
"263",12481,"Siberian Prawn",1,NA,""
"264",12453,"Siberian Prawn",33,NA,""
"265",12269,"Siberian Prawn",15,NA,""
"266",12269,"Mississippi Silverside",11,45,""
"267",12269,"Threespine Stickleback",1,36,""
"268",14001,"Threadfin Shad",4,75,""
"269",13915,"No Catch",0,NA,""
"270",12421,"No Catch",0,NA,""
"271",13814,"Threadfin Shad",7,60,""
"272",13441,"No Catch",0,NA,""
"273",12292,"Splittail",1,299,""
"274",12361,"Siberian Prawn",1,NA,""
"275",12361,"Grass Shrimp",2,NA,""
"276",12361,"Oriental Shrimp",13,NA,""
"277",12253,"Mississippi Silverside",1,80,""
"278",12389,"Mississippi Silverside",1,58,""
"279",12374,"No Catch",0,NA,""
"280",12756,"Chinook Salmon (spring)",3,81,""
"281",12756,"Chinook Salmon (tagged)",1,89,""
"282",12756,"Mississippi Silverside",1,99,""
"283",12313,"Corbicula",1,NA,""
"284",12522,"No Catch",0,NA,""
"285",13926,"No Catch",0,NA,""
"286",13790,"Mississippi Silverside",2,99,""
"287",13412,"Chinook Salmon (fall)",1,95,""
"288",13412,"Chinook Salmon (spring)",1,101,""
"289",13383,"Mississippi Silverside",4,66,""
"290",13383,"Hitch",1,214,""
"291",12386,"Killifish spp.",2,30,""
"292",12386,"Chinook Salmon (fall)",1,62,""
"293",12386,"Chinook Salmon (spring)",1,64,""
"294",12386,"Mosquitofish",1,32,""
"295",12386,"Crayfish",98,NA,""
"296",12386,"Mississippi Silverside",10,58,""
"297",12386,"Grass Shrimp",35,NA,""
"298",12386,"Tadpole",6,NA,""
"299",12386,"Bluegill",1,43,""
"300",12386,"Redear Sunfish",2,30,""
"301",13403,"No Catch",0,NA,""
"302",12842,"No Catch",0,NA,""
"303",12442,"No Catch",0,NA,""
"304",13872,"Threadfin Shad",1,75,""
"305",12244,"Killifish spp.",1,24,""
"306",12244,"Mississippi Silverside",1,44,""
"307",12319,"Siberian Prawn",5,NA,""
"308",12319,"Shimofuri Goby",1,38,""
"309",13962,"Killifish spp.",5,27,""
"310",13962,"Grass Shrimp",55,NA,""
"311",13962,"Largemouth Bass",1,87,""
"312",13962,"Redear Sunfish",4,32,""
"313",13844,"Killifish spp.",1,29,""
"314",13844,"Siberian Prawn",11,NA,""
"315",13844,"Bluegill",9,29,""
"316",13844,"Largemouth Bass",2,97,""
"317",13844,"Redear Sunfish",1,148,""
"318",13970,"Largemouth Bass",5,444,""
"319",13970,"Redear Sunfish",1,164,""
"320",12282,"Killifish spp.",2,29,""
"321",12282,"Siberian Prawn",42,NA,""
"322",12282,"Shrimp Other",2,NA,""
"323",12282,"Crayfish",1,NA,""
"324",12282,"Grass Shrimp",5,NA,""
"325",13482,"Siberian Prawn",1,NA,""
"326",13482,"Grass Shrimp",1,NA,""
"327",13482,"Splittail",3,26,""
"328",13367,"American Bullfrog",1,NA,""
"329",13367,"Crayfish",85,NA,""
"330",13367,"Grass Shrimp",1,NA,""
"331",13367,"Splittail",2,14,""
"332",13431,"Siberian Prawn",27,NA,""
"333",13431,"Crayfish",3,NA,""
"334",13431,"Grass Shrimp",1,NA,""
"335",13431,"Splittail",16,29,""
"336",13990,"Bay Shrimp",2,NA,""
"337",13902,"Siberian Prawn",1,NA,""
"338",13902,"Potamocorbula",1,NA,""
"339",13902,"Mississippi Silverside",7,74,""
"340",13902,"Corbicula",8,NA,""
"341",13902,"Shimofuri Goby",1,38,""
"342",13466,"No Catch",0,NA,""
"343",12484,"Splittail",1,299,""
"344",12454,"Siberian Prawn",4,NA,""
"345",12270,"Siberian Prawn",6,NA,""
"346",12270,"Mississippi Silverside",1,76,""
"347",14002,"Siberian Prawn",2,NA,""
"348",14002,"Mississippi Silverside",10,75,""
"349",14002,"Splittail",1,122,""
"350",14002,"Tule Perch",1,150,""
"351",13916,"Killifish spp.",1,26,""
"352",13916,"Corbicula",1,NA,""
"353",12422,"No Catch",0,NA,""
"354",13815,"Threadfin Shad",1,61,""
"355",13442,"No Catch",0,NA,""
"356",13981,"Killifish spp.",1,18,""
"357",13981,"Striped Bass",2,416,""
"358",12293,"Mississippi Silverside",3,81,""
"359",12293,"Sacramento Pikeminnow",2,68,""
"360",12362,"No Catch",0,NA,""
"361",12254,"No Catch",0,NA,""
"362",12390,"No Catch",0,NA,""
"363",12375,"No Catch",0,NA,""
"364",12757,"Mississippi Silverside",1,86,""
"365",12314,"No Catch",0,NA,""
"366",13927,"No Catch",0,NA,""
"367",13791,"No Catch",0,NA,""
"368",13413,"Prickly Sculpin",1,33,""
"369",13413,"Corbicula",2,NA,""
"370",13413,"Starry Flounder",1,35,""
"371",12245,"Mississippi Silverside",1,46,""
"372",13483,"Shrimp Other",1,NA,""
"373",13483,"Crayfish",2,NA,""
"374",13483,"Grass Shrimp",0,NA,""
"375",13483,"Crappie spp.",4,27,""
"376",13483,"Splittail",249,28,""
"377",12843,"Siberian Prawn",7,NA,""
"378",12843,"Threespine Stickleback",2,20,""
"379",12443,"Siberian Prawn",1,NA,""
"380",12443,"Bay Shrimp",4,NA,""
"381",12443,"Pacific Herring",2,25,""
"382",13873,"No Catch",0,NA,""
"383",12320,"No Catch",0,NA,""
"384",13963,"Redear Sunfish",1,37,""
"385",13845,"No Catch",0,NA,""
"386",12388,"Siberian Prawn",7,NA,""
"387",12388,"Clam Other",1,NA,""
"388",12388,"Crayfish",1,NA,""
"389",12388,"Mississippi Silverside",1,58,""
"390",12388,"Grass Shrimp",1,NA,""
"391",12388,"Corbicula",1,NA,""
"392",12388,"Bluegill",2,32,""
"393",13971,"No Catch",0,NA,""
"394",13816,"Crayfish",1,NA,""
"395",13816,"Mississippi Silverside",5,85,""
"396",13816,"Grass Shrimp",20,NA,""
"397",13816,"Black Crappie",5,80,""
"398",13816,"Bluegill",4,118,""
"399",13816,"Largemouth Bass",10,99,""
"400",13816,"Redear Sunfish",12,148,""
"401",12283,"Siberian Prawn",3,NA,""
"402",12283,"Chinook Salmon (fall)",1,42,""
"403",12283,"Crayfish",2,NA,""
"404",12283,"Prickly Sculpin",5,80,""
"405",12283,"Sacramento Pikeminnow",1,94,""
"406",13368,"Siberian Prawn",1,NA,""
"407",13368,"Grass Shrimp",1,NA,""
"408",13368,"Sacramento Pikeminnow",1,67,""
"409",13433,"Mississippi Silverside",37,78,""
"410",13433,"Splittail",2,24,""
"411",13991,"Mississippi Silverside",2,34,""
"412",13991,"Corbicula",6,NA,""
"413",13991,"Splittail",1,84,""
"414",13903,"Mississippi Silverside",25,57,""
"415",13903,"Corbicula",3,NA,""
"416",13467,"Siberian Prawn",1,NA,""
"417",13467,"Mississippi Silverside",2,64,""
"418",13467,"Tule Perch",1,165,""
"419",14003,"Mississippi Silverside",27,106,""
"420",14003,"Splittail",2,104,""
"421",14003,"Starry Flounder",1,81,""
"422",13917,"Mississippi Silverside",11,58,""
"423",13917,"Corbicula",1,NA,""
"424",13917,"Golden Shiner",1,173,""
"425",13917,"Threadfin Shad",89,55,""
"426",13917,"Wakasagi",1,78,""
"427",12423,"No Catch",0,NA,""
"428",13445,"Mississippi Silverside",1,68,""
"429",13445,"Hitch",1,335,""
"430",13445,"Threadfin Shad",1,75,""
"431",13404,"Siberian Prawn",1,NA,""
"432",13404,"Splittail",1,330,""
"433",13982,"Mississippi Silverside",23,62,""
"434",12294,"Chinook Salmon (fall)",1,38,""
"435",12294,"Mississippi Silverside",4,58,""
"436",12294,"Sacramento Pikeminnow",1,60,""
"437",12294,"Threespine Stickleback",1,38,""
"438",12363,"Mississippi Silverside",1,82,""
"439",12363,"Grass Shrimp",1,NA,""
"440",12455,"Siberian Prawn",1,NA,""
"441",12271,"Prickly Sculpin",1,111,""
"442",12271,"Mississippi Silverside",2,49,""
"443",12523,"No Catch",0,NA,""
"444",12255,"No Catch",0,NA,""
"445",12391,"No Catch",0,NA,""
"446",12376,"No Catch",0,NA,""
"447",12758,"No Catch",0,NA,""
"448",13992,"No Catch",0,NA,""
"449",13904,"Mississippi Silverside",2,69,""
"450",13904,"Grass Shrimp",1,NA,""
"451",12524,"No Catch",0,NA,""
"452",12257,"Mississippi Silverside",6,72,""
"453",12257,"Corbicula",1,NA,""
"454",12392,"Mississippi Silverside",1,49,""
"455",13847,"Mississippi Silverside",12,62,""
"456",13484,"Mississippi Silverside",6,56,""
"457",13484,"Channel Catfish",1,337,""
"458",13484,"Hitch",5,127,""
"459",13484,"Sacramento Pikeminnow",1,125,""
"460",13484,"Splittail",32,24,""
"461",12364,"No Catch",0,NA,""
"462",13793,"Potamocorbula",1,NA,""
"463",13414,"Splittail",5,31,""
"464",12246,"Siberian Prawn",2,NA,""
"465",12246,"Mississippi Silverside",1,80,""
"466",12246,"Bluegill",1,146,""
"467",12246,"Hitch",4,229,""
"468",12246,"Shimofuri Goby",2,47,""
"469",12246,"Threadfin Shad",2,76,""
"470",13965,"No Catch",0,NA,""
"471",13972,"Killifish spp.",3,37,""
"472",13972,"Siberian Prawn",1,NA,""
"473",13972,"Mississippi Silverside",17,60,""
"474",13921,"Mississippi Silverside",1,62,""
"475",13817,"Mississippi Silverside",3,73,""
"476",13817,"Corbicula",1,NA,""
"477",13817,"Largemouth Bass",1,77,""
"478",12284,"Killifish spp.",3,23,""
"479",12284,"Siberian Prawn",3,NA,""
"480",12284,"Crayfish",19,NA,""
"481",12284,"Prickly Sculpin",1,73,""
"482",12284,"Grass Shrimp",22,NA,""
"483",12284,"Bluegill",6,41,""
"484",12284,"Hitch",1,87,""
"485",13369,"Crayfish",4,NA,""
"486",13369,"Oriental Shrimp",2,NA,""
"487",13369,"Bluegill",6,36,""
"488",13369,"Redear Sunfish",1,68,""
"489",13369,"Sacramento Pikeminnow",1,82,""
"490",13434,"Killifish spp.",5,32,""
"491",13434,"Prickly Sculpin",3,19,""
"492",13434,"Mississippi Silverside",13,70,""
"493",13434,"Grass Shrimp",2,NA,""
"494",13434,"Corbicula",3,NA,""
"495",13434,"Crappie spp.",1,32,""
"496",12487,"No Catch",0,NA,""
"497",12444,"No Catch",0,NA,""
"498",12296,"Mississippi Silverside",3,50,""
"499",12296,"Bluegill",1,40,""
"500",12296,"Threadfin Shad",2,68,""
"501",13405,"Yellowfin Goby",1,22,""
"502",12845,"Threespine Stickleback",2,39,""
"503",13983,"Mississippi Silverside",33,55,""
"504",13983,"Threadfin Shad",1,49,""
"505",13469,"No Catch",0,NA,""
"506",12456,"Siberian Prawn",2,NA,""
"507",12272,"Mississippi Silverside",2,63,""
"508",14004,"Siberian Prawn",1,NA,""
"509",12315,"No Catch",0,NA,""
"510",13928,"No Catch",0,NA,""
"511",12321,"No Catch",0,NA,""
"512",13993,"Siberian Prawn",1,NA,""
"513",13993,"Mississippi Silverside",11,68,""
"514",13993,"Corbicula",7,NA,""
"515",13905,"Harris Mud Crab",1,NA,""
"516",12258,"Mississippi Silverside",9,74,""
"517",12393,"No Catch",0,NA,""
"518",13973,"Mississippi Silverside",63,81,""
"519",13973,"American Shad",1,73,""
"520",13370,"Crayfish",3,NA,""
"521",13370,"Prickly Sculpin",2,16,""
"522",13370,"Grass Shrimp",5,NA,""
"523",13370,"Bluegill",11,60,""
"524",13370,"Golden Shiner",10,115,""
"525",13370,"Largemouth Bass",1,158,""
"526",13370,"Sacramento Pikeminnow",3,82,""
"527",13370,"Warmouth",1,101,""
"528",13984,"Mississippi Silverside",2,44,""
"529",13984,"American Shad",3,89,""
"530",12525,"Siberian Prawn",1,NA,""
"531",13794,"Potamocorbula",131,NA,""
"532",13794,"Bay Shrimp",4,NA,""
"533",13415,"No Catch",0,NA,""
"534",12380,"No Catch",0,NA,""
"535",13848,"Mississippi Silverside",3,80,""
"536",13922,"Mississippi Silverside",1564,62,""
"537",13922,"Black Crappie",12,69,""
"538",13922,"Bluegill",1,49,""
"539",13922,"Golden Shiner",1,50,""
"540",13922,"Largemouth Bass",3,108,""
"541",13818,"Mississippi Silverside",38,79,""
"542",13818,"American Shad",11,68,""
"543",13818,"Bigscale Logperch",1,87,""
"544",12285,"Chinook Salmon (fall)",1,41,""
"545",12488,"Threadfin Shad",1,88,""
"546",12445,"Siberian Prawn",1,NA,""
"547",12445,"Corbicula",1,NA,""
"548",12301,"Mississippi Silverside",1,52,""
"549",12365,"Clam Other",1,NA,""
"550",13436,"Clupeidae larvae",4,22,""
"551",13436,"Prickly Sculpin",1,23,""
"552",13436,"Black Bass (unknown species)",163,18,""
"553",13436,"Wakasagi",33,30,""
"554",13406,"Siberian Prawn",1,NA,""
"555",13406,"Prickly Sculpin",1,34,""
"556",13406,"Splittail",1,27,""
"557",13406,"Yellowfin Goby",2,19,""
"558",12846,"No Catch",0,NA,""
"559",13877,"Shrimp Other",1,NA,""
"560",13470,"Siberian Prawn",1,NA,""
"561",13470,"Threespine Stickleback",1,45,""
"562",12457,"Mississippi Silverside",3,89,""
"563",12457,"Pacific Staghorn Sculpin",1,21,""
"564",12457,"Threespine Stickleback",1,43,""
"565",12273,"Siberian Prawn",1,NA,""
"566",12273,"Mississippi Silverside",4,40,""
"567",12273,"Threadfin Shad",1,88,""
"568",14005,"No Catch",0,NA,""
"569",12316,"No Catch",0,NA,""
"570",13929,"Mississippi Silverside",88,54,""
"571",12247,"No Catch",0,NA,""
"572",12322,"Killifish spp.",2,30,""
"573",12322,"Crayfish",1,NA,""
"574",12322,"Mississippi Silverside",1,33,""
"575",12322,"Grass Shrimp",2,NA,""
"576",12322,"Bluegill",5,33,""
"577",12322,"Largemouth Bass",1,281,""
"578",12322,"Redear Sunfish",1,214,""
"579",13966,"No Catch",0,NA,""
"580",13994,"Siberian Prawn",1,NA,""
"581",13994,"Mississippi Silverside",38,69,""
"582",13906,"Siberian Prawn",1,NA,""
"583",13906,"Splittail",1,94,""
"584",13906,"Threadfin Shad",1,43,""
"585",12259,"Chinook Salmon (fall)",1,37,""
"586",12259,"Mississippi Silverside",1,61,""
"587",12259,"Hitch",1,290,""
"588",12259,"Threadfin Shad",1,60,""
"589",12259,"Threespine Stickleback",1,44,""
"590",12394,"No Catch",0,NA,""
"591",13795,"Mississippi Silverside",41,54,""
"592",13795,"Oriental Shrimp",2,NA,""
"593",13795,"Bay Shrimp",1,NA,""
"594",13795,"Shimofuri Goby",1,44,""
"595",12381,"No Catch",0,NA,""
"596",13975,"Killifish spp.",1,35,""
"597",13975,"Siberian Prawn",1,NA,""
"598",13975,"Mississippi Silverside",227,70,""
"599",13975,"Grass Shrimp",5,NA,""
"600",13975,"Golden Shiner",2,49,""
"601",13975,"Threadfin Shad",27,51,""
"602",12286,"Killifish spp.",11,30,""
"603",12286,"Mosquitofish",3,24,""
"604",12286,"Crayfish",3,NA,""
"605",12286,"Grass Shrimp",3,NA,""
"606",12286,"Splittail",1,321,""
"607",13371,"Siberian Prawn",1,NA,""
"608",13371,"Crayfish",30,NA,""
"609",13371,"Mississippi Silverside",34,63,""
"610",13371,"Grass Shrimp",6,NA,""
"611",13371,"Bluegill",1,43,""
"612",13407,"Siberian Prawn",1,NA,""
"613",13985,"No Catch",0,NA,""
"614",12526,"Striped Bass",1,203,""
"615",13416,"No Catch",0,NA,""
"616",13849,"No Catch",0,NA,""
"617",13924,"Killifish spp.",10,18,""
"618",13924,"Mosquitofish",2,20,""
"619",13924,"Crayfish",6,NA,""
"620",13924,"Mississippi Silverside",1,44,""
"621",12489,"Chinook Salmon (fall)",1,51,""
"622",12489,"Mississippi Silverside",1,87,""
"623",12489,"Threespine Stickleback",1,23,""
"624",12458,"Siberian Prawn",1,NA,""
"625",12274,"Siberian Prawn",6,NA,""
"626",12274,"Threadfin Shad",1,91,""
"627",12274,"Threespine Stickleback",1,32,""
"628",14006,"Bay Shrimp",1,NA,""
"629",14006,"Splittail",1,131,""
"630",12446,"No Catch",0,NA,""
"631",12302,"Killifish spp.",1,33,""
"632",12302,"Potamocorbula",185,NA,""
"633",12302,"Macoma",1,NA,""
"634",12302,"Corbicula",145,NA,""
"635",12366,"No Catch",0,NA,""
"636",13819,"Mississippi Silverside",48,70,""
"637",13819,"Grass Shrimp",5,NA,""
"638",13819,"Hitch",2,210,""
"639",13819,"Largemouth Bass",2,67,""
"640",13819,"Redear Sunfish",2,69,""
"641",13437,"Potamocorbula",38,NA,""
