"","SampleID_key","CommonName","FishLength","PlusCount","TotalCatch","FishLengthComments","EntryOrder"
"44",10318,"Bluegill",48,0,8,"",24997
"45",10311,"Bluegill",40,0,5,"",24950
"46",12143,"Bluegill",41,0,4,"",26674
"47",12144,"Bluegill",46,0,1,"",26709
"48",10311,"Bluegill",44,0,5,"",24951
"49",11471,"Bluegill",50,0,1,"",25573
"50",12169,"Bullfrog tadpole",NA,3,3,"",NA
"51",11471,"Channel Catfish",404,0,1,"",25563
"52",12081,"Clam Other",NA,1,1,"",NA
"53",12160,"Common Carp",75,0,1,"",26864
"54",10951,"Common Carp",500,0,1,"",25235
"55",10953,"Common Carp",NA,1,1,"",NA
"56",12143,"Common Carp",167,0,1,"",26670
"57",11470,"Common Carp",NA,1,1,"",NA
"58",10285,"Corbicula",NA,1,1,"",NA
"59",12043,"Corbicula",NA,2,2,"",NA
"60",12024,"Corbicula",NA,22,22,"",NA
"61",12197,"Corbicula",NA,2,2,"",NA
"62",12181,"Corbicula",NA,7,7,"",NA
"63",12026,"Corbicula",NA,22,22,"",NA
"64",12162,"Corbicula",NA,16,16,"",NA
"65",10952,"Corbicula",NA,2,2,"",NA
"66",12053,"Corbicula",NA,2,2,"",NA
"67",11528,"Corbicula",NA,23,23,"",NA
"68",11527,"Corbicula",NA,59,59,"",NA
"69",10296,"Corbicula",NA,81,81,"",NA
"70",10949,"Corbicula",NA,3,3,"",NA
"71",12182,"Corbicula",NA,4,4,"",NA
"72",12022,"Corbicula",NA,1,1,"",NA
"73",12058,"Corbicula",NA,5,5,"",NA
"74",12183,"Corbicula",NA,1,1,"",NA
"75",10297,"Corbicula",NA,2,2,"",NA
"76",12172,"Corbicula",NA,5,5,"",NA
"77",11526,"Corbicula",NA,72,72,"",NA
"78",10315,"Corbicula",NA,1,1,"",NA
"79",12045,"Corbicula",NA,1,1,"",NA
"80",11468,"Corbicula",NA,4,4,"",NA
"81",12082,"Corbicula",NA,3,3,"",NA
"82",12119,"Corbicula",NA,1,1,"",NA
"83",12081,"Corbicula",NA,11,11,"",NA
"84",12188,"Corbicula",NA,1,1,"",NA
"85",12126,"Corbicula",NA,1,1,"",NA
"86",12175,"Corbicula",NA,2,2,"",NA
"87",10303,"Corbicula",NA,109,109,"",NA
"88",12063,"Corbicula",NA,1,1,"",NA
"89",10316,"Corbicula",NA,7,7,"",NA
"90",12203,"Corbicula",NA,1,1,"",NA
"91",12021,"Corbicula",NA,1,1,"",NA
"92",12222,"Corbicula",NA,1,1,"",NA
"93",11526,"Bay Shrimp",NA,17,17,"",NA
"94",12087,"Bay Shrimp",NA,2,2,"",NA
"95",10948,"Bay Shrimp",NA,10,10,"",NA
"96",12192,"Bay Shrimp",NA,1,1,"",NA
"97",10944,"Bay Shrimp",NA,124,124,"",NA
"98",12172,"Bay Shrimp",NA,1,1,"",NA
"99",10941,"Bay Shrimp",NA,1,1,"",NA
"100",11524,"Bay Shrimp",NA,53,53,"",NA
"101",11527,"Bay Shrimp",NA,30,30,"",NA
"102",11520,"Bay Shrimp",NA,16,16,"",NA
"103",12081,"Bay Shrimp",NA,3,3,"",NA
"104",11522,"Bay Shrimp",NA,3,3,"",NA
"105",12026,"Bay Shrimp",NA,5,5,"",NA
"106",11545,"Bay Shrimp",NA,1,1,"",NA
"107",10945,"Bay Shrimp",NA,90,90,"",NA
"108",12193,"Bay Shrimp",NA,1,1,"",NA
"109",11521,"Bay Shrimp",NA,3,3,"",NA
"110",11523,"Bay Shrimp",NA,48,48,"",NA
"111",11464,"Bay Shrimp",NA,1,1,"",NA
"112",10949,"Bay Shrimp",NA,73,73,"",NA
"113",12088,"Bay Shrimp",NA,4,4,"",NA
"114",12043,"Bay Shrimp",NA,2,2,"",NA
"115",12082,"Bay Shrimp",NA,1,1,"",NA
"116",12141,"Bay Shrimp",NA,0,1,"",NA
"117",11509,"Bay Shrimp",NA,17,17,"",NA
"118",11528,"Bay Shrimp",NA,4,4,"",NA
"119",12044,"Bay Shrimp",NA,3,3,"",NA
"120",12046,"Bay Shrimp",NA,181,181,"",NA
"121",12085,"Bay Shrimp",NA,13,13,"",NA
"122",12083,"Bay Shrimp",NA,5,5,"",NA
"123",10946,"Bay Shrimp",NA,80,80,"",NA
"124",12063,"Bay Shrimp",NA,2,2,"",NA
"125",12045,"Bay Shrimp",NA,1,1,"",NA
"126",11525,"Bay Shrimp",NA,49,49,"",NA
"127",10952,"Bay Shrimp",NA,15,15,"",NA
"128",12042,"Bay Shrimp",NA,2,2,"",NA
"129",11556,"Bay Shrimp",NA,1,1,"",NA
"130",11543,"Bay Shrimp",NA,1,1,"",NA
"131",10292,"Crappie spp.",83,0,1,"",24859
"132",10981,"Crayfish",NA,0,0,"",NA
"133",12219,"Crayfish",NA,1,1,"",NA
"134",10288,"Crayfish",NA,1,1,"",NA
"135",11514,"Crayfish",NA,1,1,"",NA
"136",12163,"Crayfish",NA,4,4,"",NA
"137",10289,"Crayfish",NA,16,16,"",NA
"138",12132,"Crayfish",NA,0,0,"",NA
"139",12171,"Crayfish",NA,1,1,"",NA
"140",11464,"Crayfish",NA,1,1,"",NA
"141",12120,"Crayfish",NA,20,20,"",NA
"142",12022,"Crayfish",NA,1,1,"",NA
"143",10290,"Crayfish",NA,2,2,"",NA
"144",12146,"Crayfish",NA,8,8,"",NA
"145",10311,"Crayfish",NA,2,2,"",NA
"146",12119,"Crayfish",NA,6,6,"",NA
"147",12161,"Crayfish",NA,1,1,"",NA
"148",10294,"Crayfish",NA,1,1,"",NA
"149",12129,"Crayfish",NA,2,2,"",NA
"150",12169,"Crayfish",NA,19,19,"",NA
"151",12223,"Crayfish",NA,5,5,"",NA
"152",11478,"Siberian Prawn",NA,11,11,"",NA
"153",12169,"Siberian Prawn",NA,1,1,"",NA
"154",10954,"Siberian Prawn",NA,1,1,"",NA
"155",12129,"Siberian Prawn",NA,14,14,"",NA
"156",10951,"Siberian Prawn",NA,6,6,"",NA
"157",12163,"Siberian Prawn",NA,4,4,"",NA
"158",12143,"Siberian Prawn",NA,5,5,"",NA
"159",12161,"Siberian Prawn",NA,55,55,"",NA
"160",11509,"Siberian Prawn",NA,4,4,"",NA
"161",11524,"Siberian Prawn",NA,2,2,"",NA
"162",12199,"Siberian Prawn",NA,1,1,"",NA
"163",11525,"Siberian Prawn",NA,1,1,"",NA
"164",10320,"Siberian Prawn",NA,1,1,"",NA
"165",12130,"Siberian Prawn",NA,1,1,"",NA
"166",12217,"Siberian Prawn",NA,2,2,"",NA
"167",12054,"Siberian Prawn",NA,1,1,"",NA
"168",10292,"Siberian Prawn",NA,3,3,"",NA
"169",10316,"Siberian Prawn",NA,12,12,"",NA
"170",12046,"Siberian Prawn",NA,7,7,"",NA
"171",10312,"Siberian Prawn",NA,4,4,"",NA
"172",11504,"Siberian Prawn",NA,1,1,"",NA
"173",11553,"Siberian Prawn",NA,1,1,"",NA
"174",12128,"Siberian Prawn",NA,2,2,"",NA
"175",10288,"Siberian Prawn",NA,3,3,"",NA
"176",12043,"Siberian Prawn",NA,1,1,"",NA
"177",10290,"Siberian Prawn",NA,7,7,"",NA
"178",10289,"Siberian Prawn",NA,16,16,"",NA
"179",11471,"Siberian Prawn",NA,4,4,"",NA
"180",12223,"Siberian Prawn",NA,1,1,"",NA
"181",12146,"Siberian Prawn",NA,1,1,"",NA
"182",12160,"Siberian Prawn",NA,8,8,"",NA
"183",12088,"Siberian Prawn",NA,1,1,"",NA
"184",12145,"Siberian Prawn",NA,7,7,"",NA
"185",10953,"Siberian Prawn",NA,3,3,"",NA
"186",10955,"Siberian Prawn",NA,1,1,"",NA
"187",12144,"Siberian Prawn",NA,1,1,"",NA
"188",11545,"Siberian Prawn",NA,15,15,"",NA
"189",10294,"Siberian Prawn",NA,16,16,"",NA
"190",12042,"Siberian Prawn",NA,2,2,"",NA
"191",10952,"Siberian Prawn",NA,32,32,"",NA
"192",10945,"Siberian Prawn",NA,4,4,"",NA
"193",10946,"Siberian Prawn",NA,2,2,"",NA
"194",10286,"Siberian Prawn",NA,2,2,"",NA
"195",10293,"Siberian Prawn",NA,1,1,"",NA
"196",11462,"Siberian Prawn",NA,2,2,"",NA
"197",12205,"Siberian Prawn",NA,2,2,"",NA
"198",10944,"Siberian Prawn",NA,2,2,"",NA
"199",11470,"Siberian Prawn",NA,22,22,"",NA
"200",11479,"Golden Shiner",81,0,7,"",25652
"201",11471,"Golden Shiner",60,0,3,"",25567
"202",11479,"Golden Shiner",80,0,7,"",25657
"203",10290,"Golden Shiner",72,0,3,"",24797
"204",11471,"Golden Shiner",66,0,3,"",25566
"205",11479,"Golden Shiner",83,0,7,"",25655
"206",11479,"Golden Shiner",84,0,7,"",25656
"207",10290,"Golden Shiner",76,0,3,"",24796
"208",10290,"Golden Shiner",62,0,3,"",24798
"209",10292,"Golden Shiner",100,0,1,"",24861
"210",12123,"Golden Shiner",149,0,2,"",26536
"211",10296,"Golden Shiner",117,0,1,"",24876
"212",12123,"Golden Shiner",134,0,2,"",26537
"213",11479,"Golden Shiner",70,0,7,"",25654
"214",12119,"Golden Shiner",111,0,1,"",26363
"215",11471,"Golden Shiner",78,0,3,"",25565
"216",11479,"Golden Shiner",94,0,7,"",25653
"217",11479,"Golden Shiner",76,0,7,"",25651
"218",12058,"Harris Mud Crab",NA,1,1,"",NA
"219",12159,"Harris Mud Crab",NA,1,1,"",NA
"220",11542,"Harris Mud Crab",NA,1,1,"",NA
"221",12201,"Harris Mud Crab",NA,1,1,"",NA
"222",10305,"Harris Mud Crab",NA,1,1,"",NA
"223",11546,"Harris Mud Crab",NA,2,2,"",NA
"224",11470,"Hitch",114,0,10,"2022_HCH_026",25533
"225",10290,"Hitch",65,0,7,"HCH_2022_012",24789
"226",10292,"Hitch",98,0,6,"HCH_2022_018",24853
"227",10311,"Hitch",75,0,1,"2022_HCH_002",24948
"228",10290,"Hitch",83,0,7,"HCH_2022_017",24795
"229",10316,"Hitch",63,0,6,"2022_HCH_005",24956
"230",11470,"Hitch",122,0,10,"2022_HCH_025",25532
"231",10292,"Hitch",80,0,6,"HCH_2022_020",24855
"232",11470,"Hitch",80,0,10,"",25541
"233",10290,"Hitch",75,0,7,"HCH_2022_011",24788
"234",10289,"Hitch",64,0,2,"2022_HCH_010",24782
"235",12220,"Hitch",126,0,1,"",27807
"236",10289,"Hitch",93,0,2,"2022_HCH_009",24775
"237",11470,"Hitch",69,0,10,"2022_HCH_028",25535
"238",10290,"Hitch",95,0,7,"HCH_2022_014",24791
"239",10316,"Hitch",75,0,6,"2022_HCH_008",24959
"240",11470,"Hitch",80,0,10,"2022_HCH_027",25534
"241",10290,"Hitch",68,0,7,"HCH_2022_016",24793
"242",11470,"Hitch",76,0,10,"",25538
"243",11504,"Hitch",77,0,1,"2022_HCH_024",25669
"244",11471,"Hitch",84,0,4,"",25560
"245",11471,"Hitch",96,0,4,"",25562
"246",11470,"Hitch",75,0,10,"2022_HCH_030",25537
"247",11470,"Hitch",92,0,10,"2022_HCH_029",25536
"248",10290,"Hitch",63,0,7,"HCH_2022_013",24790
"249",10292,"Hitch",67,0,6,"HCH_2022_023",24858
"250",10292,"Hitch",76,0,6,"HCH_2022_022",24857
"251",10316,"Hitch",69,0,6,"2022_HCH_007",24958
"252",10290,"Hitch",63,0,7,"HCH_2022_015",24792
"253",11471,"Hitch",90,0,4,"",25561
"254",10292,"Hitch",70,0,6,"HCH_2022_021",24856
"255",11470,"Hitch",74,0,10,"",25540
"256",10292,"Hitch",76,0,6,"HCH_2022_019",24854
"257",10316,"Hitch",60,0,6,"2022_HCH_006",24957
"258",10316,"Hitch",101,0,6,"2022_HCH_004",24955
"259",11471,"Hitch",122,0,4,"",25559
"260",10316,"Hitch",78,0,6,"2022_HCH_003",24954
"261",11470,"Hitch",95,0,10,"",25539
"262",10286,"Largemouth Bass",161,0,1,"",26021
"263",12143,"Largemouth Bass",88,0,2,"",26668
"264",12143,"Largemouth Bass",173,0,2,"",26667
"265",11505,"Longfin Smelt",30,0,6,"",25670
"266",11505,"Longfin Smelt",37,0,6,"",25675
"267",11505,"Longfin Smelt",30,0,6,"",25672
"268",11523,"Longfin Smelt",33,NA,6,"",25743
"269",11520,"Longfin Smelt",31,0,8,"",25715
"270",11520,"Longfin Smelt",37,0,8,"",25709
"271",10946,"Longfin Smelt",31,0,5,"",25209
"272",11520,"Longfin Smelt",33,0,8,"",25711
"273",11525,"Longfin Smelt",37,0,5,"",25754
"274",10946,"Longfin Smelt",29,0,5,"",25211
"275",10946,"Longfin Smelt",31,0,5,"",25208
"276",10946,"Longfin Smelt",30,0,5,"",25207
"277",11525,"Longfin Smelt",34,0,5,"",25756
"278",11520,"Longfin Smelt",32,0,8,"",25714
"279",11520,"Longfin Smelt",38,0,8,"",25716
"280",11505,"Longfin Smelt",33,0,6,"",25673
"281",11523,"Longfin Smelt",31,NA,6,"",25751
"282",11505,"Longfin Smelt",34,0,6,"",25674
"283",10944,"Longfin Smelt",31,0,2,"",25175
"284",12043,"Longfin Smelt",60,0,1,"",26103
"285",11520,"Longfin Smelt",34,0,8,"",25712
"286",11505,"Longfin Smelt",34,0,6,"",25671
"287",11520,"Longfin Smelt",32,0,8,"",25710
"288",12042,"Longfin Smelt",63,0,1,"",26102
"289",10946,"Longfin Smelt",33,0,5,"",25210
"290",11523,"Longfin Smelt",36,NA,6,"",25742
"291",11522,"Longfin Smelt",33,0,1,"could have been from prior sample",25739
"292",11523,"Longfin Smelt",36,NA,6,"",25741
"293",11525,"Longfin Smelt",33,0,5,"",25757
"294",10310,"Longfin Smelt",36,0,1,"",24915
"295",11523,"Longfin Smelt",34,NA,6,"",25752
"296",10944,"Longfin Smelt",30,0,2,"",25174
"297",11525,"Longfin Smelt",32,0,5,"",25753
"298",11521,"Longfin Smelt",36,0,2,"",25722
"299",11523,"Longfin Smelt",37,NA,6,"",25740
"300",11520,"Longfin Smelt",30,0,8,"",25713
"301",10943,"Longfin Smelt",31,0,1,"",25166
"302",10945,"Longfin Smelt",35,0,1,"",25206
"303",11521,"Longfin Smelt",33,0,2,"",25721
"304",11525,"Longfin Smelt",73,0,5,"not expressing; nearly dead",25755
"305",12026,"Maeotias",NA,3,3,"",NA
"306",12024,"Maeotias",NA,3,3,"",NA
"307",12021,"Maeotias",NA,1,1,"",NA
"308",12058,"Maeotias",NA,4,4,"",NA
"309",12059,"Maeotias",NA,1,1,"",NA
"310",11514,"Mississippi Silverside",68,0,14,"",25681
"311",10288,"Mississippi Silverside",54,109,139,"",24744
"312",10288,"Mississippi Silverside",61,109,139,"",24724
"313",10288,"Mississippi Silverside",58,109,139,"",24783
"314",12120,"Mississippi Silverside",47,0,12,"",26405
"315",10288,"Mississippi Silverside",72,109,139,"",24774
"316",10288,"Mississippi Silverside",57,109,139,"",24736
"317",10289,"Mississippi Silverside",58,63,93,"",24753
"318",10285,"Mississippi Silverside",84,0,1,"",24721
"319",10288,"Mississippi Silverside",67,109,139,"",24743
"320",11514,"Mississippi Silverside",66,0,14,"",25686
"321",10288,"Mississippi Silverside",68,109,139,"",24738
"322",10289,"Mississippi Silverside",64,63,93,"",24731
"323",10288,"Mississippi Silverside",82,109,139,"",24734
"324",10288,"Mississippi Silverside",60,109,139,"",24726
"325",10289,"Mississippi Silverside",56,63,93,"",24739
"326",10288,"Mississippi Silverside",70,109,139,"",24784
"327",10288,"Mississippi Silverside",67,109,139,"",24748
"328",11514,"Mississippi Silverside",72,0,14,"",25693
"329",12121,"Mississippi Silverside",50,7,37,"",26512
"330",12054,"Mississippi Silverside",42,0,4,"",26138
"331",10289,"Mississippi Silverside",54,63,93,"",24727
"332",10289,"Mississippi Silverside",54,63,93,"",24728
"333",12121,"Mississippi Silverside",56,7,37,"",26520
"334",10289,"Mississippi Silverside",64,63,93,"",24766
"335",10289,"Mississippi Silverside",54,63,93,"",24732
"336",11514,"Mississippi Silverside",47,0,14,"",25685
"337",10288,"Mississippi Silverside",70,109,139,"",24785
"338",10289,"Mississippi Silverside",60,63,93,"",24733
"339",12121,"Mississippi Silverside",44,7,37,"",26508
"340",12121,"Mississippi Silverside",65,7,37,"",26528
"341",10288,"Mississippi Silverside",73,109,139,"",24777
"342",10289,"Mississippi Silverside",62,63,93,"",24765
"343",10289,"Mississippi Silverside",62,63,93,"",24756
"344",12124,"Mississippi Silverside",52,113,143,"",26553
"345",10289,"Mississippi Silverside",60,63,93,"",24757
"346",10289,"Mississippi Silverside",63,63,93,"",24755
"347",10288,"Mississippi Silverside",57,109,139,"",24769
"348",10288,"Mississippi Silverside",62,109,139,"",24723
"349",10288,"Mississippi Silverside",59,109,139,"",24781
"350",10288,"Mississippi Silverside",54,109,139,"",24780
"351",10288,"Mississippi Silverside",63,109,139,"",24779
"352",10289,"Mississippi Silverside",49,63,93,"",24746
"353",10289,"Mississippi Silverside",62,63,93,"",24754
"354",10290,"Mississippi Silverside",66,0,18,"",24802
"355",10288,"Mississippi Silverside",57,109,139,"",24778
"356",10290,"Mississippi Silverside",71,0,18,"",24807
"357",10290,"Mississippi Silverside",58,0,18,"",24801
"358",12124,"Mississippi Silverside",62,113,143,"",26546
"359",12172,"Mississippi Silverside",61,11,41,"",27168
"360",12124,"Mississippi Silverside",65,113,143,"",26540
"361",10289,"Mississippi Silverside",56,63,93,"",24767
"362",12124,"Mississippi Silverside",48,113,143,"",26555
"363",10288,"Mississippi Silverside",60,109,139,"",24776
"364",10288,"Mississippi Silverside",49,109,139,"",24773
"365",12124,"Mississippi Silverside",59,113,143,"",26545
"366",10288,"Mississippi Silverside",56,109,139,"",24747
"367",10290,"Mississippi Silverside",68,0,18,"",24804
"368",10290,"Mississippi Silverside",56,0,18,"",24813
"369",10978,"Mississippi Silverside",70,0,1,"",25261
"370",10290,"Mississippi Silverside",52,0,18,"",24817
"371",10290,"Mississippi Silverside",54,0,18,"",24815
"372",10290,"Mississippi Silverside",52,0,18,"",24816
"373",10290,"Mississippi Silverside",66,0,18,"",24808
"374",10290,"Mississippi Silverside",54,0,18,"",24803
"375",10289,"Mississippi Silverside",66,63,93,"",24735
"376",10289,"Mississippi Silverside",56,63,93,"",24758
"377",10290,"Mississippi Silverside",69,0,18,"",24800
"378",10290,"Mississippi Silverside",74,0,18,"",24806
"379",10290,"Mississippi Silverside",63,0,18,"",24805
"380",12126,"Mississippi Silverside",75,896,926,"",26576
"381",12174,"Mississippi Silverside",69,0,27,"",27226
"382",12126,"Mississippi Silverside",63,896,926,"",26595
"383",10290,"Mississippi Silverside",72,0,18,"",24818
"384",10290,"Mississippi Silverside",64,0,18,"",24814
"385",12161,"Mississippi Silverside",52,68,98,"",26907
"386",12124,"Mississippi Silverside",52,113,143,"",26562
"387",12126,"Mississippi Silverside",68,896,926,"",26590
"388",12161,"Mississippi Silverside",65,68,98,"",26923
"389",10292,"Mississippi Silverside",50,140,170,"",24843
"390",10289,"Mississippi Silverside",61,63,93,"",24759
"391",10289,"Mississippi Silverside",53,63,93,"",24763
"392",12161,"Mississippi Silverside",51,68,98,"",26901
"393",10288,"Mississippi Silverside",73,109,139,"",24768
"394",10292,"Mississippi Silverside",59,140,170,"",24842
"395",12124,"Mississippi Silverside",79,113,143,"",26564
"396",10292,"Mississippi Silverside",72,140,170,"",24846
"397",12103,"Mississippi Silverside",57,83,113,"",26250
"398",10292,"Mississippi Silverside",48,140,170,"",24837
"399",10292,"Mississippi Silverside",48,140,170,"",24836
"400",10292,"Mississippi Silverside",58,140,170,"",24823
"401",12124,"Mississippi Silverside",64,113,143,"",26552
"402",10292,"Mississippi Silverside",60,140,170,"",24847
"403",11463,"Mississippi Silverside",70,0,5,"",25470
"404",10290,"Mississippi Silverside",74,0,18,"",24799
"405",10292,"Mississippi Silverside",60,140,170,"",24827
"406",11463,"Mississippi Silverside",73,0,5,"",25469
"407",11463,"Mississippi Silverside",56,0,5,"",25471
"408",11463,"Mississippi Silverside",76,0,5,"",25473
"409",10292,"Mississippi Silverside",69,140,170,"",24849
"410",10292,"Mississippi Silverside",61,140,170,"",24833
"411",10292,"Mississippi Silverside",63,140,170,"",24830
"412",10292,"Mississippi Silverside",39,140,170,"",24839
"413",10292,"Mississippi Silverside",54,140,170,"",24838
"414",10292,"Mississippi Silverside",60,140,170,"",24852
"415",10292,"Mississippi Silverside",65,140,170,"",24850
"416",10288,"Mississippi Silverside",58,109,139,"",24745
"417",10292,"Mississippi Silverside",50,140,170,"",24844
"418",10288,"Mississippi Silverside",58,109,139,"",24730
"419",10288,"Mississippi Silverside",58,109,139,"",24771
"420",11468,"Mississippi Silverside",57,95,125,"",25478
"421",10290,"Mississippi Silverside",53,0,18,"",24809
"422",10292,"Mississippi Silverside",50,140,170,"",24848
"423",11468,"Mississippi Silverside",64,95,125,"",25502
"424",10292,"Mississippi Silverside",64,140,170,"",24831
"425",11468,"Mississippi Silverside",58,95,125,"",25484
"426",10292,"Mississippi Silverside",51,140,170,"",24851
"427",11468,"Mississippi Silverside",58,95,125,"",29141
"428",10292,"Mississippi Silverside",57,140,170,"",24832
"429",10292,"Mississippi Silverside",70,140,170,"",24828
"430",11468,"Mississippi Silverside",51,95,125,"",25493
"431",11468,"Mississippi Silverside",58,95,125,"",25491
"432",10288,"Mississippi Silverside",56,109,139,"",24751
"433",10292,"Mississippi Silverside",46,140,170,"",24840
"434",11468,"Mississippi Silverside",56,95,125,"",25495
"435",11468,"Mississippi Silverside",60,95,125,"",25479
"436",11468,"Mississippi Silverside",63,95,125,"",25499
"437",11468,"Mississippi Silverside",57,95,125,"",25498
"438",11468,"Mississippi Silverside",55,95,125,"",25503
"439",11468,"Mississippi Silverside",63,95,125,"",25494
"440",10289,"Mississippi Silverside",53,63,93,"",24729
"441",11468,"Mississippi Silverside",63,95,125,"",25506
"442",11468,"Mississippi Silverside",59,95,125,"",25501
"443",11468,"Mississippi Silverside",76,95,125,"",25486
"444",10292,"Mississippi Silverside",62,140,170,"",24845
"445",10289,"Mississippi Silverside",45,63,93,"",24737
"446",11470,"Mississippi Silverside",56,1,15,"",25522
"447",11470,"Mississippi Silverside",73,1,15,"",25515
"448",12108,"Mississippi Silverside",32,77,107,"",26285
"449",11470,"Mississippi Silverside",58,1,15,"",25517
"450",10289,"Mississippi Silverside",56,63,93,"",24750
"451",12108,"Mississippi Silverside",30,77,107,"",26295
"452",10296,"Mississippi Silverside",83,0,1,"",24875
"453",10289,"Mississippi Silverside",48,63,93,"",24742
"454",10298,"Mississippi Silverside",67,0,1,"",24877
"455",11470,"Mississippi Silverside",56,1,15,"",25514
"456",11470,"Mississippi Silverside",52,1,15,"",25523
"457",11470,"Mississippi Silverside",58,1,15,"",25521
"458",12054,"Mississippi Silverside",41,0,4,"",26137
"459",10304,"Mississippi Silverside",78,0,1,"",24880
"460",12108,"Mississippi Silverside",32,77,107,"",26294
"461",10292,"Mississippi Silverside",62,140,170,"",24829
"462",12108,"Mississippi Silverside",43,77,107,"",26283
"463",11470,"Mississippi Silverside",50,1,15,"",25518
"464",12108,"Mississippi Silverside",28,77,107,"",26299
"465",12108,"Mississippi Silverside",52,77,107,"",26275
"466",10311,"Mississippi Silverside",72,1,26,"",24921
"467",10311,"Mississippi Silverside",52,1,26,"",24935
"468",10311,"Mississippi Silverside",66,1,26,"",24934
"469",10289,"Mississippi Silverside",54,63,93,"",24764
"470",10311,"Mississippi Silverside",50,1,26,"",24923
"471",12109,"Mississippi Silverside",82,0,17,"",26304
"472",11468,"Mississippi Silverside",62,95,125,"",25489
"473",11468,"Mississippi Silverside",52,95,125,"",25492
"474",10311,"Mississippi Silverside",61,1,26,"",24939
"475",10311,"Mississippi Silverside",70,1,26,"",24940
"476",10311,"Mississippi Silverside",59,1,26,"",24924
"477",11470,"Mississippi Silverside",50,1,15,"",25513
"478",10311,"Mississippi Silverside",84,1,26,"",24919
"479",10311,"Mississippi Silverside",73,1,26,"",24918
"480",10311,"Mississippi Silverside",63,1,26,"",24920
"481",10311,"Mississippi Silverside",70,1,26,"",24930
"482",10311,"Mississippi Silverside",68,1,26,"",24941
"483",10311,"Mississippi Silverside",65,1,26,"",24938
"484",12109,"Mississippi Silverside",73,0,17,"",26309
"485",10311,"Mississippi Silverside",53,1,26,"",24922
"486",11545,"Mississippi Silverside",62,0,11,"",25853
"487",10311,"Mississippi Silverside",30,1,26,"",24942
"488",10311,"Mississippi Silverside",60,1,26,"",24931
"489",10311,"Mississippi Silverside",54,1,26,"",24932
"490",11545,"Mississippi Silverside",81,0,11,"",25845
"491",10311,"Mississippi Silverside",61,1,26,"",24929
"492",10311,"Mississippi Silverside",80,1,26,"",24925
"493",12111,"Mississippi Silverside",80,0,5,"",26320
"494",10311,"Mississippi Silverside",73,1,26,"",24926
"495",10311,"Mississippi Silverside",63,1,26,"",24927
"496",12161,"Mississippi Silverside",48,68,98,"",26910
"497",10290,"Mississippi Silverside",55,0,18,"",24812
"498",12143,"Mississippi Silverside",83,7,37,"",26703
"499",12143,"Mississippi Silverside",77,7,37,"",26687
"500",11470,"Mississippi Silverside",64,1,15,"",25511
"501",12115,"Mississippi Silverside",51,0,3,"",26331
"502",11546,"Mississippi Silverside",63,0,18,"",25876
"503",10313,"Mississippi Silverside",74,0,1,"",24943
"504",11471,"Mississippi Silverside",52,0,8,"",25551
"505",11471,"Mississippi Silverside",64,0,8,"",25553
"506",11471,"Mississippi Silverside",61,0,8,"",25552
"507",12126,"Mississippi Silverside",74,896,926,"",26570
"508",11471,"Mississippi Silverside",53,0,8,"",25550
"509",11471,"Mississippi Silverside",72,0,8,"",25554
"510",11546,"Mississippi Silverside",62,0,18,"",25889
