"","VisitNo","SampleID_key","SampleID","StartTime","EndTime","Duration","LatitudeStart","LatitudeEnd","LongitudeStart","LongitudeEnd","DepthOfWater","NetMeterStart","NetMeterEnd","TowDirection","SeineCode","SeineDeploymentType","LengthOfTrawl","Width","PercentOpen","GearTypeAbbreviation","effort","Location","Date","Comments"
"65",7216,12218,"LAMOPE02-DECK-30NOV2022","10:20","",NA,38.084209,NA,121.724037,NA,1,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",107.56568890144,"Decker Island","2022-11-30"," gps 5; accuracy 2m. not paired. narrow area= code 2; a lot of dead tule"
"66",7163,12164,"LAMOPE02-FLYW-14NOV2022","13:58","",NA,38.360817,NA,121.641151,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members and Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Flyway Farms","2022-11-14"," gps 5; accuracy 3m. paired."
"67",7191,12191,"LAMOPE02-GRIZ-21NOV2022","09:24","",NA,38.115441,NA,121.999498,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Grizzly Bay","2022-11-21"," gps 5; accuracy 2m. paired? n . lam03 has large hole in mono; switched to lam01; all noranc in larval phase."
"68",7112,12111,"LAMOPE02-HONK-07DEC2022","09:10","",NA,38.065942,NA,121.929158,NA,2.7,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",265.477555979498,"Honker-Spoonbill","2022-12-07"," gps 5 accuracy 4m; paired n"
"69",6666,11506,"LAMOPE02-HONK-09MAY2022","09:00","",NA,38.062124,NA,121.908893,NA,3.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",316.187450612646,"Honker-Spoonbill","2022-05-09"," "
"70",6431,10979,"LAMOPE02-HORS-05MAY2022","08:45","",NA,38.083033,NA,121.71348,NA,3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",288.23269931296,"Horseshoe Bend","2022-05-05"," "
"71",7131,12129,"LAMOPE02-HORS-15DEC2022","12:00","",NA,38.08294,NA,121.726333,NA,1.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Horseshoe Bend","2022-12-15"," gps5 accuracy 2m; paired n; dominant vegetation in net: filalg; egeden"
"72",6062,10319,"LAMOPE02-HORS-18APR2022","08:53","",NA,38.083255,NA,121.719944,NA,3.3,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",309.454345624682,"Horseshoe Bend","2022-04-18"," veg in net: egeden; % cod end filled: 1-33"
"73",6029,10286,"LAMOPE02-LIBE-04APR2022","10:41","",NA,38.273002,NA,121.690491,NA,1.5,NA,NA," 3= unknown","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",159.12201242824,"Liberty Island","2022-04-04"," dominant veg in net: egeden; cerdem; myrspi cod end %: 34-66"
"74",7143,12144,"LAMOPE02-LIBE-28DEC2022","09:01","",NA,38.286305,NA,121.69054,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Liberty Island","2022-12-28"," gps #5; accuracy 2m; not paired; gearid blank but lam03 was used for all other samples that day; dominant veg in net elodea naiad?"
"75",6646,11467,"LAMOPE02-LOWE-04MAY2022","07:42","",NA,38.349296,NA,121.660725,NA,0.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",96.7432585221664,"Lower Yolo Ranch","2022-05-04"," net caught on transducer during deployment. gps 6 accuracy 3m; osmspp brought back to office-> lab confirmed wakasa. paired? n"
"76",6033,10290,"LAMOPE02-LOWE-06APR2022","09:10","",NA,38.344563,NA,121.661329,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Crew Members and Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Lower Yolo Ranch","2022-04-06"," 2 priscu < 25mm"
"77",7120,12119,"LAMOPE02-LOWE-14DEC2022","09:46","",NA,38.35387,NA,121.654716,NA,0.9,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",96.7432585221664,"Lower Yolo Ranch","2022-12-14"," gps 5 accuracy 2; paired n; code 2 - difficult deployment; very narrow channel; certum (?) veg; dominant vegetation in sample: filalg; potcri; elodia; cerdem"
"78",6707,11546,"LAMOPE02-NURS-25MAY2022","08:39","",NA,38.196383,NA,121.913853,NA,1.1,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",118.217730722742,"Nurse-Denverton","2022-05-25"," gps 6 accuracy 3m; cod end % filled 1-33 of detritus; paired n"
"79",6602,11402,"LAMOPE02-NURS-28APR2022","10:44","",NA,38.190284,NA,121.930149,NA,1.8,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",188.011143848666,"Nurse-Denverton","2022-04-28"," gps #6 accuracy 6m"
"80",7148,12149,"LAMOPE02-PEYT-21DEC2022","09:12","",NA,38.215173,NA,122.035315,NA,1.1,NA,NA," 2= against flow","2. Partial twist; snag; or tear","Boat",NA,NA,NA,"LAMOPE",118.217730722742,"Peytonia-Suisun","2022-12-21"," current did not let boat fully turn against it. pulled bow 45 degrees against current"
"81",7204,12204,"LAMOPE02-PEYT-22NOV2022","09:33","",NA,38.226008,NA,122.03709,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Peytonia-Suisun","2022-11-22"," gps 5; accuracy 2m. not paired. "
"82",6411,10951,"LAMOPE02-PEYT-27APR2022","08:09","",NA,38.214757,NA,122.035494,NA,2.5,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",249.455517634,"Peytonia-Suisun","2022-04-27"," gps #6 accuracy 3m"
"83",7117,12118,"LAMOPE02-RYER-29DEC2022","08:13","",NA,38.08367,NA,122.013334,NA,1.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",149.151524838822,"Ryer Island","2022-12-29"," gps#5; accuracy 2m; not paired; gearid lam03; dmc230518: no health codes on any of the missil"
"84",7167,12168,"LAMOPE02-STAI-15NOV2022","09:43","",NA,38.325399,NA,121.684549,NA,2.4,NA,NA," 2= against flow","1. No twists; snags; or tears","Boat",NA,NA,NA,"LAMOPE",241.188915624294,"Stairsteps-Liberty Cut","2022-11-15"," gps 5; accuracy 2m. not paired. dominant vegetation in sample: filalg."
