"","VisitNo","SampleID_key","SampleID_frp","QAQC.x","GearType","GearTypeAbbreviation","Habitat","SeineCode","TowDirection","HabitatMorphology","DepthOfWater","CableOut","LengthOfTrawl","Width","Netter","StartTime","EndTime","Duration","PercentOpen","DepthOfSample","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","NetMeterSerial","NetMeterStart","NetMeterEnd","Volts","DutyCycle","Amps","PulseRate","VolumeEstimated","SeineDeploymentType","GearDetail","Silt","Sand","Gravel","Cobble","Boulder","Organics","MassOfStandardLow","MassOfStandardHigh","QuestionableData.x","VegetationInSample","FlowType","DragMethod","NetNumber","CodEnd","CodEndPercent","GpsUnit","GpsAccuracy","DepthSource","Comments","QAQC.y","Boat","Crew","Location","Visit.Date","Station","Weather","WindWaves","WindDirection","Tide","Secchi","SurfTemp","DO","SC","pH","Turbidity","Phycocyanin","Chlorophyll","FDOM","Microcystis","SondeNo","Wetland","DataQuality","QuestionableData.y","SiteComments","Visit.Date2","year","month","DateTime","Season"
"11",7251,12254,"LAMOPE02-WINT-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.6,NA,NA,NA,"","08:44","",NA,NA,NA,38.044494,121.846909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. SEINE CODE 2 DUE TO DEPTH; FIXED HOLE ON LEAD LINE (~4IN) AFTER SAMPLE","true","Mudsucker","MA;AC;ED;GP","Winter Island","01/12/2023","WINT-CH-E","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",18,10.1,9.78,224,7.3,54.7,0.87,0.71,24.2," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 08:44","Winter"
"12",7252,12255,"LAMOPE03-WINT-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.6,NA,NA,NA,"","09:09","",NA,NA,NA,38.031796,121.842607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. SEINE CODE 2 DUE TO DEPTH. REPAIRED HOLE IN NET ON COD END SEAM (~3IN) AFTER SAMPLE","true","Mudsucker","MA;AC;ED;GP","Winter Island","01/12/2023","WINT-CH-INT","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",21,10.1,9.5,211,7.3,58.2,0.89,0.73,24.4," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 09:09","Winter"
"13",7253,12257,"LAMOPE04-BROW-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",1.4,NA,NA,NA,"","09:54","",NA,NA,NA,38.040131,121.858524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 3M. NOT PAIRED. COD END 1/4 FULL OF MUD AND DETRITUS","true","Mudsucker","MA;AC;ED;GP","Browns Island","01/12/2023","BROW-TP","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",43,9.9,6.72,1170,6.9,19.5,0.8,0.95,33.1," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 09:54","Winter"
"14",7254,12258,"LAMOPE05-BROW-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.8,NA,NA,NA,"","10:27","",NA,NA,NA,38.039703,121.864099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 3M. NOT PAIRED. SEINE CODE 2 DUE TO DEPTH.","true","Mudsucker","MA;AC;ED;GP","Browns Island","01/12/2023","BROW-CH-MAIN","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",34,10,7.57,937,6.9,27.6,0.84,0.85,29.8," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 10:27","Winter"
"15",7255,12259,"LAMOPE06-BROW-12JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.6,NA,NA,NA,"","10:52","",NA,NA,NA,38.042799,121.871486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. FISH COLLECTIONS: FRP23-001 HITCH 290 0 FIN CLIP ETOH; FRP23-500 CHISAL-F 37 0 WHOLE ICE; FRP23-501 THRSTI 44 0 WHOLE ETOH","true","Mudsucker","MA;AC;ED;GP","Browns Island","01/12/2023","BROW-CH-MAIN","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",20,10.2,9.77,263,7.3,58.4,0.88,0.74,23.2," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 10:52","Winter"
"16",7256,12260,"LAMOPE07-CHIP-12JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.2,NA,NA,NA,"","11:40","",NA,NA,NA,38.059639,121.918052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED.","true","Mudsucker","MA;AC;ED;GP","Chipps Island","01/12/2023","CHIP-UNK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," SE"," 2=ebb",19,10.2,9.02,555,7.2,66.9,0.86,0.6,17," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 11:40","Winter"
"17",7257,12261,"LAMOPE08-CHIP-12JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.2,NA,NA,NA,"","12:10","",NA,NA,NA,38.057301,121.920764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED.","true","Mudsucker","MA;AC;ED;GP","Chipps Island","01/12/2023","CHIP-UNK","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",24,10.2,9.32,439,7.3,67,0.87,0.56,16.3," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 12:10","Winter"
"18",7258,12262,"LAMOPE09-HONK-12JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.6,NA,NA,NA,"","12:32","",NA,NA,NA,38.079453,121.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED.","true","Mudsucker","MA;AC;ED;GP","Honker-Spoonbill","01/12/2023","HONK-HONK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",14,10.7,10.45,311,7.5,88.7,0.92,0.61,14.6," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 12:32","Winter"
"19",7259,12263,"LAMOPE10-HONK-12JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.9,NA,NA,NA,"","12:58","",NA,NA,NA,38.071505,121.910893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. ","true","Mudsucker","MA;AC;ED;GP","Honker-Spoonbill","01/12/2023","HONK-HONK","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",10,10.7,10.22,233,7.5,104.3,0.93,0.64,14.3," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 12:58","Winter"
"20",7260,12264,"LAMOPE11-CHIP-12JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.2,NA,NA,NA,"","13:28","",NA,NA,NA,38.06507,121.911757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," Garmin 5",2," "," GPS 5; ACCURACY 2. NOT PAIRED. FRP23-502 CHISAL-F 37 0 WHOLE ICE","true","Mudsucker","MA;AC;ED;GP","Chipps Island","01/12/2023","CHIP-UNK","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",14,10.5,9.63,270,7.3,95.2,0.94,0.65,14.9," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 13:28","Winter"
"21",7261,12265,"LAMOPE12-HONK-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",5.6,NA,NA,NA,"","14:03","",NA,NA,NA,38.055171,121.894993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. Code 2: Depth","true","Mudsucker","MA;AC;ED;GP","Honker-Spoonbill","01/12/2023","HONK-SPOON","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," NE"," 2=ebb",12,10.5,10.13,153,7.5,97.4,0.94,0.6,14.4," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 14:03","Winter"
"22",7262,12266,"LAMOPE13-BROA-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.4,NA,NA,NA,"","14:26","",NA,NA,NA,38.048597,121.848221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. SEINE CODE 2 -DEPTH","true","Mudsucker","MA;AC;ED;GP","Broad Slough","01/12/2023","BROA-INT","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",21,10.6,9.85,211,7.4,62.4,0.81,0.69,22.6," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 14:26","Winter"
"23",7263,12267,"LAMOPE14-BROA-12JAN2023","true","Seine","LAMOPE",""," 2. Partial twist; snag; or tear"," 2= against flow"," ",3.8,NA,NA,NA,"","14:42","",NA,NA,NA,38.038558,121.844333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. SEINE CODE 2 - DEPTH","true","Mudsucker","MA;AC;ED;GP","Broad Slough","01/12/2023","BROA-INT","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",17,10.6,10.14,206,7.4,68.7,0.85,0.71,22.6," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 14:42","Winter"
"24",7264,12268,"LAMOPE15-BROA-12JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",3,NA,NA,NA,"","15:01","",NA,NA,NA,38.032679,121.839569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED.","true","Mudsucker","MA;AC;ED;GP","Broad Slough","01/12/2023","BROA-INT","3=66-100% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",17,10.4,10.12,214,7.4,65.6,0.86,0.73,23.4," 1=absent",1," Inside",NA," false"," ",2023-01-12,2023,1,"2023-01-12 15:01","Winter"
"25",7265,12269,"LAMOPE01-PEYT-19JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.7,NA,NA,NA,"","07:35","",NA,NA,NA,38.226707,122.034588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2M. NOT PAIRED. SAMPLED THROUGH TULE. FRP23-503 THRSTI 36 0 WHOLE ETOH","true","Mudsucker","AC;ED;GP;KS","Peytonia-Suisun","01/19/2023","PEYT-PEYT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",22,10.3,7.95,1026,7.5,38.5,0.93,1.5,37.6," 1=absent",1," Inside",NA," false"," ",2023-01-19,2023,1,"2023-01-19 07:35","Winter"
"26",7266,12270,"LAMOPE02-PEYT-19JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.7,NA,NA,NA,"","08:00","",NA,NA,NA,38.222181,122.04348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," Garmin 5",2," "," ","true","Mudsucker","AC;ED;GP;KS","Peytonia-Suisun","01/19/2023","PEYT-PEYT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," W"," 4=flood",30,11.1,8.86,1064,7.6,24.3,0.94,1.58,34.3," 1=absent",1," Inside",NA," false"," ",2023-01-19,2023,1,"2023-01-19 08:00","Winter"
"27",7267,12271,"LAMOPE03-WING-19JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,NA,NA,"","08:20","",NA,NA,NA,38.222538,122.041185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED","true","Mudsucker","AC;ED;GP;KS","Wings Landing","01/19/2023","WING-TP-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",12,8.9,9,1061,7.6,63.8,1.15,1.73,34.5," 1=absent",1," Inside",NA," false"," ",2023-01-19,2023,1,"2023-01-19 08:20","Winter"
"28",7268,12272,"LAMOPE04-WING-19JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",0.8,NA,NA,NA,"","08:35","",NA,NA,NA,38.220765,122.041146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED.","true","Mudsucker","AC;ED;GP;KS","Wings Landing","01/19/2023","WING-TP-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",21,10.9,8.8,1048,7.6,27,0.92,1.46,34.3," 1=absent",1," Inside",NA," false"," ",2023-01-19,2023,1,"2023-01-19 08:35","Winter"
"29",7269,12273,"LAMOPE05-WING-19JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.1,NA,NA,NA,"","08:49","",NA,NA,NA,38.219083,122.039343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED","true","Mudsucker","AC;ED;GP;KS","Wings Landing","01/19/2023","WING-TP-INT","1=0-33% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",20,9.3,8.23,969,7.5,43.6,0.98,1.44,37.6," 1=absent",1," Inside",NA," false"," ",2023-01-19,2023,1,"2023-01-19 08:49","Winter"
"30",7270,12274,"LAMOPE06-PEYT-19JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",1.3,NA,NA,NA,"","09:15","",NA,NA,NA,38.210755,122.035481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 0%"," ",NA," "," GPS 5; ACCURACY 3. NOT PAIRED. PULLED NET THROUGH TULE (CALIFORNICUS). FRP23-504 THRSTI @32","true","Mudsucker","AC;ED;GP;KS","Peytonia-Suisun","01/19/2023","PEYT-SUIS","2=33-66% clouds","1=wind 1-3 mph; scaley ripples"," E"," 4=flood",17,10.5,7.95,1091,7.5,56.3,1,1.39,34.8," 1=absent",1," Inside",NA," false"," ",2023-01-19,2023,1,"2023-01-19 09:15","Winter"
"31",7271,12275,"LAMOPE07-NURS-19JAN2023","true","Seine","LAMOPE",""," 1. No twists; snags; or tears"," 2= against flow"," ",2.3,NA,NA,NA,"","10:20","",NA,NA,NA,38.17696,121.920852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Boat"," ",NA,NA,NA,NA,NA,NA,NA,NA," false"," "," ","","1",NA," 1-33%"," ",NA," "," GPS 5; ACCURACY 2. NOT PAIRED. PULLED NET THROUGH TULE (CALIFORNICUS)","true","Mudsucker","AC;ED;GP;KS","Nurse-Denverton","01/19/2023","NURS-LHB-SW","1=0-33% clouds","2= wind 4-7 mph; small wavelets"," NW"," 4=flood",12,10.1,8.56,894,7.3,97.8,1.07,1.06,22.9," 1=absent",1," Inside",NA," false"," ",2023-01-19,2023,1,"2023-01-19 10:20","Winter"
