"EventID","StationCode","Datetime","SampleDate","WaterTemp","SpecificConductance","Conductivity","Turbidity","DO","pH","Secchi","WeatherCode","VegetationRank","MicrocystisRank","MethodCode","GearCode","GearConditionCode","SampleAltered"
10327,"BL3",2023-08-29 11:39:00,2023-08-29,25.4,202,203,47.3,6.83,7.65,0.21,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10326,"BL2",2023-08-29 12:26:00,2023-08-29,25.8,320,325,34.8,6.16,7.62,0.24,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10325,"BL1",2023-08-29 13:00:00,2023-08-29,26.7,415,429,32.8,6.6,7.74,0.2,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10338,"BL5",2023-09-11 09:55:00,2023-09-11,22.6,172,164,7,11.02,8.68,NA,"CLR",4,NA,"BSEIN","SEIN50","4",NA
10337,"BL4",2023-09-11 10:25:00,2023-09-11,23.3,233,225,23.2,7.13,7.69,0.28,"CLR",3,NA,"BSEIN","SEIN50","2",NA
10336,"BL3",2023-09-11 11:23:00,2023-09-11,24.1,461,453,20.1,7.23,7.84,0.34,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10335,"BL2",2023-09-11 12:10:00,2023-09-11,23.8,604,590,30.6,6.22,7.8,0.24,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10331,"AL1",2023-09-12 08:30:00,2023-09-12,22.4,684,650,16.3,2.58,7.46,0.28,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10332,"AL3",2023-09-12 09:00:00,2023-09-12,22.5,666,634,7,1.74,7.41,0.87,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10333,"AL4",2023-09-12 09:30:00,2023-09-12,22.8,652,625,14.3,2.63,7.48,0.47,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10334,"BL1",2023-09-12 10:07:00,2023-09-12,23.7,597,582,27.1,6.04,7.72,0.27,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10339,"AL1",2023-09-25 08:43:00,2023-09-25,19.7,762,688,18.7,3.66,7.58,0.36,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10340,"AL3",2023-09-25 09:14:00,2023-09-25,20.1,770,697,14.5,2.44,7.51,0.41,"CLR",3,NA,"BSEIN","SEIN50","",NA
10341,"AL4",2023-09-25 09:45:00,2023-09-25,20.4,754,688,11.6,3.24,7.55,0.43,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10345,"BL4",2023-09-25 10:48:00,2023-09-25,20.7,610,561,21.2,8.8,8.09,0.44,"CLR",3,NA,"BSEIN","SEIN50","2",NA
10344,"BL3",2023-09-25 11:38:00,2023-09-25,20.9,711,656,23,7.72,7.97,0.34,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10343,"BL2",2023-09-25 12:30:00,2023-09-25,21.2,649,602,27.1,6.65,7.8,0.27,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10342,"BL1",2023-09-25 13:25:00,2023-09-25,21.9,717,676,20.1,5.62,7.65,0.41,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10346,"BL5",2023-09-26 09:16:00,2023-09-26,19.7,186,167,8.2,8.96,8.09,0.76,"CLR",4,NA,"BSEIN","SEIN50","4",NA
10347,"PCS",2023-10-02 09:07:00,2023-10-02,19.6,694,623,39,6.99,7.83,0.18,"CLR",2,NA,"FKTR","FKTR","1",NA
10348,"PCS",2023-10-03 12:42:00,2023-10-03,22.2,659,624,30.7,8,8.07,0.21,"CLR",2,NA,"FKTR","FKTR","",NA
10349,"PCS",2023-10-04 09:02:00,2023-10-04,20.1,610,553,28.2,7.04,7.97,0.25,"CLR",2,NA,"FKTR","FKTR","1",NA
10350,"PCS",2023-10-05 08:44:00,2023-10-05,20.6,469,429,34.1,7.09,7.92,0.24,"CLR",2,NA,"FKTR","FKTR","1",NA
10352,"PCS",2023-10-06 08:55:00,2023-10-06,21,323,298,35.3,7.22,7.85,0.25,"CLR",2,NA,"FKTR","FKTR","1",NA
10353,"PCS",2023-10-09 09:22:00,2023-10-09,20.7,220,201,41.7,7.56,7.74,0.18,"CLD",2,NA,"FKTR","FKTR","1",NA
10356,"AL1",2023-10-10 06:55:00,2023-10-10,19.9,379,342,25.2,3.26,7.39,0.3,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10359,"BL1",2023-10-10 07:33:00,2023-10-10,19.8,224,202,33.7,7.03,7.67,0.22,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10354,"PCS",2023-10-10 07:58:00,2023-10-10,19.8,225,203,35.4,7.1,7.69,0.23,"CLR",2,NA,"FKTR","FKTR","1",NA
10362,"BL4",2023-10-10 09:30:00,2023-10-10,20.1,184,166,42,7.67,7.65,0.32,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10361,"BL3",2023-10-10 10:05:00,2023-10-10,20.4,202,185,30,7.72,7.73,0.25,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10360,"BL2",2023-10-10 10:42:00,2023-10-10,20.4,216,197,37.2,7.5,7.68,0.27,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10358,"AL4",2023-10-10 11:40:00,2023-10-10,20.4,225,206,43.7,6.93,7.63,0.17,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10357,"AL3",2023-10-10 12:27:00,2023-10-10,20.8,244,224,43.8,6.05,7.53,0.15,"CLD",3,NA,"BSEIN","SEIN50","1",NA
10355,"PCS",2023-10-11 09:04:00,2023-10-11,19.7,226,203,34.3,7.21,7.69,0.27,"CLR",2,NA,"FKTR","FKTR","1",NA
10363,"PCS",2023-10-16 09:51:00,2023-10-16,19.6,218,195,41.3,7.48,7.7,0.15,"CLR",2,NA,"FKTR","FKTR","1",NA
10364,"PCS",2023-10-17 07:24:00,2023-10-17,18.5,207,181,34.9,7.25,7.18,0.27,"CLR",2,NA,"FKTR","FKTR","1",NA
10365,"PCS",2023-10-18 07:55:00,2023-10-18,19.1,210,187,37.2,7.29,7.65,0.18,"CLR",2,NA,"FKTR","FKTR","1",NA
10366,"PCS",2023-10-19 09:13:00,2023-10-19,19.6,214,192,33.7,7.3,7.66,0.18,"CLR",2,NA,"FKTR","FKTR","1",NA
10367,"PCS",2023-10-20 08:37:00,2023-10-20,19.8,212,191,32.3,7.36,7.67,0.24,"CLD",2,NA,"FKTR","FKTR","",NA
10368,"PCS",2023-10-21 08:03:00,2023-10-21,19.1,214,190,34.7,7.34,7.57,0.27,"CLR",2,NA,"FKTR","FKTR","1",NA
10369,"PCS",2023-10-22 08:42:00,2023-10-22,18.9,212,188,35.9,7.49,7.63,0.27,"CLD",2,NA,"FKTR","FKTR","1",NA
10377,"PCS",2023-10-23 08:33:00,2023-10-23,18.8,214,188,28.2,7.19,7.55,0.28,"CLR",2,NA,"FKTR","FKTR","1",NA
10378,"PCS",2023-10-24 08:17:00,2023-10-24,18.6,215,189,27.8,7.36,7.45,0.34,"FOG",2,NA,"FKTR","FKTR","1",NA
10372,"AL4",2023-10-25 07:21:00,2023-10-25,17.2,270,230,26.3,5.82,7.25,0.32,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10379,"PCS",2023-10-25 07:48:00,2023-10-25,17.7,222,191,32.1,7.58,7.5,0.3,"CLD",2,NA,"FKTR","FKTR","1",NA
10373,"BL1",2023-10-25 08:57:00,2023-10-25,17.6,219,188,60.6,7.94,7.71,0.21,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10376,"BL4",2023-10-25 09:53:00,2023-10-25,18.1,181,157,8.2,7.91,7.59,0.66,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10375,"BL3",2023-10-25 10:40:00,2023-10-25,18.3,202,176,22.4,8.64,7.84,0.44,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10374,"BL2",2023-10-25 11:10:00,2023-10-25,18.3,223,195,25,7.99,7.76,0.34,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10371,"AL3",2023-10-25 11:52:00,2023-10-25,16.3,379,316,14.3,6.09,7.56,0.54,"CLD",3,NA,"BSEIN","SEIN50","1",NA
10370,"AL1",2023-10-25 12:25:00,2023-10-25,16.8,356,300,19.8,5.32,7.46,0.34,"CLD",3,NA,"BSEIN","SEIN50","1",NA
10380,"PCS",2023-10-26 08:03:00,2023-10-26,16.6,223,187,29.2,7.77,7.41,0.24,"CLR",2,NA,"FKTR","FKTR","1",NA
10381,"PCS",2023-10-27 08:50:00,2023-10-27,16.3,234,195,27.4,7.57,7.62,0.31,"CLR",2,NA,"FKTR","FKTR","1",NA
10382,"PCS",2023-10-30 11:21:00,2023-10-30,15.5,267,219,26.7,8.25,7.74,0.29,"CLR",2,NA,"FKTR","FKTR","1",NA
10384,"PCS",2023-10-31 13:43:00,2023-10-31,15.7,267,216,43.5,8.35,7.75,0.24,"CLR",2,NA,"FKTR","FKTR","1",NA
10383,"PCS",2023-11-01 08:34:00,2023-11-01,14.1,265,210,22.9,7.92,7.68,0.31,"CLD",2,NA,"FKTR","FKTR","1",NA
10385,"PCS",2023-11-02 09:34:00,2023-11-02,14.5,261,208,20.2,8.07,7.71,0.35,"CLR",2,NA,"FKTR","FKTR","1",NA
10386,"PCS",2023-11-03 08:31:00,2023-11-03,14.6,262,210,23.8,7.96,7.69,0.3,"CLR",1,NA,"FKTR","FKTR","1",NA
10393,"BL4",2023-11-06 09:58:00,2023-11-06,16.1,191,158,7.2,9.24,7.61,NA,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10392,"BL3",2023-11-06 10:38:00,2023-11-06,16.4,223,186,11.2,9.68,7.98,0.79,"RAN",2,NA,"BSEIN","SEIN50","1",NA
10391,"BL2",2023-11-06 11:20:00,2023-11-06,15.9,248,205,9.9,9.29,7.9,NA,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10390,"BL1",2023-11-06 11:49:00,2023-11-06,16.3,267,223,31,8.26,7.74,0.17,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10395,"PCS",2023-11-06 12:32:00,2023-11-06,16.9,267,226,42.5,8.36,7.79,0.21,"CLD",2,NA,"FKTR","FKTR","1",NA
10389,"AL4",2023-11-06 13:07:00,2023-11-06,16.6,263,221,24.7,7.49,7.6,0.34,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10388,"AL3",2023-11-06 13:46:00,2023-11-06,16.9,299,253,32.9,6.26,7.43,0.34,"CLD",3,NA,"BSEIN","SEIN50","1",NA
10387,"AL1",2023-11-06 14:17:00,2023-11-06,16.3,344,287,21.4,5.52,7.37,0.32,"CLD",3,NA,"BSEIN","SEIN50","",NA
10396,"PCS",2023-11-07 11:53:00,2023-11-07,16.4,265,221,23,8.06,7.75,0.33,"CLR",2,NA,"FKTR","FKTR","1",NA
10397,"PCS",2023-11-08 09:39:00,2023-11-08,14.7,269,217,34.2,8.21,7.65,0.34,"CLR",2,NA,"FKTR","FKTR","1",NA
10398,"PCS",2023-11-09 13:46:00,2023-11-09,15.8,282,232,14.6,8.84,7.9,0.53,"CLD",2,NA,"FKTR","FKTR","1",NA
10399,"PCS",2023-11-13 12:00:00,2023-11-13,15.6,303,248,13.9,8.94,7.91,0.48,"CLD",2,NA,"FKTR","FKTR","1",NA
10400,"PCS",2023-11-14 09:39:00,2023-11-14,14.4,288,229,18.7,7.99,7.65,0.34,"CLD",2,NA,"FKTR","FKTR","1",NA
10401,"PCS",2023-11-15 10:32:00,2023-11-15,14,289,228,21.4,7.96,7.64,0.43,"CLD",2,NA,"FKTR","FKTR","1",NA
10402,"PCS",2023-11-16 09:53:00,2023-11-16,14.1,277,219,26.6,7.85,7.6,0.28,"CLR",2,NA,"FKTR","FKTR","1",NA
10409,"BL4",2023-11-20 09:41:00,2023-11-20,13.1,195,150,8.7,9.15,7.56,NA,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10408,"BL3",2023-11-20 10:29:00,2023-11-20,13.3,217,168,10.3,9.27,7.63,0.79,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10407,"BL2",2023-11-20 10:56:00,2023-11-20,13.4,245,190,14.7,8.98,7.65,0.53,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10406,"BL1",2023-11-20 11:26:00,2023-11-20,13.1,251,194,27.2,9.26,7.73,0.34,"CLR",2,NA,"BSEIN","SEIN50","",NA
10410,"PCS",2023-11-20 11:49:00,2023-11-20,13.1,250,193,21.6,9.07,7.69,0.42,"CLR",2,NA,"FKTR","FKTR","1",NA
10405,"AL4",2023-11-20 12:28:00,2023-11-20,13.7,267,210,20.1,8.43,7.58,0.39,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10404,"AL3",2023-11-20 13:11:00,2023-11-20,14.1,317,251,17.5,7.33,7.42,0.49,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10403,"AL1",2023-11-20 13:41:00,2023-11-20,14.5,513,642,20,6,7.44,0.37,"CLR",3,NA,"BSEIN","SEIN50","1",NA
10411,"PCS",2023-11-21 10:51:00,2023-11-21,12.9,268,206,23.3,8.48,7.62,0.33,"CLR",2,NA,"FKTR","FKTR","1",NA
10412,"PCS",2023-11-22 08:45:00,2023-11-22,11.6,334,248,18.4,8.08,7.61,0.44,"CLD",2,NA,"FKTR","FKTR","1",NA
10413,"PCS",2023-11-27 11:40:00,2023-11-27,10.6,340,246,17.3,9.3,7.69,0.44,"CLR",2,NA,"FKTR","FKTR","1",NA
10414,"PCS",2023-11-28 09:57:00,2023-11-28,9.6,353,249,14.2,9.34,7.53,0.49,"CLR",2,NA,"FKTR","FKTR","1",NA
10415,"PCS",2023-11-29 10:29:00,2023-11-29,10,364,259,12.8,9.3,7.74,0.57,"CLR",2,NA,"FKTR","FKTR","1",NA
10416,"PCS",2023-11-30 09:55:00,2023-11-30,9.9,372,265,16.5,9.25,7.7,0.49,"CLR",2,NA,"FKTR","FKTR","1",NA
10417,"PCS",2023-12-01 09:36:00,2023-12-01,9.9,370,263,15.7,9.24,7.69,0.42,"CLD",2,NA,"FKTR","FKTR","1",NA
10419,"AL1",2023-12-04 10:17:00,2023-12-04,11.9,604,453,14.8,4.44,7.29,0.81,"FOG",3,NA,"BSEIN","SEIN50","1",NA
10420,"AL3",2023-12-04 10:51:00,2023-12-04,11.2,623,458,12.9,4.69,7.29,0.86,"FOG",3,NA,"BSEIN","SEIN50","1",NA
10421,"AL4",2023-12-04 11:20:00,2023-12-04,11.2,420,310,23.4,6.35,7.33,0.48,"FOG",2,NA,"BSEIN","SEIN50","1",NA
10422,"BL1",2023-12-04 12:04:00,2023-12-04,12,350,263,22.9,8.62,7.51,0.34,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10427,"PCS",2023-12-04 12:27:00,2023-12-04,12.7,352,270,21.5,8.83,7.56,0.34,"CLR",2,NA,"FKTR","FKTR","1",NA
10425,"BL4",2023-12-04 14:27:00,2023-12-04,12,214,161,9.3,10.49,7.88,NA,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10428,"PCS",2023-12-05 12:02:00,2023-12-05,12.6,353,269,20,7.18,7.38,0.4,"CLR",2,NA,"FKTR","FKTR","1",NA
10429,"PCS",2023-12-06 10:26:00,2023-12-06,11.2,422,310,30.8,6.75,7.28,0.31,"CLD",2,NA,"FKTR","FKTR","1",NA
10430,"PCS",2023-12-07 09:50:00,2023-12-07,10.9,511,373,15.9,6.29,7.42,0.54,"CLD",2,NA,"FKTR","FKTR","1",NA
10424,"BL3",2023-12-08 09:59:00,2023-12-08,10.8,512,373,6.2,8.44,7.6,0.75,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10423,"BL2",2023-12-08 10:24:00,2023-12-08,10.6,485,351,18.6,7.71,7.49,0.35,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10431,"PCS",2023-12-08 10:57:00,2023-12-08,10.7,572,416,11.4,6.06,7.26,0.53,"CLR",2,NA,"FKTR","FKTR","1",NA
10432,"PCS",2023-12-11 12:41:00,2023-12-11,10.7,574,416,24.6,5.92,7.5,0.31,"CLR",2,NA,"FKTR","FKTR","1",NA
10433,"PCS",2023-12-12 09:38:00,2023-12-12,9.6,585,412,18.9,6.33,7.35,0.43,"CLR",2,NA,"FKTR","FKTR","1",NA
10434,"PCS",2023-12-13 09:29:00,2023-12-13,9.4,585,411,17.8,5.85,7.33,0.42,"CLR",2,NA,"FKTR","FKTR","1",NA
10435,"PCS",2023-12-14 09:41:00,2023-12-14,9.1,583,406,13.1,6.13,7.35,0.67,"CLD",2,NA,"FKTR","FKTR","1",NA
10436,"PCS",2023-12-15 09:54:00,2023-12-15,8.6,578,397,12.3,6.46,7.38,0.73,"CLD",2,NA,"FKTR","FKTR","1",NA
10445,"BL1",2023-12-18 10:17:00,2023-12-18,9.1,582,405,12.8,7.03,7.37,0.6,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10437,"PCS",2023-12-18 10:33:00,2023-12-18,9.2,580,404,13.2,7.13,7.51,0.52,"CLD",2,NA,"FKTR","FKTR","1",NA
10444,"AL4",2023-12-18 11:06:00,2023-12-18,9.2,575,401,14.8,5.71,7.48,0.54,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10443,"AL3",2023-12-18 11:30:00,2023-12-18,9.2,577,403,13.9,5.3,7.45,0.61,"CLD",2,NA,"BSEIN","SEIN50","1",NA
10442,"AL1",2023-12-18 12:03:00,2023-12-18,9.3,584,409,14.6,5.45,7.45,0.46,"CLD",3,NA,"BSEIN","SEIN50","1",NA
10438,"PCS",2023-12-19 12:56:00,2023-12-19,10.5,566,409,21.7,7.2,7.5,0.43,"CLD",2,NA,"FKTR","FKTR","1",NA
10439,"PCS",2023-12-20 09:57:00,2023-12-20,10.9,554,406,18.4,7.09,7.48,0.42,"RAN",2,NA,"FKTR","FKTR","1",NA
10440,"PCS",2023-12-21 09:25:00,2023-12-21,11.5,498,370,14.7,4.98,7.37,0.4,"CLR",3,NA,"FKTR","FKTR","1",NA
10448,"BL4",2023-12-22 09:31:00,2023-12-22,10.9,610,446,14.5,6.56,7.39,0.58,"CLR",2,NA,"BSEIN","SEIN50","2",NA
10447,"BL3",2023-12-22 10:03:00,2023-12-22,11.1,591,434,18.3,5.95,7.51,0.45,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10446,"BL2",2023-12-22 10:42:00,2023-12-22,11.7,540,403,24,5.23,7.47,0.37,"CLR",2,NA,"BSEIN","SEIN50","1",NA
10441,"PCS",2023-12-22 11:17:00,2023-12-22,12.1,546,411,17.8,4.7,7.42,0.4,"CLR",2,NA,"FKTR","FKTR","1",NA
10449,"PCS",2023-12-26 11:28:00,2023-12-26,11.4,476,352,16.9,5.29,7.35,0.55,"CLD",2,NA,"FKTR","FKTR","1",NA
10450,"PCS",2023-12-27 13:25:00,2023-12-27,11.2,498,367,22.9,4.73,7.41,0.4,"CLD",2,NA,"FKTR","FKTR","1",NA
10451,"PCS",2023-12-28 08:33:00,2023-12-28,11,512,375,20.2,4.89,7.39,0.37,"CLR",2,NA,"FKTR","FKTR","1",NA
10452,"PCS",2023-12-29 10:01:00,2023-12-29,11.4,509,376,18.3,4.9,7.24,0.38,"CLD",2,NA,"FKTR","FKTR","1",NA
