EventID,StationCode,Datetime,SampleDate,WaterTemp,SpecificConductance,Conductivity,Turbidity,DO,pH,Secchi,Tide,WeatherCode,VegetationRank,SubstrateCode,HabitatType,MicrocystisRank,MethodCode,GearCode,GearConditionCode,SampleAltered,FieldComments,Flag_WQ,Comment_WQ,Duplicated
2090,YB,2/20/1998 12:32,2/20/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLD,NA,NA,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2091,YB,2/20/1998 14:04,2/20/1998,9.44,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2093,YB,2/23/1998 14:00,2/23/1998,10,NA,NA,NA,NA,NA,NA,NA,RAN,NA,PAV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1133,SB1,2/24/1998 10:06,2/24/1998,9.44,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2096,YB,2/24/1998 14:45,2/24/1998,11.67,NA,NA,NA,NA,NA,NA,NA,CLR,NA,PAV,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
109,FW1,2/25/1998 12:24,2/25/1998,10,NA,NA,NA,NA,NA,NA,NA,CLD,NA,GRV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
46,AL1,2/25/1998 13:26,2/25/1998,10.56,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,RIP,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1134,SB1,2/25/1998 14:14,2/25/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLD,NA,SND,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
47,AL1,3/2/1998 11:25,3/2/1998,15.56,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2098,YB,3/3/1998 11:40,3/3/1998,13.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,GRV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1192,BL4,3/3/1998 11:45,3/3/1998,13.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,AVG,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1193,BL4,3/3/1998 11:48,3/3/1998,13.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,AVG,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
323,LIS,3/3/1998 12:55,3/3/1998,13.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
324,BL1,3/3/1998 13:05,3/3/1998,13.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,NA,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
48,AL1,3/3/1998 13:50,3/3/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2106,YB,3/4/1998 13:48,3/4/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,PAV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2107,YB,3/4/1998 14:50,3/4/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2108,YB,3/5/1998 11:00,3/5/1998,11.11,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2109,YB,3/5/1998 11:35,3/5/1998,11.11,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
325,AL1,3/5/1998 11:50,3/5/1998,11.11,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
326,LIS,3/5/1998 13:06,3/5/1998,11.67,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1135,SB1,3/6/1998 12:10,3/6/1998,10.56,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1194,BL4,3/6/1998 13:30,3/6/1998,11.67,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
49,AL1,3/9/1998 9:25,3/9/1998,10,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1136,SB1,3/9/1998 10:35,3/9/1998,11.11,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1137,SB1,3/9/1998 11:45,3/9/1998,12.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2110,YB,3/9/1998 13:28,3/9/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2111,YB,3/9/1998 13:40,3/9/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
328,LIS,3/10/1998 13:00,3/10/1998,15,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
110,FW1,3/13/1998 10:00,3/13/1998,15,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
111,FW1,3/13/1998 10:10,3/13/1998,15,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
112,FW1,3/13/1998 10:15,3/13/1998,15,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
113,FW1,3/13/1998 10:37,3/13/1998,15,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
114,FW1,3/13/1998 10:52,3/13/1998,15,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
115,FW1,3/13/1998 11:10,3/13/1998,15,NA,NA,NA,NA,NA,NA,NA,RAN,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
116,FW1,3/13/1998 11:25,3/13/1998,15,NA,NA,NA,NA,NA,NA,NA,RAN,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
117,FW1,3/13/1998 12:41,3/13/1998,12.78,NA,NA,NA,NA,NA,NA,NA,RAN,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
118,FW1,3/13/1998 13:15,3/13/1998,12.78,NA,NA,NA,NA,NA,NA,NA,CLD,NA,PAV,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1138,SB1,3/16/1998 11:30,3/16/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEINCOVE,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1139,SB1,3/16/1998 11:35,3/16/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEINCOVE,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1140,SB1,3/16/1998 11:45,3/16/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINCOVE,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1141,SB1,3/16/1998 13:45,3/16/1998,22.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1142,SB1,3/16/1998 13:55,3/16/1998,22.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1143,SB1,3/16/1998 14:05,3/16/1998,22.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1144,SB1,3/16/1998 14:50,3/16/1998,NA,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
119,FW1,3/17/1998 10:25,3/17/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
120,FW1,3/17/1998 10:40,3/17/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
121,FW1,3/17/1998 10:55,3/17/1998,15,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
122,FW1,3/17/1998 11:10,3/17/1998,15.56,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINCOVE,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
123,FW1,3/17/1998 12:25,3/17/1998,NA,NA,NA,NA,NA,NA,NA,NA,CLR,NA,AVG,NA,NA,BSEIN,SEINCOVE,2,NA,,"NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
124,FW1,3/17/1998 12:35,3/17/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLR,NA,AVG,NA,NA,BSEIN,SEINENCL,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
125,FW1,3/17/1998 12:40,3/17/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLR,NA,AVG,NA,NA,BSEIN,SEINENCL,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
126,FW1,3/17/1998 12:45,3/17/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLR,NA,AVG,NA,NA,BSEIN,SEINENCL,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
127,FW1,3/17/1998 13:05,3/17/1998,16.11,NA,NA,NA,NA,NA,NA,NA,CLR,NA,AVG,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2114,YB,3/18/1998 13:50,3/18/1998,18.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2115,YB,3/18/1998 14:30,3/18/1998,19.44,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
50,AL1,3/19/1998 10:15,3/19/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NV,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
51,AL1,3/19/1998 10:25,3/19/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NV,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
52,AL1,3/19/1998 11:15,3/19/1998,15.56,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
53,AL1,3/19/1998 11:20,3/19/1998,15.56,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
54,AL1,3/19/1998 11:30,3/19/1998,15.56,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
55,AL1,3/19/1998 11:40,3/19/1998,18.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1195,BL4,3/19/1998 12:25,3/19/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
56,AL1,3/19/1998 12:55,3/19/1998,17.78,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
57,AL1,3/19/1998 13:05,3/19/1998,17.78,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
58,AL1,3/19/1998 13:16,3/19/1998,17.78,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
59,AL1,3/19/1998 13:30,3/19/1998,17.78,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
329,BL2,3/19/1998 13:35,3/19/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
330,LIS,3/19/1998 14:06,3/19/1998,20,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
2118,YB,3/20/1998 10:03,3/20/1998,15.56,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2119,YB,3/20/1998 10:18,3/20/1998,15.56,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2120,YB,3/20/1998 11:06,3/20/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2121,YB,3/20/1998 11:15,3/20/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEINENCL,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
2122,YB,3/20/1998 11:35,3/20/1998,18.89,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1145,SB1,3/20/1998 13:00,3/20/1998,18.33,NA,NA,NA,NA,NA,0.6,NA,CLR,NA,PAV,NA,NA,BSEIN,SEINCOVE,2,NA,,"1,NA,NA,NA,NA,NA,3","NA,NA,NA,NA,NA,NA,Secchi",not duplicated
1146,SB1,3/20/1998 14:10,3/20/1998,18.33,NA,NA,NA,NA,NA,NA,NA,CLR,NA,PAV,NA,NA,BSEIN,SEINCOVE,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1196,BL4,3/23/1998 10:38,3/23/1998,16.67,NA,NA,NA,NA,NA,NA,NA,CLD,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
1197,BL4,3/23/1998 11:11,3/23/1998,17.78,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1198,BL4,3/23/1998 11:24,3/23/1998,17.78,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1199,BL4,3/23/1998 11:45,3/23/1998,17.78,NA,NA,NA,NA,NA,NA,NA,RAN,NA,AVG,NA,NA,BSEIN,SEIN50,2,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
1200,BL4,3/23/1998 12:10,3/23/1998,NA,NA,NA,NA,NA,NA,NA,NA,RAN,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
128,FW1,3/24/1998 10:30,3/24/1998,17.78,NA,NA,NA,NA,NA,NA,NA,CLR,NA,GRV,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",not duplicated
60,AL1,3/24/1998 11:15,3/24/1998,17.22,NA,NA,NA,NA,NA,NA,NA,CLR,NA,MUD,NA,NA,BSEIN,SEIN50,1,NA,,"1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA",duplicated
