SampleID_key,SampleID_frp,VisitNo,QAQC,GearType,GearTypeAbbreviation,Habitat,SeineCode,TowDirection,HabitatMorphology,DepthOfWater,CableOut,LengthOfTrawl,Width,Netter,StartTime,EndTime,Duration,PercentOpen,DepthOfSample,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,NetMeterSerial,NetMeterStart,NetMeterEnd,Volts,DutyCycle,Amps,PulseRate,VolumeEstimated,SeineDeploymentType,GearDetail,Silt,Sand,Gravel,Cobble,Boulder,Organics,MassOfStandardLow,MassOfStandardHigh,QuestionableData,VegetationInSample,FlowType,DragMethod,NetNumber,CodEnd,CodEndPercent,GpsUnit,GpsAccuracy,DepthSource,Comments
11,150um-3-24Mar2016,1205,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,09:10,09:40, 5, , , 38.24501, 121.66361, , , 27304,117179,119682,,,, ,1.1, , , , , , , , , , , false, false, ,,, , , , , , tows were sequential; 5-minutes each;
12,150um-3-25Mar2016,1211,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,09:11,09:38, 5, , , 38.08419, 121.72389, , , 27304,146389,149205,,,, ,1.3, , , , , , , , , , , false, false, ,,, , , , , , Sequentail 5-minute tows; water flowing off island.
13,150um-4-24Mar2016,1206,false,Trawl,ZOOP,, , 3= unknown, , 2,,, ,,10:03,10:30, 5, , , 38.24501, 121.66361, , , 27304,119682,125062,,,, ,2.4, , , , , , , , , , , false, false, ,,, , , , , , Also took500ml chlorophyll sample; Bryte ID: EM0316B0011; sampled water flowing off island from breach; sequential 5-minute tows.
14,150um-4-25Mar2016,1212,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,10:09,10:35, 5, , , 38.08419, 121.72389, , , 27304,149205,149755,,,, ,0.2, , , , , , , , , , , false, false, ,,, , , , , , sequential 5-minute tows
15,150um-5-24Mar2016,1207,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,11:00,11:13, 5, , , 38.24501, 121.66361, , , 27304,125062,132625,,,, ,3.4, , , , , , , , , , , false, false, ,,, , , , , , Mysid net 25% out of water; sequential 5-minute tows
16,150um-5-25Mar2016,1213,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,11:01,11:09, 5, , , 38.08419, 121.723885, , , 27304,149755,154663,,,, ,2.2, , , , , , , , , , , false, false, ,,, , , , , , sequential 5-minute tows
17,5/19/2014_1400859429,1704,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,09:10,, , , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , , , Counter broken; 40+ carp not netted at culvert. Prop fell off- unable to continue e-fishing
18,5/21/2014_295654578,1644,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,,11:10, , , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , , , Counter broken
19,5/21/2014_510217919,1652,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,,12:20, , , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , , , Counter broken
20,5/21/2014_-516061542,1057,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,09:15,10:00, , , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , , , Counter broken; Contined shocking rest of Site A. Approx 8" lamprey at culvert- fell through net
21,500um-1-24Mar2016,1203,false,Trawl,MAC,, , 3= unknown, , 2,,, ,,07:28,07:33, 5, , , 38.24501, 121.66361, , , 26639,996907,998318,,,, ,6.1, , , , , , , , , , , false, false, ,,, , , , , , Mysid net was 25% out of the water; tows were taken sequentially; 5-minutes each. Used flow coming onto the island from side channel.
22,500um-1-25Mar2016,1209,false,Trawl,MAC,, , 3= unknown, , ,,, ,,07:17,07:48, 5, , , 38.08419, 121.72389, , , 26639,4758,4834,,,, ,0.3, , , , , , , , , , , false, false, ,,, , , , , , Sequential 5-minute tows
23,500um-2-24Mar2016,1204,false,Trawl,MAC,, , 3= unknown, , ,,, ,,08:35,08:40, 5, , , 38.24501, 121.66361, , , 26639,998318,998329,,,, ,0, , , , , , , , , , , false, false, ,,, , , , , , No Zooplankton sample. Flowmeter may not have been working right. Current was flowing onto the island
24,500um-2-25Mar2016,1210,false,Trawl,MAC,, , 3= unknown, , ,,, ,,08:14,08:40, 5, , , 38.08419, 121.72389, , , 26639,4834,6381,,,, ,6.7, , , , , , , , , , , false, false, ,,, , , , , , Sequential 5-minute tows; water flowing off the island
25,500um-3-24Mar2016,1205,false,Trawl,MAC,, , 3= unknown, , ,,, ,,09:10,09:40, 5, , , 38.24501, 121.66361, , , 26639,998329,998794,,,, ,2, , , , , , , , , , , false, false, ,,, , , , , , tows were sequential; 5-minutes each;
26,500um-3-25Mar2016,1211,false,Trawl,MAC,, , 3= unknown, , ,,, ,,09:11,09:38, 5, , , 38.08419, 121.72389, , , 26639,6381,6538,,,, ,0.7, , , , , , , , , , , false, false, ,,, , , , , , Sequentail 5-minute tows; water flowing off island.
27,500um-4-24Mar2016,1206,false,Trawl,MAC,, , 3= unknown, , 2,,, ,,10:03,10:30, 5, , , 38.24501, 121.66361, , , 26639,998794,797,,,, ,8.6, , , , , , , , , , , false, false, ,,, , , , , , Also took500ml chlorophyll sample; Bryte ID: EM0316B0011; sampled water flowing off island from breach; sequential 5-minute tows.
28,500um-4-25Mar2016,1212,false,Trawl,MAC,, , 3= unknown, , ,,, ,,10:09,10:35, 5, , , 38.08419, 121.72389, , , 26639,6538,6619,,,, ,0.3, , , , , , , , , , , false, false, ,,, , , , , , sequential 5-minute tows
29,500um-5-24Mar2016,1207,false,Trawl,MAC,, , 3= unknown, , ,,, ,,11:00,11:13, 5, , , 38.24501, 121.66361, , , 26639,797,4175,,,, ,14.5, , , , , , , , , , , false, false, ,,, , , , , , Mysid net 25% out of water; sequential 5-minute tows
30,500um-5-25Mar2016,1213,false,Trawl,MAC,, , 3= unknown, , ,,, ,,11:01,11:09, 5, , , 38.08419, 121.723885, , , 26639,6619,6989,,,, ,1.6, , , , , , , , , , , false, false, ,,, , , , , , sequential 5-minute tows
31,500um-6-24Mar2016,1208,false,Trawl,MAC,, , 3= unknown, , ,,, ,,11:57,12:13, 5, , , 38.24501, 121.66361, , , 26639,4175,4735,,,, ,2.4, , , , , , , , , , , false, false, ,,, , , , , , 
32,7/17/2013_1374161942,1699,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,10:52,11:15, 408, , , , , , , ,,,,,, ,, , , , , , , , , , , false, false, ,,, , , , , , E-boat test. Carp not netted
33,7/17/2013_1377627224,1700,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,13:20,14:09, 1209, , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , , , 
34,8/2/2017_1501772521,1708,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,07:48,08:19, 681, , , , , , , ,,,,,12, 60,, , , , , , , , , , , false, false, ,,, , , , , , DO=3.03-2.96; Cond.=696; pH=6.93
35,8/2/2017_-1613579973,1026,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,09:25,09:56, 1076, , , , , , , ,,,,,12, 60,, , , , , , , , , , , false, false, ,,, , , , , , 
36,8/2/2017_-1652416705,1024,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,08:30,09:07, 1073, , , , , , , ,,,,,10, 60,, , , , , , , , , , , false, false, ,,, , , , , , DO=3.17; Cond.=713; pH=7.68
37,8/2/2017_-1945711135,1007,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,10:18,10:58, 1109, , , , , , , ,,,,,12, 60,, , , , , , , , , , , false, false, ,,, , , , , , DO=2.61; Cond.=720; pH=7.72
38,8/28/2013_1377792624,1701,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,09:25,, 1411, , , , , , , ,,,,,6, 60,, , , , , , , , , , , false, false, ,,, , , , , , 
39,8/28/2013_-510594890,1058,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,10:50,11:39, 1607, , , , , , , ,,,,,, ,, , , , , , , , , , , false, false, ,,, , , , , , 
40,8/28/2013_833781949,1680,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,12:55,, 1343, , , , , , , ,,,,,14, 60,, , , , , , , , , , , false, false, ,,, , , , , , 
41,BACELE1-20sep2016,1357,false,efish,EFISH,3 = Littoral SAV/FAV, , 3= unknown, , ,,198, ,KG;RK,13:30,14:15, 1207, , , 38.25915, 121.79259, 38.25888, 121.79044, ,,,200,30,2, 45,, , , , , , , , , , , false, false, ,,, , , , , , Also caught one bullfrog 155mm and 1 crayfish. 1 Shimofuri Goby tossed before measurement.
42,BEASEI1-04may2017,1460,false,Seine,BEASEI,, 3. Complete twist; snag; or large tear, 3= unknown, , 3.6,,3, 9,,10:20,, , , , 38.14095, 122.01298, , , ,,,,,, ,13.2, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Rip-Rap shore -  multiple snags prevented good beach seine
43,BEASEI1-06aug2018,2027,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,12, 9.2,,09:30,, , , , 38.10384, 121.71053, 0, 0, ,,,,,, ,49.7, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
44,BEASEI1-07aug2017,1612,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,13, 15,,08:10,, , , , 38.10381, 121.71055, , , ,,,,,, ,87.7, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Lots of amphipods caught. YSI 6600 readings - Chl a: 3.2; Turbidity: 34.6
45,BEASEI1-08nov2018,2139,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,10, 15,,08:15,, , , , 38.23381, 121.67006, , , 0,0,0,,,, ,60, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
46,BEASEI1-08oct2018,2089,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,13, 15,,08:20,, , , , 38.10374, 121.7107, 0, 0, ,,,,,, ,78, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
47,BEASEI1-10oct2017,1750,false,Seine,BEASEI,, 2. Partial twist; snag; or tear, 3= unknown, , 3.3,,15, 15,,08:50,, , , , 38.1032, 121.71117, , , ,,,,,, ,101.3, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Net snagged
48,BEASEI1-11jun2018,1968,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,13, 10,,08:28,, , , , 38.10373, 121.71075, , , ,,,,,, ,52, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
49,BEASEI1-11sep2018,2067,false,Seine,BEASEI,, 2. Partial twist; snag; or tear, 3= unknown, , 1.6,,13, 15,,09:15,, , , , 38.10361, 121.71071, 0, 0, ,,,,,, ,42.3, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
50,BEASEI1-12dec2017,1775,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.3,,10, 15,,12:10,, , , , 38.23385, 121.67017, , , ,,,,,, ,75, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
51,BEASEI1-12jun2018,1969,false,Seine,BEASEI,, 2. Partial twist; snag; or tear, 3= unknown, , 1.6,,3, 9,,10:40,, , , , 38.23377, 121.67009, , , ,,,,,, ,6.8, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
52,BEASEI1-12sep2018,2070,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,7, 15,,08:22,, , , , 38.23387, 121.67018, 0, 0, ,,,,,, ,47.3, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
53,BEASEI1-13dec2018,2147,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,9.7, 15,,10:30,, , , , 38.23385, 121.67012, , , 0,0,0,,,, ,65.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
54,BEASEI1-13jun2017,1537,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 1,,15, 15,,08:00,, , , , 38.10381, 121.71053, , , ,,,,,, ,109.7, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
55,BEASEI1-13nov2017,1762,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,7, 15,,09:24,, , , , 38.23381, 121.67001, , , ,,,,,, ,42, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
56,BEASEI1-13sep2017,1733,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,11.5, 10,,08:25,, , , , 38.10392, 121.71027, , , ,,,,,, ,52.6, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 1 Corbicula caught
57,BEASEI1-16nov2017,1765,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.3,,15, 15,,08:30,, , , , 38.03217, 121.47817, , , ,,,,,, ,112.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Caught a peatball and 1 crayfish
58,BEASEI1-16oct2017,1748,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 1.2,,, 5,,08:40,, , , , 38.28137, 121.64214, , , ,,,,,, ,7.4, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
59,BEASEI1-19sep2017,1739,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.6,,15, 10,,08:19,, , , , 38.03217, 121.47823, , , ,,,,,, ,82.3, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
60,BEASEI1-21aug2017,1709,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,8, 12,,08:22,, , , , 38.10381, 121.71056, , , ,,,,,, ,43.9, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , SHIGOB observed in the net; but not found in the fish bin to be measured. 1 Corbicula found in the net.
61,BEASEI123jul2018,2007,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.3,,8, 9.7,,08:35,, , , , 38.10418, 121.70986, , , ,,,,,, ,27.2, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
62,BEASEI1-24jul2017,1597,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,8, 11,,09:15,, , , , 38.10381, 121.71053, , , ,,,,,, ,34.9, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 2 Corbicula
63,BEASEI1-25may2018,1943,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.6,,15, 15,,07:15,, , , , 38.00323, 121.44983, , , ,,,,,, ,123.8, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
64,BEASEI1-26jun2017,1557,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.3,,8, 15,,08:50,, , , , 38.09689, 121.70977, , , ,,,,,, ,60.3, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , ~2 gallons of filamentous algae caught in sample. Suspect most fish mortalities due to filamentous algae
65,BEASEI1-26nar2018,1811,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,15, 15,,07:20,, , , , 37.99829, 121.44891, , , ,,,,,, ,101.2, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , CHISAL - adipose +; kept for Miranda Bell; Fall-run
66,BEASEI1-27jul2017,1608,false,Seine,BEASEI,, 1. No twists; snags; or tears, , , 3,,10, 15,,09:49,, , , , 38.23385, 121.67018, , , ,,,,,, ,67.4, Crew Members, , , , , , , , , , true, , ,,, , , , , , 
67,BEASEI1-27jun2018,1990,false,Seine,BEASEI,, 2. Partial twist; snag; or tear, 3= unknown, , 3.3,,11, 11,,08:11,, , , , 38.1038, 121.71054, , , ,,,,,, ,60.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Small snag when retrieving net.
68,BEASEI1-29jan2018,1783,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,15, 15,,08:39,, , , , 37.99733, 121.44729, , , ,,,,,, ,90, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
69,BEASEI1-5nov2018,2130,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,15, 15,,08:30,, , , , 38.10374, 121.71071, , , 0,0,0,,,, ,90, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
70,BEASEI1-7nov2017,1759,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.3,,15, 15,,08:38,, , , , 38.10362, 121.71078, , , ,,,,,, ,78.8, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 2 Corbicula caught
71,BEASEI1-8dec2017,1772,false,Seine,BEASEI,, 3. Complete twist; snag; or large tear, 3= unknown, , 2.6,,10, 15,,07:44,, , , , 38.10372, 121.71072, , , ,,,,,, ,60, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Snag required the leadline to be lifted off the ground
72,BEASEI1-9OCT2018,2097,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 1,,10, 9,,07:52,, , , , 38.23384, 121.67017, 0, 0, ,,,,,, ,45, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
73,BEASEI2-06aug2018,2028,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,8.2, 10.7,,10:11,, , , , 38.09892, 121.70943, 0, 0, ,,,,,, ,39.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
74,BEASEI2-07aug2017,1613,false,Seine,BEASEI,, 2. Partial twist; snag; or tear, 3= unknown, , 3.3,,7, 9,,08:40,, , , , 38.0992, 121.7094, , , ,,,,,, ,31.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Leadline did not touch the bottom due to weeds and tules at site. 1 Corbicula caught.
75,BEASEI2-08nov2018,1051,false,Seine,BEASEI,, 3. Complete twist; snag; or large tear, 3= unknown, , 2.6,,5.7, 8,,09:20,, , , , 38.27907, 121.6393, , , 0,0,0,,,, ,18.2, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Complete twist in cod end
76,BEASEI2-08oct2018,1632,false,Seine,BEASEI,, 2. Partial twist; snag; or tear, 3= unknown, , 1.6,,3, 9,,09:14,, , , , 38.09891, 121.70937, 0, 0, ,,,,,, ,6.8, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Partial net twist
77,BEASEI2-10dec2018,1640,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2,,15, 9.2,,10:14,, , , , 38.09868, 121.70936, , , 0,0,0,,,, ,41.4, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
78,BEASEI2-10oct2017,1751,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.3,,15, 9,,09:23,, , , , 38.09879, 121.7094, , , ,,,,,, ,60.8, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 2 Corbicula caught
79,BEASEI2-11sep2018,2068,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.3,,8, 12,,09:48,, , , , 38.09886, 121.70938, 0, 0, ,,,,,, ,33.6, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
80,BEASEI2-12dec2017,1776,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,5.5, 15,,12:46,, , , , 38.28136, 121.64211, , , ,,,,,, ,37.1, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
81,BEASEI2-12sep2018,2071,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,6, 15,,09:20,, , , , 38.27908, 121.63919, 0, 0, ,,,,,, ,40.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , BLABAS - had characteristics of Smallmouth and Spotted Bass
82,BEASEI2-13june2017,1538,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,7, 6,,08:33,, , , , 38.09879, 121.7094, , , ,,,,,, ,19.2, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Just south of a big log; north of dock on Decker Island.
83,BEASEI2-13nov2017,1763,false,Seine,BEASEI,, 3. Complete twist; snag; or large tear, 3= unknown, , 2.6,,4.5, 15,,10:17,, , , , 38.28135, 121.6423, , , ,,,,,, ,27, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Seine twist in the cod end bag
84,BEASEI2-13sep2017,1734,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.3,,9, 15,,09:09,, , , , 38.09931, 121.70944, , , ,,,,,, ,67.9, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Measured 20 extra Silversides that slipped though the mesh and into the fish tub
85,BEASEI2-16nov2017,1766,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.1,,15, 15,,08:55,, , , , 38.00949, 121.45702, , , ,,,,,, ,106.9, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
86,BEASEI2-19sep2017,1740,false,Seine,BEASEI,, 2. Partial twist; snag; or tear, 3= unknown, , 0.9,,15, 15,,09:31,, , , , 38.00804, 121.4561, , , ,,,,,, ,102.9, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
87,BEASEI2-21aug2017,1710,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,6, 14,,08:52,, , , , 38.09877, 121.70936, , , ,,,,,, ,33.2, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , ~ 5 gallons of algae and curly leaf pond weed in sample.
88,BEASEI2-23jul2018,2008,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.5,,6.2, 10,,08:52,, , , , 38.09876, 121.70918, , , ,,,,,, ,23.3, , , , , , , , , , , false, , ,,, , , , , , 
89,BEASEI2-24jul2017,1598,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2,,6, 15,,09:51,, , , , 38.09879, 121.7094, , , ,,,,,, ,26.3, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
90,BEASEI2-25may2018,1945,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.6,,15, 15,,08:23,, , , , 38.00803, 121.45605, , , ,,,,,, ,90, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
91,BEASEI2-26jun2017,1558,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,9, 15,,09:56,, , , , 38.09867, 121.70934, , , ,,,,,, ,61.7, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
92,BEASEI2-26mar2018,1812,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.3,,15, 15,,08:15,, , , , 38.00331, 121.4499, , , ,,,,,, ,112.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Amphipods collected for Miranda Bell
93,BEASEI2-27jul2017,1609,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,5.5, 15,,10:35,, , , , 38.28135, 121.64211, , , ,,,,,, ,37.1, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
94,BEASEI2-27jun2018,1991,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 2.3,,15, 7,,09:10,, , , , 38.09855, 121.70945, , , ,,,,,, ,36.8, Boat, , , , , , , , , , false, false, ,,, , , , , , 1 crayfish caught
95,BEASEI2-29jan2018,1785,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.3,,15, 15,,09:29,, , , , 38.00402, 121.45039, , , ,,,,,, ,112.5, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
96,BEASEI2-4may2017,1462,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3.9,,11, 12,,12:00,, , , , 38.13481, 121.9925, , , ,,,,,, ,39.7, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , Beach Seine Deployement Drag and Drop Method. Number of THRSTI and MOSQUI visually estimated. PRISCU brought back to lab for ID.
97,BEASEI2-5nov2018,2131,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,7, 13,,09:18,, , , , 38.0989, 121.70941, , , 0,0,0,,,, ,41, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
98,BEASEI2-7nov2017,1760,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,6.2, 14,,09:15,, , , , 38.09885, 121.7094, , , ,,,,,, ,39.1, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 
99,BEASEI2-8dec2017,1773,false,Seine,BEASEI,, 1. No twists; snags; or tears, 3= unknown, , 3,,6.5, 15,,08:22,, , , , 38.09864, 121.70947, , , ,,,,,, ,43.9, Crewmembers, , , , , , , , , , false, false, ,,, , , , , , 1 crayfish caught
