OrganismID,OrganismCode,FishCode,Code_UCDAVIS,Code_YBFM,CommonName,Category,Species,Genus,Family,Order,Class,Phylum,Native,State Status,Federal Status,Status Abrev,LifeStage,FishDiet,Legend_Clams,Legend_Fish_Color_hex,Legend_Fish,Legend_Macro,Legend_Meso,Analy,Analy2,CN
146,927,CYPSPP,MINU,,Cyprinid spp.,Fish,,unknown,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,,,,,,FALSE,Present,,Cyprinid spp.,Fish Larvae,Fish Larvae,fish,fish,Cyprinid spp.
149,928,DELSME,DS,DSM,Delta Smelt,Fish,transpacificus,Hypomesus,Osmeridae,Osmeriformes,Actinopterygii,Chordata,Native,State Endangered,Federally Threatened,"SE, FT",,FALSE,Present,,Delta Smelt,Fish Larvae,Fish Larvae,fish,fish,Delta Smelt
195,136,EXOPAL,EXOPAL,SHR,Siberian Prawn,Invertebrate,modestus,Exopalaemon,Palaemonidae,Decapoda,Malacostraca,Arthropoda,Introduced,,,,adult,TRUE,Present,,,Decapoda Adult,Decapoda,Decapoda,Decapoda,Exopalaemon
196,930,FATMIN,FHM,FHM,Fathead Minnow,Fish,promelas,Pimephales,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Fathead Minnow,Fish Larvae,Fish Larvae,fish,fish,Fathead Minnow
212,932,GOLDFI,GF,GF,Goldfish,Fish,auratus,Carassius,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Goldfish,Fish Larvae,Fish Larvae,fish,fish,Goldfish
211,931,GOLSHI,GSH,GSN,Golden Shiner,Fish,crysoleucas,Notemigonus,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Golden Shiner,Fish Larvae,Fish Larvae,fish,fish,Golden Shiner
216,933,GRESTU,GS,,Green Sturgeon,Fish,medirostris,Acipenser,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,Native,,Federally Threathened,FT,,FALSE,Present,,Green Sturgeon,Fish Larvae,Fish Larvae,fish,fish,Green Sturgeon
217,934,GRESUN,GSF,GSF,Green Sunfish,Fish,cyanellus,Lepomis,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Green Sunfish,Fish Larvae,Fish Larvae,fish,fish,Green Sunfish
224,935,HARDHE,HDHD,HH,Hardhead,Fish,conocephalus,Mylopharodon,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Native,Moderate Concern,,MC,,FALSE,Present,,Hardhead,Fish Larvae,Fish Larvae,fish,fish,Hardhead
226,936,HARMUD,HARISSMC,,Harris Mud Crab,Invertebrate,harrisii,Rhithropanopeus,,Decapoda,Malacostraca,Arthropoda,Native,,,,,FALSE,Present,,,Decapoda Adult,Decapoda,fish,fish,Harris Mud Crab
233,937,HITCH,HCH,HCH,Hitch,Fish,exilicauda,Lavinia,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Native,Moderate Concern,,MC,,FALSE,Present,,Sacramento Hitch,Fish Larvae,Fish Larvae,fish,fish,Sacramento Hitch
260,938,JACKSM,JSM,,Jacksmelt,Fish,californiensis,Atherinopsis,Atherinopsidae,Atheriniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Jacksmelt,Fish Larvae,Fish Larvae,fish,fish,Jacksmelt
262,939,JELSPP,,,Jellyfish Unid,Fish,,,,,,Cnidaria,,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Jellyfish,Jellyfish,Jellyfish Unid
1381,110217,KILSPP,,KLF,Killifish spp.,Fish,,Lucania,Cyprinodontidae,Cyprinodontiformes,Osteichthyes,Chordata,Introduced,,,,adult,,,,Killifish spp.,,,,,
271,940,LAMSPP,LPU,LAM,Lamprey spp.,Fish,,Lampetra,Petromyzontidae,Petromyzontiformes,Hyperoartia,Chordata,Native,,,,,FALSE,Present,,Lamprey spp.,Fish Larvae,Fish Larvae,fish,fish,Lamprey spp.
272,941,LARBAS,LMB,LMB,Largemouth Bass,Fish,salmoides,Micropterus,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Largemouth Bass,Fish Larvae,Fish Larvae,fish,fish,Largemouth Bass
1461,110164,LONMUD,LJM,,Longjaw Mudsucker,Fish,mirabilis,Gillichthys,Gobiidae,Percifomes,Osteichthyes,Chordata,Native,,,,,,Present,,Longjaw Mudsucker,Fish Larvae,Fish Larvae,fish,fish,
294,942,LONSME,LFS,LFS,Longfin Smelt,Fish,thaleichthys,Spirinchus,Osmeridae,Osmeriformes,Actinopterygii,Chordata,Native,State Threatened,Federal Proposed Endangered,"ST, FPE",,FALSE,Present,,Longfin Smelt,Fish Larvae,Fish Larvae,fish,fish,Longfin Smelt
295,295,LONSME-Yolk,,,Longfin Smelt (Yolk-Sac),Fish,thaleichthys,Spirinchus,Osmeridae,Osmeriformes,Actinopterygii,Chordata,Native,State Threatened,Federal Proposed Endangered,"ST, FPE",,FALSE,Present,,Longfin Smelt (Yolk-Sac),Fish Larvae,Fish Egg,fish,fish,fish
300,943,MAEOTI,MAEOTIAS,,Maeotias,Fish,,Maeotias,Olindiidae,Limnomedusae,Hydrozoa,Cnidaria,Introduced,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Jellyfish,Jellyfish,Maeotias
371,216,MISSHR,MISSGRASS,SHRK,Grass Shrimp,Invertebrate,,Palaemonetes,Palaemonidae,Decapoda,Malacostraca,Arthropoda,Introduced,,,,adult,FALSE,Present,,,Decapoda Adult,Decapoda,Decapoda,Decapoda,Palaemonetes
315,197,MISSIL,ISS,MSS,Mississippi Silverside,Fish,berryllia,Menidia,Atherinopsidae,Atheriniformes,Actinopterygii,Chordata,Introduced,,,,larvae,FALSE,Present,,Mississippi Silverside,Fish Larvae,Fish Larvae,fish,fish,Mississippi Silverside
317,11006,MOERIS,,,Moerisia spp,Invertebrate,Spp,Moerisia,Moerisiidae,Anthoathecata,Hydrozoa,Cnidaria,,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Hydrozoa,Other,Other
328,11006,MOERIS,,,Moerisia spp,Invertebrate,Spp,Moerisia,Moerisiidae,Anthoathecata,Hydrozoa,Cnidaria,,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Hydrozoa,Other,Other
327,946,MOOJEL,,,Moon Jellyfish,Fish,,Aurelia,Ulmaridae,Semaeostomeae,Scyphozoa,Cnidaria,,,,,,FALSE,Present,,,Jellyfish,Jellyfish,Jellyfish,Jellyfish,Moon Jellyfish
329,164,MOSQUI,MQF,MQF,Mosquitofish,Fish,affinis,Gambusia,Poeciliidae,Cyprinodontiformes,Actinopterygii,Chordata,Introduced,,,,larvae,FALSE,Present,,Mosquitofish,Fish Larvae,Fish Larvae,fish,fish,Mosquitofish
1183,619,NA,SSU,,Silverside UNID,Fish,NA,NA,Atherinopsidae,Atheriniformes,Actinopterygii,Chordata,NA,,,,larvae,FALSE,Present,,Atherinopsidae larvae,Fish Larvae,Fish Larvae,fish,fish,NA
1281,356,NA,,,Goby unid,Other,NA,NA,Gobiidae,Gobiiformes,Actinopterygii,Chordata,NA,,,,NA,FALSE,Present,,Goby Unknown,Fish Larvae,NA,other,other,NA
1082,281,NA,,,Synidotea,Other,NA,Synidotea,Idoteidae,Isopoda,Crustacea,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1083,282,NA,,,Pleidae,Other,NA,NA,pleidae,Hemiptera,Insecta,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1101,1021,NA,,,Delphacidae,Other,NA,NA,Delphacidae,NA,Insecta,Arthropoda,NA,,,,adult,FALSE,Present,,,NA,NA,other,other,NA
1121,1000,NA,,,Berytidae,Other,NA,NA,Berytidae,NA,Insecta,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1141,1111,NA,,,Coccidae Adult,Other,NA,NA,Coccidae,Hemiptera,Insecta,Arthropoda,NA,,,,adult,FALSE,Present,,,NA,NA,other,other,NA
1161,600,NA,,,Heteroceridae adult,Other,NA,NA,Heteroceridae,Coleoptera,Insecta,Arthropoda,NA,,,,adult,FALSE,Present,,,NA,NA,other,other,NA
1162,601,NA,,,Barnacle cyprid,Other,NA,NA,NA,NA,Cirripedia,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1163,602,NA,,,Arrow worm,Other,NA,NA,NA,NA,Sagittoidea,Chaetognatha,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1164,603,NA,,,Lysianassidae,Other,NA,NA,Lysianassidae,Amphipoda,Malacostraca,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1165,604,NA,,,Cantharidae adult,Other,NA,NA,Cantharidae,Coleoptera,Insecta,Arthropoda,NA,,,,adult,FALSE,Present,,,NA,NA,other,other,NA
1181,611,NA,,,Alienacanthomysis macropsis,Other,macropsis,Alienacanthomysis,NA,Mysidacea,Malacostraca,Arthopoda,Native,,,,adult,FALSE,Present,,,NA,NA,other,other,NA
1182,618,NA,,,Millipede,Other,NA,NA,NA,NA,NA,NA,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1201,613,NA,,,Decapod larvae unid,Other,NA,NA,NA,Decapoda,Malacostraca,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1221,617,NA,,,Carabidae adult,Other,NA,NA,Carabidae,Coleoptera,Insecta,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1241,290,NA,,,Anthuridae,Other,NA,NA,Anthuridae,Isopoda,Malacostraca,Arthropoda,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1261,199,NA,,,Bryozoa unid,Other,NA,NA,NA,NA,NA,Bryozoa,NA,,,,NA,FALSE,Present,,,NA,NA,other,other,NA
1301,640,NA,,,Mussel unid,Other,NA,NA,NA,NA,Bivalvia,Mollusca,NA,,,,NA,FALSE,Mussel Other,,,NA,NA,other,other,NA
345,9999,NOFISH,NOFISHCTCH,NONE,No Catch,Fish,,,,,,,,,,,,FALSE,Present,,No Catch,,,,,No Catch
346,949,NORANC,NAC,,Northern Anchovy,Fish,Mordax,Engraulis,Engraulidae,Clupeiformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Northern Anchovy,Fish Larvae,Fish Larvae,fish,fish,Northern Anchovy
370,75,ORISHR,PALAEMON,,Oriental Shrimp,Invertebrate,macrodactylus,Palaemon,Caridae,Decapoda,Malacostraca,Arthropoda,Introduced,,,,adult,FALSE,Present,,,Decapoda Adult,Decapoda,Decapoda,Decapoda,Palaemon
367,951,PACHER,PH,,Pacific Herring,Fish,pallasi,Clupea,Clupeidae,Clupeiformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Pacific Herring,Fish Larvae,Fish Larvae,fish,fish,Pacific Herring
368,952,PACLAM,PL,PL,Pacific Lamprey,Fish,tridentata,Lampetra,Petromyzontidae,Petromyzontiformes,Actinopterygii,Chordata,Native,Moderate Concern,,MC,,FALSE,Present,,Pacific Lamprey,Fish Larvae,Fish Larvae,fish,fish,Pacific Lamprey
369,953,PACSSC,STAG,PSS,Pacific Staghorn Sculpin,Fish,armatus,Leptocottus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Pacific Staghorn Sculpin,Fish Larvae,Fish Larvae,fish,fish,Pacific Staghorn Sculpin
385,955,PLAMID,MID,,Plainfin Midshipman,Fish,notatus,Porichthys,Batrachoididae,Batrachoidiformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Plainfin Midshipman,Fish Larvae,Fish Larvae,fish,fish,Plainfin Midshipman
398,956,Polyor,,,Polyorchis,Fish,,Polyorchis,Corynidae,Anthoathecata,Hydrozoa,Cnidaria,,,,,,FALSE,Present,,,Fish Larvae,Fish Larvae,fish,fish,Polyorchis
399,139,POTAMO,CORBULA,,Potamocorbula,Invertebrate,amurensis,Potamocorbula,Corbulidae,Myoida,Bivalvia,Mollusca,,,,,adult,FALSE,Potamocorbula,,,Bivalvia,Other,Bivalvia,Mollusca,Potamocorbula
400,177,PRISCU,SCP,PRS,Prickly Sculpin,Fish,aspur,Cottus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Prickly Sculpin,Fish Larvae,Fish Larvae,fish,fish,Prickly Sculpin
420,958,PUMPKI,PPKS,PKN,Pumpkinseed,Fish,gibbosus,Lepomis,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Pumpkinseed,Fish Larvae,Fish Larvae,fish,fish,Pumpkinseed
422,186,RAIKIL,RWK,RFK,Rainwater Killifish,Fish,parva,Lucania,Fundulidae,Cyprinodontiformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Rainwater Killifish,Fish Larvae,Fish Larvae,fish,fish,Rainwater Killifish
426,962,REDBAS,REB,,Redeye Bass,Fish,coosae,Micropterus,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Redeye Bass,Fish Larvae,Fish Larvae,fish,fish,Redeye Bass
425,961,REDEAR,RESF,RES,Redear Sunfish,Fish,microlophus,Lepomis,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Redear Sunfish,Fish Larvae,Fish Larvae,fish,fish,Redear Sunfish
424,960,REDSHI,RSNR,RSN,Red Shiner,Fish,lutrensis,Cyprinella,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Red Shiner,Fish Larvae,Fish Larvae,fish,fish,Red Shiner
430,963,RIFSCU,RSCP,,Riffle Sculpin,Fish,gulosus,Cottus,Cottidae,Scorpaeniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Riffle Sculpin,Fish Larvae,Fish Larvae,fish,fish,Riffle Sculpin
431,964,RIVLAM,RLP,RL,River Lamprey,Fish,,Lampetra,Petromyzontidae,Petromyzontiformes,Hyperoartia,Chordata,Native,,,,,FALSE,Present,,River Lamprey,Fish Larvae,Fish Larvae,fish,fish,River Lamprey
434,965,SACBLA,BF,SCB,Sacramento Blackfish,Fish,microlepidotus,Orthodon,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Sacramento Blackfish,Fish Larvae,Fish Larvae,fish,fish,Sacramento Blackfish
435,966,SACPER,SAP,,Sacramento Perch,Fish,interruptus,Archoplites,Centrarchidae,Perciformes,Actinopterygii,Chordata,Native,Critical Concern,,CC,,FALSE,Present,,Sacramento Perch,Fish Larvae,Fish Larvae,fish,fish,Sacramento Perch
436,967,SACPIK,SPM,SAPM,Sacramento Pikeminnow,Fish,grandis,Ptychocheilus,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Sacramento Pikeminnow,Fish Larvae,Fish Larvae,fish,fish,Sacramento Pikeminnow
437,175,SACSUC,SKR,SASU,Sacramento Sucker,Fish,occidentalis,Catostomus,Catostomidae,Cypriniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Sacramento Sucker,Fish Larvae,Fish Larvae,fish,fish,Sacramento Sucker
447,969,SCRIPPS,,,Scrippsia,Fish,,Scrippsia,Corynidae,Anthoathecata,Hyrozoa,Cnidaria,,,,,,FALSE,Present,,,Fish Larvae,Fish Larvae,fish,fish,Scrippsia
449,970,SHIGOB,SG,SHM,Shimofuri Goby,Fish,bifasciatus,Tridentiger,Oxudercidae,Gobiiformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Shimofuri Goby,Fish Larvae,Fish Larvae,fish,fish,Shimofuri Goby
450,971,SHOGOB,SKG,,Shokihaze Goby,Fish,,Tridentiger,Oxudercidae,Gobiiformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Shokihaze Goby,Fish Larvae,Fish Larvae,fish,fish,Shokihaze Goby
463,972,SMABAS,SMB,SMB,Smallmouth Bass,Fish,dolomieui,Micropterus,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Smallmouth Bass,Fish Larvae,Fish Larvae,fish,fish,Smallmouth Bass
361,950,SMESPP,SMU,SME,Osmeridae spp.,Fish,,,Osmeridae,Osmeriformes,Actinopterygii,Chordata,,,,,,FALSE,Present,,Osmeridae spp.,Fish Larvae,Fish Larvae,fish,fish,Osmeridae spp.
466,973,SPEDAC,SPD,,Speckled Dace,Fish,,Rhinichthys,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Speckled Dace,Fish Larvae,Fish Larvae,fish,fish,Speckled Dace
469,974,SPLITT,ST,SPLT,Splittail,Fish,macrolepidotus,Pogonichthys,Cyprinidae,Cypriniformes,Actinopterygii,Chordata,Native,Moderate Concern,,MC,,FALSE,Present,,Sacramento Splittail,Fish Larvae,Fish Larvae,fish,fish,Sacramento Splittail
471,975,SPOBAS,SPB,SPB,Spotted Bass,Fish,punctulatus,Micropterus,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Spotted Bass,Fish Larvae,Fish Larvae,fish,fish,Spotted Bass
473,976,STAFLO,SF,FSTF,Starry Flounder,Fish,stellatus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Starry Flounder,Fish Larvae,Fish Larvae,fish,fish,Starry Flounder
475,977,STEELH,RT,RBT,Steelhead,Fish,mykiss,Oncorhynchus,Salmonidae,Salmoniformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Steelhead,Fish Larvae,Fish Larvae,fish,fish,Steelhead
480,238,STRBAS,SB,STB,Striped Bass,Fish,saxatilis,Morone,Moronidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,larvae,FALSE,Present,,Striped Bass,Fish Larvae,Fish Larvae,fish,fish,Striped Bass
483,979,SUNFIS,CENTRARCH,SNF,Sunfish (unknown species),Fish,,,Centrarchidae,Perciformes,Actinopterygii,Chordata,Introduced,,,,,FALSE,Present,,Sunfish spp.,Fish Larvae,Fish Larvae,fish,fish,Sunfish (unknown species)
484,980,SURSME,SS,,Surf Smelt,Fish,pretiosus,Hypomesus,Osmeridae,Osmeriformes,Actinopterygii,Chordata,Native,,,,,FALSE,Present,,Surf Smelt,Fish Larvae,Fish Larvae,fish,fish,Surf Smelt
63,800,TADPOL,BFG,,Bullfrog tadpole,Fish,catesbeiana,Lithobates,Ranidae,Anura,Amphibia,Chordata,Introduced,,,,larvae,TRUE,Present,,,Other,Other,tadpole,other,Other
